dataset,method,explicit_delay_ms,prediction_lookahead_ms,rmse,mae,max_error,best_lag_ms,lag_aligned_rmse,target_projection_rate,target_max_velocity,target_max_acceleration,target_p99_jerk,output_max_velocity,output_max_acceleration,output_max_jerk,estimator_compute_p50_us,estimator_compute_p99_us,ruckig_compute_p99_us
quadratic_with_extremum,Position only,0.0,10.0,0.17378567748502144,0.1364311944857979,0.2994848516850973,190.0,0.02065426163033186,0.0,0.0,0.0,0.0,1.4383673949207145,7.142251057724154,41.000000000000014,0.166,0.25,2.2989199999999927
quadratic_with_extremum,Raw backward difference (original),0.0,0.0,0.21552559450119974,0.12408164262740994,0.5558873281899236,180.0,0.14763091043786478,0.0,1.5060871019032418,4.784730923571942,13.461905833733745,1.9858166317404833,8.2,41.000000000000014,0.417,0.5004199999999996,1.0004099999999996
quadratic_with_extremum,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,7.381823589610907e-05,5.380899966979039e-05,0.00017195013660886715,0.0,7.381823589610907e-05,0.0,1.5297327007500776,4.784730923571942,13.461905833733745,1.5103593626149048,4.6824169945177605,41.000000000000014,1.084,2.2595899999999913,2.9588399999999995
quadratic_with_extremum,SG-10 cubic + prediction (50 ms lookahead),10.0,50.0,6.724684015888886e-05,5.972956163933168e-05,0.00010987909483901762,0.0,6.724684015888886e-05,0.0,1.5081228361020833,4.940525039606301,14.01206199702838,1.504107058519407,4.682367490230715,41.000000000000014,3.083,4.172409999999995,2.2504099999999996
quadratic_with_extremum,SG-20 cubic + prediction (50 ms lookahead),20.0,50.0,6.500554097131597e-05,5.8153713356544236e-05,0.00010290193140931564,0.0,6.500554097131597e-05,0.0,1.5074615817112258,4.906065291252879,13.885987227939411,1.5039971919571096,4.6824594771981145,41.000000000000014,3.083,5.549499999999993,2.2094099999999997
quadratic_with_extremum,Alpha-beta-gamma (60 ms lookahead),0.0,60.0,0.2944754882501755,0.19616898568876018,0.6393672173354646,300.0,0.2019540750024759,0.0,1.5996574966760915,4.799016024885657,13.511532245649045,2.1404378926128564,8.2,41.000000000000014,3.084,5.002089999999998,1.8334199999999996
quadratic_with_extremum,Robust CA-KF (50 ms lookahead),0.0,50.0,0.3180517172285336,0.2182539425458994,0.6260916339673888,340.0,0.1914040342375594,0.0,1.585428721604184,4.7853333669012805,13.46388575130916,2.1038364446153968,8.2,41.000000000000014,12.084,39.73550999999998,1.7914199999999996
quadratic_with_extremum,Jerk-limited tracker (50 ms lookahead),0.0,50.0,0.20022626890711104,0.1648255097499925,0.3240099635454619,230.0,0.022508301585648677,0.0,1.4034902819575383,4.416126805041731,12.188840560427671,1.4008358884033145,4.246796939603979,41.000000000000014,6.375,16.074079999999974,2.1674099999999994
cubic,Position only,0.0,10.0,0.040577430014424036,0.030060954121574657,0.07448204135656483,120.0,0.0052624988532827864,0.0,0.0,0.0,0.0,0.5717480166200741,2.207063793358868,41.0,0.125,0.208,1.170329999999997
cubic,Raw backward difference (original),0.0,0.0,0.009299532816294719,0.007085512106577968,0.017922542717074802,30.0,0.0015087937602745324,0.0,0.5917486976376174,1.4708991238395612,7.511520522335217,0.5965507710297319,1.6277006597501253,41.0,0.375,0.459,0.8754099999999996
