sample_index,time_s,position_rad,velocity_rad_s,acceleration_rad_s2,jerk_rad_s3
0,0,0,0.012095,0,0
1,0.01,0.00012095,0.012095,0,0
2,0.02,0.0002419,0.012095,0,0
3,0.029999999999999999,0.00036284999999999996,0.012095,0,0
4,0.040000000000000001,0.0004838,0.012095,0,0
5,0.050000000000000003,0.00060475000000000004,0.012095,0,0
6,0.059999999999999998,0.00072569999999999991,0.012095,0,0
7,0.070000000000000007,0.00084665000000000012,0.012095,0,0
8,0.080000000000000002,0.00096759999999999999,0.012095,0,0
9,0.089999999999999997,0.00108855,0.012095,0,0
10,0.10000000000000001,0.0012095000000000001,0.012095,0,0
11,0.11,0.0013304499999999999,0.012095,0,0
12,0.12,0.0014513999999999998,0.012095,0,0
13,0.13,0.0015723500000000001,0.012095,0,0
14,0.14000000000000001,0.0016933000000000002,0.012095,0,0
15,0.14999999999999999,0.0018142499999999999,0.012095,0,0
16,0.16,0.0019352,0.012095,0,0
17,0.17000000000000001,0.0020561500000000001,0.012095,0,0
18,0.17999999999999999,0.0021771,0.012095,0,0
19,0.19,0.0022980499999999998,0.012095,0,0
20,0.20000000000000001,0.0024190000000000001,0.012095,0,0
21,0.20999999999999999,0.00253995,0.012095,0,0
22,0.22,0.0026608999999999999,0.012095,0,0
23,0.23000000000000001,0.0027818500000000002,0.012095,0,0
24,0.23999999999999999,0.0029027999999999997,0.012095,0,0
25,0.25,0.00302375,0.012095,0,0
26,0.26000000000000001,0.0031447000000000003,0.012095,0,0
27,0.27000000000000002,0.0032656500000000001,0.012095,0,0
28,0.28000000000000003,0.0033866000000000005,0.012095,0,0
29,0.28999999999999998,0.0035075499999999999,0.012095,0,0
30,0.29999999999999999,0.0036284999999999998,0.012095,0,0
31,0.31,0.0037494500000000001,0.012095,0,0
32,0.32000000000000001,0.0038704,0.012095,0,0
33,0.33000000000000002,0.0039913500000000003,0.012095,0,0
34,0.34000000000000002,0.0041123000000000002,0.012095,0,0
35,0.35000000000000003,0.00423325,0.012095,0,0
36,0.35999999999999999,0.0043541999999999999,0.012095,0,0
37,0.37,0.0044751499999999998,0.012095,0,0
38,0.38,0.0045960999999999997,0.012095,0,0
39,0.39000000000000001,0.0047170500000000004,0.012095,0,0
40,0.40000000000000002,0.0048380000000000003,0.012095,0,0
41,0.41000000000000003,0.0049589500000000002,0.012095,0,0
42,0.41999999999999998,0.0050799,0.012095,0,0
43,0.42999999999999999,0.0052008499999999999,0.012095,0,0
44,0.44,0.0053217999999999998,0.012095,0,0
45,0.45000000000000001,0.0054427499999999997,0.012095,0,0
46,0.46000000000000002,0.0055637000000000004,0.012095,0,0
47,0.47000000000000003,0.0056846500000000003,0.012095,0,0
48,0.47999999999999998,0.0058055999999999993,0.012095,0,0
49,0.48999999999999999,0.00592655,0.012095,0,0
50,0.5,0.0060474999999999999,0.012095,0,0
51,0.51000000000000001,0.0061684499999999998,0.012095,0,0
52,0.52000000000000002,0.0062894000000000005,0.012095,0,0
53,0.53000000000000003,0.0064103500000000004,0.012095,0,0
54,0.54000000000000004,0.0065313000000000003,0.012095,0,0
55,0.55000000000000004,0.0066522500000000002,0.012095,0,0
56,0.56000000000000005,0.0067732000000000009,0.012095,0,0
57,0.57000000000000006,0.0068941500000000008,0.012095,0,0
58,0.57999999999999996,0.0070150999999999998,0.012095,0,0
59,0.58999999999999997,0.0071360499999999997,0.012095,0,0
60,0.59999999999999998,0.0072569999999999996,0.012095,0,0
61,0.60999999999999999,0.0073779499999999994,0.012095,0,0
62,0.62,0.0074989000000000002,0.012095,0,0
63,0.63,0.0076198500000000001,0.012095,0,0
64,0.64000000000000001,0.0077407999999999999,0.012095,0,0
65,0.65000000000000002,0.0078617500000000007,0.012095,0,0
66,0.66000000000000003,0.0079827000000000006,0.012095,0,0
67,0.67000000000000004,0.0081036500000000004,0.012095,0,0
68,0.68000000000000005,0.0082246000000000003,0.012095,0,0
69,0.69000000000000006,0.0083455500000000002,0.012095,0,0
70,0.70000000000000007,0.0084665000000000001,0.012095,0,0
71,0.70999999999999996,0.0085874499999999999,0.012095,0,0
72,0.71999999999999997,0.0087083999999999998,0.012095,0,0
73,0.72999999999999998,0.0088293499999999997,0.012095,0,0
74,0.73999999999999999,0.0089502999999999996,0.012095,0,0
75,0.75,0.0090712499999999995,0.012095,0,0
76,0.76000000000000001,0.0091921999999999993,0.012095,0,0
77,0.77000000000000002,0.0093131500000000009,0.012095,0,0
78,0.78000000000000003,0.0094341000000000008,0.012095,0,0
79,0.79000000000000004,0.0095550500000000007,0.012095,0,0
80,0.80000000000000004,0.0096760000000000006,0.012095,0,0
81,0.81000000000000005,0.0097969500000000004,0.012095,0,0
82,0.82000000000000006,0.0099179000000000003,0.012095,0,0
83,0.83000000000000007,0.01003885,0.012095,0,0
84,0.83999999999999997,0.0101598,0.012095,0,0
85,0.84999999999999998,0.01028075,0.012095,0,0
86,0.85999999999999999,0.0104017,0.012095,0,0
87,0.87,0.01052265,0.012095,0,0
88,0.88,0.0106436,0.012095,0,0
89,0.89000000000000001,0.010764549999999999,0.012095,0,0
90,0.90000000000000002,0.010885499999999999,0.012095,0,0
91,0.91000000000000003,0.011006450000000001,0.012095,0,0
92,0.92000000000000004,0.011127400000000001,0.012095,0,0
93,0.93000000000000005,0.011248350000000001,0.012095,0,0
94,0.94000000000000006,0.011369300000000001,0.012095,0,0
95,0.95000000000000007,0.01149025,0.012095,0,0
96,0.95999999999999996,0.011611199999999999,0.012095,0,0
97,0.96999999999999997,0.01173215,0.012095,0,0
98,0.97999999999999998,0.0118531,0.012095,0,0
99,0.98999999999999999,0.01197405,0.012095,0,0
100,1,0.012095,0.012095,0,0
101,1.01,0.01221595,0.012095,0,0
102,1.02,0.0123369,0.012095,0,0
103,1.03,0.012457849999999999,0.012095,0,0
104,1.04,0.012578800000000001,0.012095,0,0
105,1.05,0.012699750000000001,0.012095,0,0
106,1.0600000000000001,0.012820700000000001,0.012095,0,0
107,1.0700000000000001,0.012941650000000001,0.012095,0,0
108,1.0800000000000001,0.013062600000000001,0.012095,0,0
109,1.0900000000000001,0.01318355,0.012095,0,0
110,1.1000000000000001,0.0133045,0.012095,0,0
111,1.1100000000000001,0.01342545,0.012095,0,0
112,1.1200000000000001,0.013546400000000002,0.012095,0,0
113,1.1300000000000001,0.013667350000000002,0.012095,0,0
114,1.1400000000000001,0.013788300000000002,0.012095,0,0
115,1.1500000000000001,0.013909250000000001,0.012095,0,0
116,1.1599999999999999,0.0140302,0.012095,0,0
117,1.1699999999999999,0.014151149999999999,0.012095,0,0
118,1.1799999999999999,0.014272099999999999,0.012095,0,0
119,1.1899999999999999,0.014393049999999999,0.012095,0,0
120,1.2,0.014513999999999999,0.012095,0,0
121,1.21,0.014634949999999999,0.012095,0,0
122,1.22,0.014755899999999999,0.012095,0,0
123,1.23,0.014876849999999999,0.012095,0,0
124,1.24,0.0149978,0.012095,0,0
125,1.25,0.01511875,0.012095,0,0
126,1.26,0.0152397,0.012095,0,0
127,1.27,0.01536065,0.012095,0,0
128,1.28,0.0154816,0.012095,0,0
129,1.29,0.01560255,0.012095,0,0
130,1.3,0.015723500000000001,0.012095,0,0
131,1.3100000000000001,0.01584445,0.012095,0,0
132,1.3200000000000001,0.015965400000000001,0.012095,0,0
133,1.3300000000000001,0.016086349999999999,0.012095,0,0
134,1.3400000000000001,0.016207300000000001,0.012095,0,0
135,1.3500000000000001,0.016328250000000002,0.012095,0,0
136,1.3600000000000001,0.016449200000000001,0.012095,0,0
137,1.3700000000000001,0.016570150000000002,0.012095,0,0
138,1.3800000000000001,0.0166911,0.012095,0,0
139,1.3900000000000001,0.016812050000000002,0.012095,0,0
140,1.4000000000000001,0.016933,0.012095,0,0
141,1.4099999999999999,0.017053949999999998,0.012095,0,0
142,1.4199999999999999,0.0171749,0.012095,0,0
143,1.4299999999999999,0.017295849999999998,0.012095,0,0
144,1.4399999999999999,0.0174168,0.012095,0,0
145,1.45,0.017537749999999998,0.012095,0,0
146,1.46,0.017658699999999999,0.012095,0,0
147,1.47,0.017779650000000001,0.012095,0,0
148,1.48,0.017900599999999999,0.012095,0,0
149,1.49,0.018021550000000001,0.012095,0,0
150,1.5,0.018142499999999999,0.012095,0,0
151,1.51,0.018263450000000001,0.012095,0,0
152,1.52,0.018384399999999999,0.012095,0,0
153,1.53,0.01850535,0.012095,0,0
154,1.54,0.018626300000000002,0.012095,0,0
155,1.55,0.01874725,0.012095,0,0
156,1.5600000000000001,0.018868200000000002,0.012095,0,0
157,1.5700000000000001,0.01898915,0.012095,0,0
158,1.5800000000000001,0.019110100000000001,0.012095,0,0
159,1.5900000000000001,0.01923105,0.012095,0,0
160,1.6000000000000001,0.019352000000000001,0.012095,0,0
161,1.6100000000000001,0.019472949999999999,0.012095,0,0
162,1.6200000000000001,0.019593900000000001,0.012095,0,0
163,1.6300000000000001,0.019714850000000003,0.012095,0,0
164,1.6400000000000001,0.019835800000000001,0.012095,0,0
165,1.6500000000000001,0.019956750000000002,0.012095,0,0
166,1.6600000000000001,0.0200777,0.012095,0,0
167,1.6699999999999999,0.020198649999999999,0.012095,0,0
168,1.6799999999999999,0.0203196,0.012095,0,0
169,1.6899999999999999,0.020440549999999998,0.012095,0,0
170,1.7,0.0205615,0.012095,0,0
171,1.71,0.020682449999999998,0.012095,0,0
172,1.72,0.0208034,0.012095,0,0
173,1.73,0.020924349999999998,0.012095,0,0
174,1.74,0.021045299999999999,0.012095,0,0
175,1.75,0.021166250000000001,0.012095,0,0
176,1.76,0.021287199999999999,0.012095,0,0
177,1.77,0.021408150000000001,0.012095,0,0
178,1.78,0.021529099999999999,0.012095,0,0
179,1.79,0.021650050000000001,0.012095,0,0
180,1.8,0.021770999999999999,0.012095,0,0
181,1.8100000000000001,0.02189195,0.012095,0,0
182,1.8200000000000001,0.022012900000000002,0.012095,0,0
183,1.8300000000000001,0.02213385,0.012095,0,0
184,1.8400000000000001,0.022254800000000002,0.012095,0,0
185,1.8500000000000001,0.02237575,0.012095,0,0
186,1.8600000000000001,0.022496700000000001,0.012095,0,0
187,1.8700000000000001,0.02261765,0.012095,0,0
188,1.8800000000000001,0.022738600000000001,0.012095,0,0
189,1.8900000000000001,0.022859550000000003,0.012095,0,0
190,1.9000000000000001,0.022980500000000001,0.012095,0,0
191,1.9100000000000001,0.023101450000000003,0.012095,0,0
192,1.9199999999999999,0.023222399999999997,0.012095,0,0
193,1.9299999999999999,0.023343349999999999,0.012095,0,0
194,1.9399999999999999,0.0234643,0.012095,0,0
195,1.95,0.023585249999999999,0.012095,0,0
196,1.96,0.0237062,0.012095,0,0
197,1.97,0.023827149999999998,0.012095,0,0
198,1.98,0.0239481,0.012095,0,0
199,1.99,0.024069049999999998,0.012095,0,0
200,2,0.02419,0.012095,0,0
201,2.0100000000000002,0.024310950000000001,0.012095,0,0
202,2.02,0.024431899999999999,0.012095,0,0
203,2.0300000000000002,0.024552850000000001,0.012095,0,0
204,2.04,0.024673799999999999,0.012095,0,0
205,2.0499999999999998,0.024794749999999997,0.012095,0,0
206,2.0600000000000001,0.024915699999999999,0.012095,0,0
207,2.0699999999999998,0.025036649999999997,0.012095,0,0
208,2.0800000000000001,0.025157600000000002,0.012095,0,0
209,2.0899999999999999,0.025278549999999997,0.012095,0,0
210,2.1000000000000001,0.025399500000000002,0.012095,0,0
211,2.1099999999999999,0.025520449999999997,0.012095,0,0
212,2.1200000000000001,0.025641400000000002,0.012095,0,0
213,2.1299999999999999,0.02576235,0.012095,0,0
214,2.1400000000000001,0.025883300000000001,0.012095,0,0
215,2.1499999999999999,0.02600425,0.012095,0,0
216,2.1600000000000001,0.026125200000000001,0.012095,0,0
217,2.1699999999999999,0.026246149999999999,0.012095,0,0
218,2.1800000000000002,0.026367100000000001,0.012095,0,0
219,2.1899999999999999,0.026488049999999999,0.012095,0,0
220,2.2000000000000002,0.026609000000000001,0.012095,0,0
221,2.21,0.026729949999999999,0.012095,0,0
222,2.2200000000000002,0.0268509,0.012095,0,0
223,2.23,0.026971849999999999,0.012095,0,0
224,2.2400000000000002,0.027092800000000004,0.012095,0,0
225,2.25,0.027213749999999998,0.012095,0,0
226,2.2600000000000002,0.027334700000000003,0.012095,0,0
227,2.27,0.027455650000000002,0.012095,0,0
228,2.2800000000000002,0.027576600000000003,0.012095,0,0
229,2.29,0.027697550000000001,0.012095,0,0
230,2.3000000000000003,0.027818500000000003,0.012095,0,0
231,2.3100000000000001,0.027939450000000001,0.012095,0,0
232,2.3199999999999998,0.028060399999999999,0.012095,0,0
233,2.3300000000000001,0.028181350000000001,0.012095,0,0
234,2.3399999999999999,0.028302299999999999,0.012095,0,0
235,2.3500000000000001,0.028423250000000001,0.012095,0,0
236,2.3599999999999999,0.028544199999999999,0.012095,0,0
237,2.3700000000000001,0.02866515,0.012095,0,0
238,2.3799999999999999,0.028786099999999998,0.012095,0,0
239,2.3900000000000001,0.02890705,0.012095,0,0
240,2.3999999999999999,0.029027999999999998,0.012095,0,0
241,2.4100000000000001,0.02914895,0.012095,0,0
242,2.4199999999999999,0.029269899999999998,0.012095,0,0
243,2.4300000000000002,0.029390850000000003,0.012095,0,0
244,2.4399999999999999,0.029511799999999998,0.012095,0,0
245,2.4500000000000002,0.029632750000000003,0.012095,0,0
246,2.46,0.029753699999999998,0.012095,0,0
247,2.4700000000000002,0.029874650000000003,0.012095,0,0
248,2.48,0.029995600000000001,0.012095,0,0
249,2.4900000000000002,0.030116550000000002,0.012095,0,0
250,2.5,0.0302375,0.012095,0,0
251,2.5100000000000002,0.030358450000000002,0.012095,0,0
252,2.52,0.0304794,0.012095,0,0
253,2.5300000000000002,0.030600350000000002,0.012095,0,0
254,2.54,0.0307213,0.012095,0,0
255,2.5500000000000003,0.030842250000000002,0.012095,0,0
256,2.5600000000000001,0.0309632,0.012095,0,0
257,2.5699999999999998,0.031084149999999998,0.012095,0,0
258,2.5800000000000001,0.0312051,0.012095,0,0
259,2.5899999999999999,0.031326050000000001,0.012095,0,0
260,2.6000000000000001,0.031447000000000003,0.012095,0,0
261,2.6099999999999999,0.031567949999999997,0.012095,0,0
262,2.6200000000000001,0.031688899999999999,0.012095,0,0
263,2.6299999999999999,0.031809850000000001,0.012095,0,0
264,2.6400000000000001,0.031930800000000002,0.012095,0,0
265,2.6499999999999999,0.032051749999999997,0.012095,0,0
266,2.6600000000000001,0.032172699999999999,0.012095,0,0
267,2.6699999999999999,0.03229365,0.012095,0,0
268,2.6800000000000002,0.032414600000000002,0.012095,0,0
269,2.6899999999999999,0.032535549999999996,0.012095,0,0
270,2.7000000000000002,0.032656500000000005,0.012095,0,0
271,2.71,0.03277745,0.012095,0,0
272,2.7200000000000002,0.032898400000000001,0.012095,0,0
273,2.73,0.033019349999999996,0.012095,0,0
274,2.7400000000000002,0.033140300000000004,0.012095,0,0
275,2.75,0.033261249999999999,0.012095,0,0
276,2.7600000000000002,0.033382200000000001,0.012095,0,0
277,2.77,0.033503150000000002,0.012095,0,0
278,2.7800000000000002,0.033624100000000004,0.012095,0,0
279,2.79,0.033745049999999999,0.012095,0,0
280,2.8000000000000003,0.033866,0.012095,0,0
281,2.8100000000000001,0.033986950000000002,0.012095,0,0
282,2.8199999999999998,0.034107899999999997,0.012095,0,0
283,2.8300000000000001,0.034228849999999998,0.012095,0,0
284,2.8399999999999999,0.0343498,0.012095,0,0
