input_id,input_acquisition_velocity_limited,method_id,method_label,limited_rmse_ratio_vs_p,relaxed_rmse_ratio_vs_p,log_ratio_interaction_limited_minus_relaxed,pva_worse_than_p_at_both_vmax,ratio_invariant_within_tolerance,limited_baseline_lag_ms,limited_pva_lag_ms,limited_absolute_lag_excess_vs_p_ms,relaxed_baseline_lag_ms,relaxed_pva_lag_ms,relaxed_absolute_lag_excess_vs_p_ms,absolute_lag_interaction_limited_minus_relaxed_ms,lag_interaction_invariant_within_tolerance,pva_lag_worse_than_p_at_both_vmax,relaxed_velocity_condition_nonbinding,limited_velocity_clip_count,relaxed_velocity_clip_count,limited_acceleration_clip_count,relaxed_acceleration_clip_count,acceleration_projection_persists,velocity_limit_attribution_supported,attribution_decision
recorded_tasks_original_no_velocity_limit,false,pva_est_backward_o1_k,Backward O1,1.9845800994689462,1.9845800994689462,0.0,True,True,60.00000000000006,109.99999999999987,49.999999999999815,60.00000000000006,109.99999999999987,49.999999999999815,0.0,True,True,True,0,0,631,631,True,False,rejected_runtime_velocity_limit
recorded_tasks_original_no_velocity_limit,false,pva_est_backward_o2_k,Backward O2,2.5069706527690547,2.5069706527690547,0.0,True,True,60.00000000000006,160.00000000000014,100.00000000000009,60.00000000000006,160.00000000000014,100.00000000000009,0.0,True,True,True,0,0,1063,1063,True,False,rejected_runtime_velocity_limit
recorded_tasks_original_no_velocity_limit,false,pva_est_centered_o2_km1,Centered O2,2.2267673113034347,2.2267673113034347,0.0,True,True,60.00000000000006,140.00000000000057,80.00000000000051,60.00000000000006,140.00000000000057,80.00000000000051,0.0,True,True,True,0,0,631,631,True,False,rejected_runtime_velocity_limit
recorded_tasks_original_no_velocity_limit,false,pva_pred_backward_o1_kp1,Future O1,2.25117219180446,2.25117219180446,0.0,True,True,60.00000000000006,129.9999999999999,69.99999999999983,60.00000000000006,129.9999999999999,69.99999999999983,0.0,True,True,True,2,0,631,631,True,False,rejected_runtime_velocity_limit
recorded_tasks_original_no_velocity_limit,false,pva_pred_backward_o2_kp1,Future O2,2.3595246505460805,2.3595246505460805,0.0,True,True,60.00000000000006,140.00000000000057,80.00000000000051,60.00000000000006,140.00000000000057,80.00000000000051,0.0,True,True,True,6,0,1256,1256,True,False,rejected_runtime_velocity_limit
recorded_tasks_simplified_no_velocity_limit,false,pva_est_backward_o1_k,Backward O1,2.490442669270365,2.490442669270365,0.0,True,True,109.99999999999987,229.99999999999997,120.0000000000001,109.99999999999987,229.99999999999997,120.0000000000001,0.0,True,True,True,0,0,317,317,True,False,rejected_runtime_velocity_limit
recorded_tasks_simplified_no_velocity_limit,false,pva_est_backward_o2_k,Backward O2,2.931415015804563,2.931415015804563,0.0,True,True,109.99999999999987,280.0,170.0000000000001,109.99999999999987,280.0,170.0000000000001,0.0,True,True,True,0,0,594,594,True,False,rejected_runtime_velocity_limit
recorded_tasks_simplified_no_velocity_limit,false,pva_est_centered_o2_km1,Centered O2,2.4259633469220185,2.4259633469220185,0.0,True,True,109.99999999999987,219.99999999999997,110.0000000000001,109.99999999999987,219.99999999999997,110.0000000000001,0.0,True,True,True,0,0,317,317,True,False,rejected_runtime_velocity_limit
recorded_tasks_simplified_no_velocity_limit,false,pva_pred_backward_o1_kp1,Future O1,2.912171162354786,2.912171162354786,0.0,True,True,109.99999999999987,310.00000000000006,200.00000000000017,109.99999999999987,310.00000000000006,200.00000000000017,0.0,True,True,True,0,0,317,317,True,False,rejected_runtime_velocity_limit
recorded_tasks_simplified_no_velocity_limit,false,pva_pred_backward_o2_kp1,Future O2,3.1572065353289216,3.1572065353289216,0.0,True,True,109.99999999999987,339.9999999999999,230.0,109.99999999999987,339.9999999999999,230.0,0.0,True,True,True,2,0,727,727,True,False,rejected_runtime_velocity_limit
recorded_tasks_simplified_with_velocity_limit,true,pva_est_backward_o1_k,Backward O1,1.1318229660070223,1.1318229660070223,0.0,True,True,19.999999999999574,19.999999999999574,0.0,19.999999999999574,19.999999999999574,0.0,0.0,True,False,True,0,0,64,64,True,False,rejected_runtime_velocity_limit
recorded_tasks_simplified_with_velocity_limit,true,pva_est_backward_o2_k,Backward O2,1.3938112273704675,1.3938112273704675,0.0,True,True,19.999999999999574,19.999999999999574,0.0,19.999999999999574,19.999999999999574,0.0,0.0,True,False,True,0,0,229,229,True,False,rejected_runtime_velocity_limit
recorded_tasks_simplified_with_velocity_limit,true,pva_est_centered_o2_km1,Centered O2,1.4714993419904696,1.4714993419904696,0.0,True,True,19.999999999999574,30.000000000001137,10.000000000001563,19.999999999999574,30.000000000001137,10.000000000001563,0.0,True,True,True,0,0,64,64,True,False,rejected_runtime_velocity_limit
recorded_tasks_simplified_with_velocity_limit,true,pva_pred_backward_o1_kp1,Future O1,1.1983217438038687,1.1983217438038687,0.0,True,True,19.999999999999574,9.999999999999787,-9.999999999999787,19.999999999999574,9.999999999999787,-9.999999999999787,0.0,True,False,True,0,0,64,64,True,False,rejected_runtime_velocity_limit
recorded_tasks_simplified_with_velocity_limit,true,pva_pred_backward_o2_kp1,Future O2,1.03813303937024,1.03813303937024,0.0,True,True,19.999999999999574,9.999999999999787,-9.999999999999787,19.999999999999574,9.999999999999787,-9.999999999999787,0.0,True,False,True,0,0,633,633,True,False,rejected_runtime_velocity_limit
