target_components,stencil,stencil_label,source_id,method_id,position_rmse_rad,baseline_position_rmse_rad,rmse_ratio_vs_p,rmse_beats_p,baseline_lag_s,baseline_lag_ms,baseline_subsample_lag_s,baseline_subsample_lag_ms,lag_s,lag_ms,absolute_lag_ms,lag_subsample_s,lag_subsample_ms,absolute_subsample_lag_ms,lag_delta_vs_p_ms,absolute_lag_delta_vs_p_ms,subsample_lag_delta_vs_p_ms,absolute_subsample_lag_delta_vs_p_ms,core_guardrails_pass,deadline_miss_rate,deadline_pass,eligible_strict,eligible_ignoring_deadline,rmse_lag_pareto,eligible_lag_budget_10ms,selected_lag_budget_10ms,eligible_lag_budget_20ms,selected_lag_budget_20ms,selected_primary,selected_strict
PV,est_backward_o1_k,Backward O1,e11_pv_recorded,pv_est_backward_o1_k,0.0037271274726917193,0.0029509964941324685,1.2630064048203544,False,0.019999999999999574,19.999999999999574,0.021029436928593884,21.029436928593885,0.019999999999999574,19.999999999999574,19.999999999999574,0.01950191614563164,19.50191614563164,19.50191614563164,0.0,0.0,-1.5275207829622446,-1.5275207829622446,True,0.0,True,True,True,False,False,False,True,False,False,False
PV,est_backward_o2_k,Backward O2,e11_pv_recorded,pv_est_backward_o2_k,0.004604156766824442,0.0029509964941324685,1.5602040788523432,False,0.019999999999999574,19.999999999999574,0.021029436928593884,21.029436928593885,0.030000000000001137,30.000000000001137,30.000000000001137,0.02596344548889818,25.96344548889818,25.96344548889818,10.000000000001563,10.000000000001563,4.934008560304296,4.934008560304296,True,0.0,True,True,True,False,False,False,False,False,False,False
PV,est_centered_o2_km1,Centered O2,e11_pv_recorded,pv_est_centered_o2_km1,0.005720423906541384,0.0029509964941324685,1.938471942584625,False,0.019999999999999574,19.999999999999574,0.021029436928593884,21.029436928593885,0.03999999999999915,39.99999999999915,39.99999999999915,0.03557058905680672,35.57058905680672,35.57058905680672,19.999999999999574,19.999999999999574,14.541152128212834,14.541152128212834,True,0.0,True,True,True,False,False,False,False,False,False,False
PV,pred_backward_o1_kp1,Future O1,e11_pv_recorded,pv_pred_backward_o1_kp1,0.002351826937052655,0.0029509964941324685,0.7969602612977835,True,0.019999999999999574,19.999999999999574,0.021029436928593884,21.029436928593885,0.009999999999999787,9.999999999999787,9.999999999999787,0.009554309698749971,9.554309698749972,9.554309698749972,-9.999999999999787,-9.999999999999787,-11.475127229843913,-11.475127229843913,True,0.00013034410844629823,False,False,True,True,True,True,True,True,True,False
PV,pred_backward_o2_kp1,Future O2,e11_pv_recorded,pv_pred_backward_o2_kp1,0.0038723474311193624,0.0029509964941324685,1.3122168863361363,False,0.019999999999999574,19.999999999999574,0.021029436928593884,21.029436928593885,0.019999999999999574,19.999999999999574,19.999999999999574,0.01702814042722909,17.02814042722909,17.02814042722909,0.0,0.0,-4.001296501364795,-4.001296501364795,True,0.0,True,True,True,False,False,False,True,False,False,False
PVA,est_backward_o1_k,Backward O1,e12_pva_vmax_ablation,pva_est_backward_o1_k__v4p1,0.003340005604665335,0.0029509964941324685,1.1318229660070223,False,0.019999999999999574,19.999999999999574,0.021029436928593884,21.029436928593885,0.019999999999999574,19.999999999999574,19.999999999999574,0.01855577324852911,18.55577324852911,18.55577324852911,0.0,0.0,-2.4736636800647727,-2.4736636800647727,True,0.0,True,True,True,False,False,False,True,False,False,False
PVA,est_backward_o2_k,Backward O2,e12_pva_vmax_ablation,pva_est_backward_o2_k__v4p1,0.0041131320454527226,0.0029509964941324685,1.3938112273704675,False,0.019999999999999574,19.999999999999574,0.021029436928593884,21.029436928593885,0.019999999999999574,19.999999999999574,19.999999999999574,0.02398673756083334,23.98673756083334,23.98673756083334,0.0,0.0,2.9573006322394546,2.9573006322394546,True,0.0,True,True,True,False,False,False,False,False,False,False
PVA,est_centered_o2_km1,Centered O2,e12_pva_vmax_ablation,pva_est_centered_o2_km1__v4p1,0.00434238939933211,0.0029509964941324685,1.4714993419904696,False,0.019999999999999574,19.999999999999574,0.021029436928593884,21.029436928593885,0.030000000000001137,30.000000000001137,30.000000000001137,0.028751870587961276,28.751870587961275,28.751870587961275,10.000000000001563,10.000000000001563,7.7224336593673915,7.7224336593673915,True,0.00013034410844629823,False,False,True,False,False,False,False,False,False,False
PVA,pred_backward_o1_kp1,Future O1,e12_pva_vmax_ablation,pva_pred_backward_o1_kp1__v4p1,0.0035362432648079222,0.0029509964941324685,1.1983217438038687,False,0.019999999999999574,19.999999999999574,0.021029436928593884,21.029436928593885,0.009999999999999787,9.999999999999787,9.999999999999787,0.013976242335881725,13.976242335881725,13.976242335881725,-9.999999999999787,-9.999999999999787,-7.05319459271216,-7.05319459271216,True,0.0,True,True,True,False,False,False,True,False,False,False
PVA,pred_backward_o2_kp1,Future O2,e12_pva_vmax_ablation,pva_pred_backward_o2_kp1__v4p1,0.003063526959624662,0.0029509964941324685,1.03813303937024,False,0.019999999999999574,19.999999999999574,0.021029436928593884,21.029436928593885,0.009999999999999787,9.999999999999787,9.999999999999787,0.014259691182141973,14.259691182141973,14.259691182141973,-9.999999999999787,-9.999999999999787,-6.769745746451911,-6.769745746451911,True,0.0,True,True,True,False,False,False,True,False,False,False
