dt_s,q,branch,jerk_rad_s3,acceleration_rad_s2,direction,rho,critical_velocity_rad_s,reference_velocity_rad_s,velocity_limit_inactive,completed,failure_layer,failure_reason,valid_cycles,total_cycles,rest_to_rest_pulse_fraction,stop_go_event_rate_hz,endpoint_stop_fraction,profile_peak_velocity_to_reference_median,profile_velocity_ripple_to_reference_median,profile_velocity_ripple_to_reference_p95,profile_min_abs_velocity_to_reference_p05,profile_near_zero_cycle_fraction,position_rmse,lag_s,profile_exact_fraction,profile_constraint_violation_count,fallback_rate,solver_failure_count,deadline_miss_rate,evidence_role,required,analysis_failure
0.002,0.25,acceleration_limited,1000,0.125,-1,0.5,5.4687500000000001e-05,-2.7343750000000001e-05,true,true,,,500,500,1,499.99999999999955,1,1.2485297677899863,1.2485297677905403,1.2485297677954279,0,1,5.4687500000000112e-08,0.0020000000000000018,1,0,0,0,0,required_grid,true,
0.002,0.25,acceleration_limited,1000,0.125,1,0.5,5.4687500000000001e-05,2.7343750000000001e-05,true,true,,,500,500,1,499.99999999999955,1,1.2485297677899863,1.2485297677905403,1.2485297677954279,0,1,5.4687500000000112e-08,0.0020000000000000018,1,0,0,0,0,required_grid,true,
0.002,0.25,acceleration_limited,1000,0.125,-1,0.80000000000000004,5.4687500000000001e-05,-4.3750000000000006e-05,true,true,,,500,500,1,499.99999999999955,1,1.4700768345936872,1.4700768345940229,1.4700768345959077,0,1,8.7499999999997495e-08,0.0020000000000000018,1,0,0,0,0,required_grid,true,
0.002,0.25,acceleration_limited,1000,0.125,1,0.80000000000000004,5.4687500000000001e-05,4.3750000000000006e-05,true,true,,,500,500,1,499.99999999999955,1,1.4700768345936872,1.4700768345940229,1.4700768345959077,0,1,8.7499999999997495e-08,0.0020000000000000018,1,0,0,0,0,required_grid,true,
0.002,0.25,acceleration_limited,1000,0.125,-1,0.90000000000000002,5.4687500000000001e-05,-4.921875e-05,true,true,,,500,500,1,499.99999999999955,1,1.6131183096858128,1.6131183096859647,1.6131183096879274,0,1,9.8437499999997456e-08,0.0020000000000000018,1,0,0,0,0,required_grid,true,
0.002,0.25,acceleration_limited,1000,0.125,1,0.90000000000000002,5.4687500000000001e-05,4.921875e-05,true,true,,,500,500,1,499.99999999999955,1,1.6131183096858128,1.6131183096859647,1.6131183096879274,0,1,9.8437499999997456e-08,0.0020000000000000018,1,0,0,0,0,required_grid,true,
0.002,0.25,acceleration_limited,1000,0.125,-1,0.94999999999999996,5.4687500000000001e-05,-5.1953124999999997e-05,true,true,,,500,500,1,499.99999999999955,1,1.7303985204037924,1.7303985204041603,1.7303985204049617,0,1,1.0390625000000083e-07,0.0020000000000000018,1,0,0,0,0,required_grid,true,
0.002,0.25,acceleration_limited,1000,0.125,1,0.94999999999999996,5.4687500000000001e-05,5.1953124999999997e-05,true,true,,,500,500,1,499.99999999999955,1,1.7303985204037924,1.7303985204041603,1.7303985204049617,0,1,1.0390625000000083e-07,0.0020000000000000018,1,0,0,0,0.002,required_grid,true,
0.002,0.25,acceleration_limited,1000,0.125,-1,0.97999999999999998,5.4687500000000001e-05,-5.3593749999999998e-05,true,true,,,500,500,1,499.99999999999955,1,1.845344025926553,1.8453440259269844,1.8453440259275904,0,1,1.071874999999987e-07,0.0020000000000000018,1,0,0,0,0,required_grid,true,
0.002,0.25,acceleration_limited,1000,0.125,1,0.97999999999999998,5.4687500000000001e-05,5.3593749999999998e-05,true,true,,,500,500,1,499.99999999999955,1,1.845344025926553,1.8453440259269844,1.8453440259275904,0,1,1.071874999999987e-07,0.0020000000000000018,1,0,0,0,0,required_grid,true,
