dt_s,q,branch,jerk_rad_s3,acceleration_rad_s2,direction,rho,critical_velocity_rad_s,reference_velocity_rad_s,velocity_limit_inactive,completed,failure_layer,failure_reason,valid_cycles,total_cycles,analysis_failure,rest_to_rest_pulse_fraction,stop_go_event_rate_hz,endpoint_stop_fraction,profile_peak_velocity_to_reference_median,profile_velocity_ripple_to_reference_median,profile_velocity_ripple_to_reference_p95,profile_min_abs_velocity_to_reference_p05,profile_near_zero_cycle_fraction,position_rmse,lag_s,profile_exact_fraction,profile_constraint_violation_count,fallback_rate,solver_failure_count,deadline_miss_rate,evidence_role,required
0.002,1,jerk_limited,1000,0.5,-1,1,0.000125,-0.000125,true,false,follower,InvariantViolationError: ordinary Ruckig unshielded method failure: ruckig_exception (not_run),5,500,ValueError: evaluation window 'main_evaluation' has no samples,,,,,,,,,,,,,,,,exact_boundary_seam_diagnostic,false
0.002,1,jerk_limited,1000,0.5,1,1,0.000125,0.000125,true,false,follower,InvariantViolationError: ordinary Ruckig unshielded method failure: ruckig_exception (not_run),5,500,ValueError: evaluation window 'main_evaluation' has no samples,,,,,,,,,,,,,,,,exact_boundary_seam_diagnostic,false
0.002,1,jerk_limited,4000,2,-1,1,0.00050000000000000001,-0.00050000000000000001,true,false,follower,InvariantViolationError: ordinary Ruckig unshielded method failure: ruckig_exception (not_run),5,500,ValueError: evaluation window 'main_evaluation' has no samples,,,,,,,,,,,,,,,,exact_boundary_seam_diagnostic,false
0.002,1,jerk_limited,4000,2,1,1,0.00050000000000000001,0.00050000000000000001,true,false,follower,InvariantViolationError: ordinary Ruckig unshielded method failure: ruckig_exception (not_run),5,500,ValueError: evaluation window 'main_evaluation' has no samples,,,,,,,,,,,,,,,,exact_boundary_seam_diagnostic,false
0.0050000000000000001,1,jerk_limited,1000,1.25,-1,1,0.00078125000000000004,-0.00078125000000000004,true,false,follower,InvariantViolationError: ordinary Ruckig unshielded method failure: ruckig_exception (not_run),5,200,ValueError: evaluation window 'main_evaluation' has no samples,,,,,,,,,,,,,,,,exact_boundary_seam_diagnostic,false
0.0050000000000000001,1,jerk_limited,1000,1.25,1,1,0.00078125000000000004,0.00078125000000000004,true,false,follower,InvariantViolationError: ordinary Ruckig unshielded method failure: ruckig_exception (not_run),5,200,ValueError: evaluation window 'main_evaluation' has no samples,,,,,,,,,,,,,,,,exact_boundary_seam_diagnostic,false
0.0050000000000000001,1,jerk_limited,4000,5,-1,1,0.0031250000000000002,-0.0031250000000000002,true,false,follower,InvariantViolationError: ordinary Ruckig unshielded method failure: ruckig_exception (not_run),5,200,ValueError: evaluation window 'main_evaluation' has no samples,,,,,,,,,,,,,,,,exact_boundary_seam_diagnostic,false
0.0050000000000000001,1,jerk_limited,4000,5,1,1,0.0031250000000000002,0.0031250000000000002,true,false,follower,InvariantViolationError: ordinary Ruckig unshielded method failure: ruckig_exception (not_run),5,200,ValueError: evaluation window 'main_evaluation' has no samples,,,,,,,,,,,,,,,,exact_boundary_seam_diagnostic,false
0.01,1,jerk_limited,1000,2.5,-1,1,0.0031250000000000002,-0.0031250000000000002,true,false,follower,InvariantViolationError: ordinary Ruckig unshielded method failure: ruckig_exception (not_run),5,100,ValueError: evaluation window 'main_evaluation' has no samples,,,,,,,,,,,,,,,,exact_boundary_seam_diagnostic,false
0.01,1,jerk_limited,1000,2.5,1,1,0.0031250000000000002,0.0031250000000000002,true,false,follower,InvariantViolationError: ordinary Ruckig unshielded method failure: ruckig_exception (not_run),5,100,ValueError: evaluation window 'main_evaluation' has no samples,,,,,,,,,,,,,,,,exact_boundary_seam_diagnostic,false
0.01,1,jerk_limited,4000,10,-1,1,0.012500000000000001,-0.012500000000000001,true,false,follower,InvariantViolationError: ordinary Ruckig unshielded method failure: ruckig_exception (not_run),5,100,ValueError: evaluation window 'main_evaluation' has no samples,,,,,,,,,,,,,,,,exact_boundary_seam_diagnostic,false
0.01,1,jerk_limited,4000,10,1,1,0.012500000000000001,0.012500000000000001,true,false,follower,InvariantViolationError: ordinary Ruckig unshielded method failure: ruckig_exception (not_run),5,100,ValueError: evaluation window 'main_evaluation' has no samples,,,,,,,,,,,,,,,,exact_boundary_seam_diagnostic,false
0.02,1,jerk_limited,1000,5,-1,1,0.012500000000000001,-0.012500000000000001,true,false,follower,InvariantViolationError: ordinary Ruckig unshielded method failure: ruckig_exception (not_run),5,50,ValueError: evaluation window 'main_evaluation' has no samples,,,,,,,,,,,,,,,,exact_boundary_seam_diagnostic,false
0.02,1,jerk_limited,1000,5,1,1,0.012500000000000001,0.012500000000000001,true,false,follower,InvariantViolationError: ordinary Ruckig unshielded method failure: ruckig_exception (not_run),5,50,ValueError: evaluation window 'main_evaluation' has no samples,,,,,,,,,,,,,,,,exact_boundary_seam_diagnostic,false
0.02,1,jerk_limited,4000,20,-1,1,0.050000000000000003,-0.050000000000000003,true,false,follower,InvariantViolationError: ordinary Ruckig unshielded method failure: ruckig_exception (not_run),5,50,ValueError: evaluation window 'main_evaluation' has no samples,,,,,,,,,,,,,,,,exact_boundary_seam_diagnostic,false
0.02,1,jerk_limited,4000,20,1,1,0.050000000000000003,0.050000000000000003,true,false,follower,InvariantViolationError: ordinary Ruckig unshielded method failure: ruckig_exception (not_run),5,50,ValueError: evaluation window 'main_evaluation' has no samples,,,,,,,,,,,,,,,,exact_boundary_seam_diagnostic,false
