method_id,family,dt_s,q,branch,rho,acceleration_rad_s2,jerk_rad_s3,critical_velocity_rad_s,prediction_horizon_steps,minimum_duration_steps,minimum_duration_enabled,completed,failure_layer,failure_reason,valid_cycles,total_cycles,rest_to_rest_pulse_fraction,stop_go_event_rate_hz,endpoint_stop_fraction,profile_peak_velocity_to_reference_median,profile_velocity_ripple_to_reference_median,profile_velocity_ripple_to_reference_p95,profile_min_abs_velocity_to_reference_p05,profile_near_zero_cycle_fraction,position_rmse,lag_s,profile_exact_fraction,profile_constraint_violation_count,fallback_rate,solver_failure_count,deadline_miss_rate
p_only_current,core,0.0050000000000000001,0.5,acceleration_limited,0.5,2.5,4000,0.0023437500000000003,1,1,true,true,,,200,200,1,199.99999999999983,1,1.3333333333332764,1.3333333333335131,1.3333333333342239,0,1,5.8593750000000154e-06,0.0050000000000000044,1,0,0,0,0
p_only_scheduled,core,0.0050000000000000001,0.5,acceleration_limited,0.5,2.5,4000,0.0023437500000000003,1,1,true,true,,,200,200,1,199.99999999999983,1,1.3333333333332764,1.3333333333335131,1.3333333333342239,0,1,3.5194328258526819e-20,0,1,0,0,0,0
pv_oracle,core,0.0050000000000000001,0.5,acceleration_limited,0.5,2.5,4000,0.0023437500000000003,1,1,true,true,,,200,200,0,0,0,1,0,0,1,0,3.573193874883605e-19,0,1,0,0,0,0
pv_future_o1,raw_causal_diagnostic,0.0050000000000000001,0.5,acceleration_limited,0.5,2.5,4000,0.0023437500000000003,1,1,true,true,,,200,200,0,0,0,1.00000000000001,2.5905203907920314e-14,3.7377508495713599e-14,0.9999999999999637,0,9.4043276025114463e-19,0,1,0,0,0,0
pv_future_o1_deadband,core,0.0050000000000000001,0.5,acceleration_limited,0.5,2.5,4000,0.0023437500000000003,1,1,true,true,,,200,200,0,0,0,1.0000000000000002,0,0,1.0000000000000002,0,3.4755108887232056e-19,0,1,0,0,0,0
pv_lambda_m1p0,velocity_fraction,0.0050000000000000001,0.5,acceleration_limited,0.5,2.5,4000,0.0023437500000000003,1,1,true,true,,,200,200,0,0,0,3.0000000000001079,4.0000000000001581,4.0000000000003437,0,1,3.7226608845762008e-19,0,1,0,0,0,0
pv_lambda_0p0,velocity_fraction,0.0050000000000000001,0.5,acceleration_limited,0.5,2.5,4000,0.0023437500000000003,1,1,true,true,,,200,200,1,199.99999999999983,1,1.333333333333278,1.3333333333335131,1.333333333334231,0,1,3.7207031348301901e-20,0,1,0,0,0,0
pv_lambda_0p25,velocity_fraction,0.0050000000000000001,0.5,acceleration_limited,0.5,2.5,4000,0.0023437500000000003,1,1,true,true,,,200,200,0,0,0,1.2006922288897284,0.95069222889047611,0.95069222889082394,0.24999999999905251,0,1.3333468304428106e-19,0,1,0,0,0,0
pv_lambda_0p5,velocity_fraction,0.0050000000000000001,0.5,acceleration_limited,0.5,2.5,4000,0.0023437500000000003,1,1,true,true,,,200,200,0,0,0,1.1008325713059215,0.60083257130608059,0.60083257130655088,0.49999999999905242,0,5.9547566794606641e-20,0,1,0,0,0,0
pv_lambda_0p75,velocity_fraction,0.0050000000000000001,0.5,acceleration_limited,0.5,2.5,4000,0.0023437500000000003,1,1,true,true,,,200,200,0,0,0,1.032510398865184,0.28251039886554868,0.28251039886696988,0.7499999999981054,0,4.0654923302702279e-09,0,1,0,0,0,0
pv_lambda_1p0,velocity_fraction,0.0050000000000000001,0.5,acceleration_limited,0.5,2.5,4000,0.0023437500000000003,1,1,true,true,,,200,200,0,0,0,1,0,0,1,0,3.573193874883605e-19,0,1,0,0,0,0
pv_lambda_1p25,velocity_fraction,0.0050000000000000001,0.5,acceleration_limited,0.5,2.5,4000,0.0023437500000000003,1,1,true,true,,,200,200,0,0,0,1.2500000000000546,0.2825103988659135,0.28251039886696966,0.96748960113481575,0,4.0654923303293664e-09,0,1,0,0,0,0
pv_random_sign,negative_control,0.0050000000000000001,0.5,acceleration_limited,0.5,2.5,4000,0.0023437500000000003,1,1,true,true,,,200,200,0,0,0,1.478818813812004,2.4788188138119991,4.0000000000007931,0,0.76033057851239672,8.3197451335768708e-20,0,1,0,0,0,0
p_lookahead_h0,position_lookahead,0.0050000000000000001,0.5,acceleration_limited,0.5,2.5,4000,0.0023437500000000003,0,1,true,true,,,200,200,1,199.99999999999983,1,1.3333333333332764,1.3333333333335131,1.3333333333342239,0,1,5.8593750000000154e-06,0.0050000000000000044,1,0,0,0,0
p_lookahead_h1,position_lookahead,0.0050000000000000001,0.5,acceleration_limited,0.5,2.5,4000,0.0023437500000000003,1,1,true,true,,,200,200,1,199.99999999999983,1,1.333333333333278,1.3333333333335131,1.333333333334231,0,1,3.7207031348301901e-20,0,1,0,0,0,0
p_lookahead_h2,position_lookahead,0.0050000000000000001,0.5,acceleration_limited,0.5,2.5,4000,0.0023437500000000003,2,1,true,true,,,200,200,1,199.99999999999983,1,1.333333333333278,1.3333333333335131,1.3333333333342239,0,1,5.8593749999999993e-06,-0.0050000000000000044,1,0,0,0,0
p_lookahead_h5,position_lookahead,0.0050000000000000001,0.5,acceleration_limited,0.5,2.5,4000,0.0023437500000000003,5,1,true,true,,,200,200,1,199.99999999999983,1,1.333333333333278,1.3333333333335131,1.3333333333342239,0,1,2.3437500000000021e-05,-0.020000000000000018,1,0,0,0,0
p_min_duration_off,minimum_duration,0.0050000000000000001,0.5,acceleration_limited,0.5,2.5,4000,0.0023437500000000003,1,0,false,true,,,200,200,1,199.99999999999983,1,2.6666666666665524,2.6666666666667891,2.6666666666671448,0,1,6.3303768490319594e-20,0,1,0,0,0,0
