dataset,dataset_label,mechanism,contrast,left_method_id,right_method_id,left_normalized_rmse_robust,right_normalized_rmse_robust,absolute_nrmse_change,relative_change_vs_left_pct,absolute_change_as_p_only_latest_pct,preferred_direction
no_velocity_limit,Simplified · no velocity limit,delay_only,P-only delayed − P-only latest,p_only_latest,p_only_delayed,0.13650811664671722,0.14456935390105047,0.008061237254333248,5.905317172601331,5.905317172601331,negative
no_velocity_limit,Simplified · no velocity limit,centered_state_beyond_delay,Unclamped centered PVA − delayed P-only,p_only_delayed,centered_pva_delayed_unclamped,0.14456935390105047,0.15910840528488218,0.014539051383831714,10.056800415517435,10.650686377469228,negative
no_velocity_limit,Simplified · no velocity limit,independent_clamp_vs_joint_projection,Independent clamp − joint feasibility projection,centered_pva_delayed_unclamped,centered_pva_delayed_clamped,0.15910840528488218,0.3117933040015337,0.15268489871665153,95.96281129414287,111.85041773874867,negative
no_velocity_limit,Simplified · no velocity limit,remove_position_delay,Latest-P centered PVA − production-like,centered_pva_delayed_clamped,centered_pva_latest_position_clamped,0.3117933040015337,0.3132459685787871,0.0014526645772534041,0.46590627784817934,1.0641598557929692,negative
no_velocity_limit,Simplified · no velocity limit,propagate_derivative_age,P/V age compensated − latest-P centered PVA,centered_pva_latest_position_clamped,centered_pva_propagated_clamped,0.3132459685787871,0.37505578055226574,0.06180981197347862,19.732037495618183,45.27922111286783,negative
no_velocity_limit,Simplified · no velocity limit,remove_target_acceleration,Delayed PV − production-like PVA,centered_pva_delayed_clamped,centered_pv_delayed_clamped,0.3117933040015337,0.3263572960540747,0.014563992052540997,4.671040675225456,10.66895684322756,negative
velocity_limit,Simplified · velocity limit,delay_only,P-only delayed − P-only latest,p_only_latest,p_only_delayed,0.005036475256476636,0.00651409980016752,0.0014776245436908834,29.338465264784883,29.338465264784883,negative
velocity_limit,Simplified · velocity limit,centered_state_beyond_delay,Unclamped centered PVA − delayed P-only,p_only_delayed,centered_pva_delayed_unclamped,0.00651409980016752,0.004995146870430025,-0.001518952929737495,-23.31792536703894,-30.15904680131612,negative
velocity_limit,Simplified · velocity limit,independent_clamp_vs_joint_projection,Independent clamp − joint feasibility projection,centered_pva_delayed_unclamped,centered_pva_delayed_clamped,0.004995146870430025,0.005300998880658034,0.0003058520102280091,6.122983330852067,6.07273926015421,negative
velocity_limit,Simplified · velocity limit,remove_position_delay,Latest-P centered PVA − production-like,centered_pva_delayed_clamped,centered_pva_latest_position_clamped,0.005300998880658034,0.003955224574767666,-0.0013457743058903678,-25.387183362757316,-26.7205582745547,negative
velocity_limit,Simplified · velocity limit,propagate_derivative_age,P/V age compensated − latest-P centered PVA,centered_pva_latest_position_clamped,centered_pva_propagated_clamped,0.003955224574767666,0.00569682792795784,0.0017416033531901737,44.032982711038024,34.579805608109865,negative
velocity_limit,Simplified · velocity limit,remove_target_acceleration,Delayed PV − production-like PVA,centered_pva_delayed_clamped,centered_pv_delayed_clamped,0.005300998880658034,0.006983197849059237,0.0016821989684012032,31.73362240348908,33.40032230353928,negative
