max_velocity_limit,max_acceleration_limit,max_jerk_limit,dataset,method,explicit_delay_ms,prediction_lookahead_ms,minimum_duration_ms,target_state_mode,rmse,mae,max_error,best_lag_ms,lag_aligned_rmse,target_projection_rate,target_max_velocity,target_max_acceleration,target_p99_jerk,trajectory_duration_p50_ms,trajectory_duration_p90_ms,trajectory_duration_p99_ms,trajectory_duration_max_ms,reachable_within_lookahead_rate,output_max_velocity,output_max_acceleration,output_max_jerk,estimator_compute_p50_us,estimator_compute_p99_us,ruckig_compute_p99_us
4.1,4.0,20.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.18261693950872074,0.11142432578999494,0.7937360451476594,400.0,0.10720170535975941,0.4711943793911007,1.9201549251526242,3.99999996,799.9999919999998,662.9879859311212,1098.248466511538,1508.936380109897,1734.4616422901795,0.007235142118863049,1.5422543937519622,4.0,20.000000000000018,1.125,3.6922199999999394,2.0134399999999877
4.1,4.0,41.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.10183283379095624,0.05811280872269152,0.47222047931093347,220.0,0.051309579151443886,0.4711943793911007,1.9201549251526242,3.99999996,799.9999919999998,326.47230555153413,682.8754342191921,1055.6442094963445,1537.3910253816798,0.012919896640826873,1.5421665851025155,4.0,41.000000000000014,1.125,3.125,2.2058399999999456
4.1,4.0,80.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.10498914739293368,0.0525309196061021,0.601731142981105,210.0,0.06282028639427148,0.4711943793911007,1.9201549251526242,3.99999996,799.9999919999998,243.4321349234522,578.1721462668896,827.1774497898979,1124.7741656265428,0.025839793281653745,1.7176983051754107,4.0,80.0,1.084,5.096439999999988,2.79166
4.1,4.0,200.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.10468509098233639,0.05563142914143267,0.5327266314885827,200.0,0.06684382368494966,0.4711943793911007,1.9201549251526242,3.99999996,799.9999919999998,209.24154285858577,535.3606175368783,783.0036666975318,1293.6593192041394,0.059431524547803614,1.6728239830295077,4.0,200.0,1.084,1.9586599999999998,1.917
4.1,4.0,400.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.09897331938938911,0.0502322345077225,0.5363938630063432,190.0,0.06263558846710522,0.4711943793911007,1.9201549251526242,3.99999996,799.9999919999998,180.517112871508,489.9273558497783,697.31261818172,1265.1105903079522,0.11007751937984496,1.7146190712149845,4.0,400.0,1.084,2.041159999999982,2.235719999999994
4.1,4.0,800.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.10653594927105717,0.05406590599641437,0.5486260162335986,200.0,0.06704897640188956,0.4711943793911007,1.9201549251526242,3.99999996,799.9999919999998,173.43892516597393,486.7409673641109,674.9085862242935,1169.3877621191052,0.13074935400516796,1.741963331707307,4.0,800.0,1.083,1.708,2.167
4.1,4.0,1600.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.1010054068140433,0.05144992027804495,0.5106795150473659,190.0,0.06390912663690305,0.4711943793911007,1.9201549251526242,3.99999996,799.9999919999998,167.82610283253658,479.2650582345139,678.8368139895291,1165.3419980414124,0.16124031007751938,1.696610226418104,4.0,800.0,1.083,1.4860599999999942,1.5690599999999941
4.1,4.0,3200.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.10363511336924881,0.052836539615131226,0.5262486497534808,200.0,0.0659416064986898,0.4711943793911007,1.9201549251526242,3.99999996,799.9999919999998,166.61608963417785,483.0634017179486,676.8751811091034,1159.3019761123082,0.16227390180878554,1.7134251049103166,4.0,800.0,1.083,1.583,1.5
4.1,4.0,6400.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.10366316709995842,0.05289176008246486,0.5258360279884798,200.0,0.06561187725132635,0.4711943793911007,1.9201549251526242,3.99999996,799.9999919999998,167.09101594763834,480.1314813677279,673.7559997390143,1154.9836544007687,0.16279069767441862,1.7154123000731019,4.0,800.0,1.083,1.4440599999999941,1.2360599999999942
4.1,4.0,12800.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.10325116099951827,0.05333725136153735,0.5124448484627243,200.0,0.06407440463384306,0.4711943793911007,1.9201549251526242,3.99999996,799.9999919999998,168.9600303967574,479.00626747096436,671.9584252197092,1151.5618318077518,0.16175710594315246,1.7142028762495247,4.0,800.0,1.083,1.5,1.0836599999999998
4.1,4.0,19200.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.10143161994339116,0.051685464152666664,0.5119390942205492,190.0,0.0636156396537307,0.4711943793911007,1.9201549251526242,3.99999996,799.9999919999998,166.45311052030164,472.7505672365586,662.9147862258583,1149.0797039378092,0.16382428940568475,1.7157288225113412,4.000000000000001,800.0,1.084,7.388779999999987,3.167
4.1,4.0,25600.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.10212486306711188,0.052384368579996114,0.5117325290479765,190.0,0.0635513993553358,0.4711943793911007,1.9201549251526242,3.99999996,799.9999919999998,166.74659397387708,473.9602069421333,672.5423846752162,1194.0213554295435,0.16795865633074936,1.7163622234572498,4.0,800.0,1.084,2.0134399999999877,1.2086599999999998
4.1,4.0,38400.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.10202451050388876,0.052327206921818185,0.5116200966614761,190.0,0.06355374609665565,0.4711943793911007,1.9201549251526242,3.99999996,799.9999919999998,166.55967456959496,473.9801490002417,673.9296613869295,1194.1228492492621,0.16795865633074936,1.7167332946206506,4.000000000000001,800.0,1.084,10.6994999999998,2.709
4.1,4.0,51200.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.10212191698274425,0.052400580757219324,0.511628111164342,190.0,0.06358723388150359,0.4711943793911007,1.9201549251526242,3.99999996,799.9999919999998,166.75974302831946,474.0122901512167,672.2632355162564,1193.7550882401288,0.165374677002584,1.7167399819559293,4.0,800.0,1.084,5.385939999999933,2.8459399999999695
4.1,6.0,20.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.3250369768389273,0.21992022755465016,1.1207736661308414,720.0,0.20962110598599518,0.37423887587822013,2.0964315433158127,5.9999999399999995,1199.9999879999998,972.7898331881044,1528.514855059707,1870.4430869736684,2081.3991532816,0.007235142118863049,2.053202288916181,6.0,20.000000000000018,1.084,6.554779999999988,2.8459399999999695
4.1,6.0,41.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.10636265790479874,0.06646058353933078,0.3914055572553562,230.0,0.05874509619425263,0.37423887587822013,2.0964315433158127,5.9999999399999995,1199.9999879999998,409.8166386905209,741.5073406039799,1114.6436368605662,1483.8381229322158,0.011886304909560724,1.8532084552648647,6.0,41.000000000000014,1.125,12.19105999999992,4.414999999999964
4.1,6.0,80.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.09230543208043514,0.05121761143317696,0.3254321310907581,190.0,0.05557820103175402,0.37423887587822013,2.0964315433158127,5.9999999399999995,1199.9999879999998,247.28131885382987,539.2432427719765,814.7298205329059,1163.9002198280396,0.023255813953488372,2.0021174517910945,6.0,80.00000000000003,1.084,2.818719999999994,1.4166599999999998
4.1,6.0,200.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.07635323600429868,0.0377337569731184,0.4426933341275221,130.0,0.05445953270936108,0.37423887587822013,2.0964315433158127,5.9999999399999995,1199.9999879999998,167.3367898882671,427.1923584681042,674.0452678378423,908.166499497251,0.05891472868217054,1.9872857262651138,6.0,200.00000000000003,1.125,4.152059999999994,3.7631199999999883
4.1,6.0,400.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.06552255829558427,0.033642759003841845,0.3022113250698807,110.0,0.0450602719030608,0.37423887587822013,2.0964315433158127,5.9999999399999995,1199.9999879999998,134.3261238153167,382.7465159047055,647.3265277515029,929.6773887514248,0.12919896640826872,2.1953091661862105,6.0,400.0,1.125,11.079999999999927,5.579999999999927
4.1,6.0,800.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.06707815202819842,0.0322162724959983,0.35169969146224467,110.0,0.04572400295486565,0.37423887587822013,2.0964315433158127,5.9999999399999995,1199.9999879999998,110.1196772133515,361.9069555516116,612.6124687392013,838.927096317608,0.22739018087855298,2.0628150631406084,6.000000000000001,800.0,1.084,4.069059999999994,3.76227999999997
