metric_group,metric,label,unit,preferred_direction,current_csv,no_velocity_limit,velocity_limit,no_limit_vs_current_change_pct,velocity_limit_vs_current_change_pct,velocity_limit_vs_no_limit_change_pct
workload,position_range_rad,Position range,rad,context,0.8038318190723517,1.020332324765507,0.9581948516458032,26.933557562202992,19.20339913286731,-6.0899249794898145
workload,fixed_grid_duration_s,Fixed-grid duration,s,context,19.35,12.74,76.72,-34.16020671834626,296.4857881136951,502.19780219780216
raw_pvaj,max_abs_velocity,Maximum absolute velocity,rad/s,lower,2.050371202028904,3.149518737590139,0.9711642139338894,53.60724606713142,-52.63471253532564,-69.1646789605393
raw_pvaj,p99_abs_velocity,P99 absolute velocity,rad/s,lower,1.6364114718257483,2.593378420471076,0.524350403146944,58.47960400678672,-67.95730094938011,-79.78118430353493
raw_pvaj,rms_velocity,RMS velocity,rad/s,lower,0.48089813564911854,0.7513635507894496,0.12791144401845467,56.24172669649791,-73.40155127742402,-82.97609141619134
raw_pvaj,max_abs_acceleration,Maximum absolute acceleration,rad/s^2,lower,280.09102085992384,161.7430447745277,129.29402470382988,-42.25339881373173,-53.83856851002338,-20.062080639035983
raw_pvaj,p99_abs_acceleration,P99 absolute acceleration,rad/s^2,lower,151.93563392520176,64.90631473513363,7.06770508292482,-57.280387057135556,-95.34822417866485,-89.11091299549767
raw_pvaj,rms_acceleration,RMS acceleration,rad/s^2,lower,33.5389561499206,15.401083896297825,4.01092431870014,-54.08001421554592,-88.04099835197275,-73.95686988196783
raw_pvaj,max_abs_jerk,Maximum absolute jerk,rad/s^3,lower,14357.727420432257,6781.984388042852,6622.073753356022,-52.76422103966457,-53.87798110770474,-2.357873824787385
raw_pvaj,p99_abs_jerk,P99 absolute jerk,rad/s^3,lower,10021.828760297965,4068.254276631196,546.307149093862,-59.40606875316197,-94.54882774231696,-86.57146009206083
raw_pvaj,rms_jerk,RMS jerk,rad/s^3,lower,2290.1613911146806,879.8473567912855,253.41090149268288,-61.58142564952414,-88.93480160499338,-71.19831075962462
tracking,rmse,P-only tracking RMSE,rad,lower,0.03518699100246076,0.09598805411784195,0.004125495168881926,172.79415313213096,-88.27551020604912,-95.70207438123794
tracking,normalized_rmse_robust,P-only robust-scale NRMSE,ratio,lower,0.06472470334253028,0.13650811664671722,0.005036475256476636,110.90574324350503,-92.21861979061835,-96.31049392505281
tracking,max_error,P-only maximum error,rad,lower,0.18452842848970727,0.5128313358781429,0.03184777318385834,177.91454144787662,-82.7409936536501,-93.7898152948622
tracking,normalized_max_error_range,P-only range-normalized maximum error,ratio,lower,0.22956099038559974,0.5026120641586083,0.033237261846227155,118.9448927338906,-85.52138070566883,-93.38709429868788
tracking,abs_best_lag_ms,P-only absolute best lag,ms,lower,70.0,120.0,30.0,71.42857142857143,-57.142857142857146,-75.0
tracking,lag_aligned_rmse,P-only lag-aligned RMSE,rad,lower,0.014975179450356882,0.04705217559512571,0.0012830549709379007,214.20108020144212,-91.43212289915282,-97.27312296464606
tracking,reachable_within_10ms_rate,P-only target reachable within 10 ms,rate,higher,0.08742886704604243,0.08176100628930817,0.25958279009126467,-6.4828253507498905,196.9074161221388,217.48972018854684
tracking,ruckig_compute_p99_us,P-only Ruckig compute P99,us,lower,6.085000000000008,1.857359999999997,2.179709999999979,-69.47641741988505,-64.17896466721486,17.35527845974839
