dataset,label,derivative_basis,signal,unit,evaluation_start_index,evaluation_stop_index_exclusive,max_abs,p99_abs,rms,min,max
current_csv,Current CSV,fixed_10ms_centered,position,rad,3,1933,0.6830613042854476,0.6450142980917505,0.21622926502635625,-0.6830613042854476,0.12077051478690409
current_csv,Current CSV,fixed_10ms_centered,velocity,rad/s,3,1933,2.050371202028904,1.6364114718257483,0.48089813564911854,-2.046920701428324,2.050371202028904
current_csv,Current CSV,fixed_10ms_centered,acceleration,rad/s^2,3,1933,280.09102085992384,151.93563392520176,33.5389561499206,-280.09102085992384,188.48686698254818
current_csv,Current CSV,fixed_10ms_centered,jerk,rad/s^3,3,1933,14357.727420432257,10021.828760297965,2290.1613911146806,-14357.727420432257,14255.087526873236
no_velocity_limit,Simplified · no velocity limit,fixed_10ms_centered,position,rad,3,1272,0.5148083764826042,0.5041956413079128,0.22083122810926448,-0.5148083764826042,0.5055239482829027
no_velocity_limit,Simplified · no velocity limit,fixed_10ms_centered,velocity,rad/s,3,1272,3.149518737590139,2.593378420471076,0.7513635507894496,-2.5748831614244403,3.149518737590139
no_velocity_limit,Simplified · no velocity limit,fixed_10ms_centered,acceleration,rad/s^2,3,1272,161.7430447745277,64.90631473513363,15.401083896297825,-146.11220431244715,161.7430447745277
no_velocity_limit,Simplified · no velocity limit,fixed_10ms_centered,jerk,rad/s^3,3,1272,6781.984388042852,4068.254276631196,879.8473567912855,-6101.992216587061,6781.984388042852
velocity_limit,Simplified · velocity limit,fixed_10ms_centered,position,rad,3,7670,0.6388237220781732,0.628037461950437,0.21565733092677367,-0.6388237220781732,0.3193711295676301
velocity_limit,Simplified · velocity limit,fixed_10ms_centered,velocity,rad/s,3,7670,0.9711642139338894,0.524350403146944,0.12791144401845467,-0.8050376695567886,0.9711642139338894
velocity_limit,Simplified · velocity limit,fixed_10ms_centered,acceleration,rad/s^2,3,7670,129.29402470382988,7.06770508292482,4.01092431870014,-105.51182322846728,129.29402470382988
velocity_limit,Simplified · velocity limit,fixed_10ms_centered,jerk,rad/s^3,3,7670,6622.073753356022,546.307149093862,253.41090149268288,-6622.073753356022,6456.796203863857
