experiment,dataset,method_id,method,result_group,target_components,derivative_source,causal,future_samples,native_delay_samples,target_timing,evaluation_start_index,evaluation_stop_index_exclusive,sweep_type,sweep_value,max_velocity_limit,max_acceleration_limit,max_jerk_limit,minimum_duration_ms,rmse,mae,max_error,best_lag_ms,lag_aligned_rmse,raw_target_feasible_rate,target_projection_rate,projection_velocity_rmse,projection_acceleration_rmse,raw_target_max_velocity,raw_target_max_acceleration,raw_target_max_sampled_jerk,projected_target_max_velocity,projected_target_max_acceleration,trajectory_duration_p50_ms,trajectory_duration_p90_ms,trajectory_duration_p99_ms,reachable_within_10ms_rate,output_max_velocity,output_max_acceleration,output_max_new_jerk,output_max_sampled_jerk,output_velocity_saturation_rate,output_acceleration_saturation_rate,output_new_jerk_saturation_rate,ruckig_compute_p99_us,ruckig_compute_max_us,settle_time_to_1e3_ms,settle_max_error,settle_final_error,dataset_label,position_range_rad,position_robust_scale_rad,normalized_rmse_robust,normalized_mae_robust,normalized_max_error_range,abs_best_lag_ms
baseline,current_csv,p,P,core,p,none,True,0,0,target[k] -> output[k+1],3,1936,none,nan,4.1,8.2,4000.0,10.0,0.03518699100246076,0.0175044112519558,0.18452842848970727,70.0,0.014975179450356882,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.73036186622759,116.23185783711577,204.22887068758055,0.08742886704604243,1.5888728923893267,8.2,4000.0,1639.9999999999998,0.0,0.6916709777547853,0.22090015519917228,1.583,5.75,0.0,1.5334955527634975e-15,1.5334955527634975e-15,Current CSV,0.8038318190723517,0.5436408231374553,0.06472470334253028,0.0321984856673097,0.22956099038559974,70.0
baseline,current_csv,pv_backward,PV · historical backward FD,core,pv,backward_fd,True,0,0,target[k] -> output[k+1],3,1936,none,nan,4.1,8.2,4000.0,10.0,0.06397832213362444,0.028256890704759705,0.32712899473964596,110.0,0.04177931394396851,1.0,0.0,0.0,0.0,2.844420865977715,0.0,0.0,2.844420865977715,0.0,23.772067418844536,245.23301509393613,589.1099610097706,0.19555095706156234,2.484041456605159,8.200000000000001,4000.0,1639.9999999999998,0.0,0.6083807553026384,0.19606828763579928,1.625,7.333,0.0,9.407748885470468e-11,9.407738477129612e-11,Current CSV,0.8038318190723517,0.5436408231374553,0.11768491145384058,0.051977131779184234,0.40696198754257273,110.0
baseline,current_csv,pva_backward,PVA · historical backward FD,core,pva,backward_fd,True,0,0,target[k] -> output[k+1],3,1936,none,nan,4.1,8.2,4000.0,10.0,0.03874099146367436,0.016935585313036048,0.24049242424815687,70.0,0.023579533979721345,0.6735644076564925,0.3264355923435075,0.30804325396760035,30.368774248978667,2.844420865977715,280.09102085992384,44460.847180796954,1.932206320576263,8.199999918,18.307348702938786,139.21797210876795,371.17259414099874,0.2048629073978272,2.214812653994528,8.200000000000001,4000.0,1639.9999999999998,0.0,0.5442317640972582,0.25090532850491465,1.875,7.292,0.0,1.2935771898092696e-10,6.938893903907228e-18,Current CSV,0.8038318190723517,0.5436408231374553,0.07126210875793447,0.031152158911278115,0.2991825137324037,70.0
baseline,current_csv,pv_central_offline,PV · centered FD (offline),core,pv,centered_fd_offline,False,1,0,target[k] -> output[k+1],3,1936,none,nan,4.1,8.2,4000.0,10.0,0.0672252671036135,0.030952196360105617,0.3328704542455819,130.0,0.03888314445935793,1.0,0.0,0.0,0.0,2.050371202028904,0.0,0.0,2.050371202028904,0.0,21.890962840186994,225.65504035381664,475.71543141732616,0.23072943610967409,2.4118578202080614,8.200000000000001,4000.0,1639.9999999999998,0.0,0.61148473874806,0.1577858251422659,2.125,5.666,0.0,3.3875194316301815e-12,3.387415348221623e-12,Current CSV,0.8038318190723517,0.5436408231374553,0.12365750370923877,0.05693501121103188,0.4141046004246577,130.0
baseline,current_csv,pva_central_offline,PVA · centered FD (offline),core,pva,centered_fd_offline,False,1,0,target[k] -> output[k+1],3,1936,none,nan,4.1,8.2,4000.0,10.0,0.04470066849690073,0.020096187408727536,0.2607792754863546,80.0,0.025932891116934528,0.6735644076564925,0.3264355923435075,0.27120947446509763,30.368774248978667,2.050371202028904,280.09102085992384,44460.847180796954,1.957878422605025,8.199999918,20.060625937300625,143.283812702274,331.53439250516493,0.2710812209001552,2.1097938858509453,8.200000000000001,4000.0,1639.9999999999998,0.0,0.5835488877392654,0.1469218830832902,1.7785600000000028,5.166,0.0,2.098751727963588e-12,2.0987378501757803e-12,Current CSV,0.8038318190723517,0.5436408231374553,0.08222463544758211,0.036965927784356936,0.3244201949946476,80.0
baseline,current_csv,pv_central_causal,PV · centered FD (causal delay-1),realtime_supplement,pv,centered_fd_causal_delay1,True,0,1,target[k] -> output[k+1],3,1936,none,nan,4.1,8.2,4000.0,10.0,0.07856071108936082,0.03523684696189766,0.46618799413774104,160.0,0.0469640263927473,1.0,0.0,0.0,0.0,3.9816992121728014,0.0,0.0,3.9816992121728014,0.0,34.203878348429,282.54418549587325,660.4542321892824,0.17640972581479566,2.459102880074313,8.200000000000001,4000.0,1639.9999999999998,0.0,0.6896016554578376,0.13398861872736678,1.6528800000000026,6.084,0.0,3.3875194316301815e-12,3.3875124927362776e-12,Current CSV,0.8038318190723517,0.5436408231374553,0.14450848381100578,0.06481641087683421,0.5799571291862237,160.0
baseline,current_csv,pva_central_causal,PVA · centered FD (causal delay-1),realtime_supplement,pva,centered_fd_causal_delay1,True,0,1,target[k] -> output[k+1],3,1936,none,nan,4.1,8.2,4000.0,10.0,0.04410854224537917,0.01957110799113282,0.2431320117792195,80.0,0.024227833998073538,0.6735644076564925,0.3264355923435075,0.4029141795215602,30.368774248978667,3.9816992121728014,280.09102085992384,44460.847180796954,1.9208103020696699,8.199999918,24.10624920745868,156.3388136558479,370.05780621547075,0.19451629591308847,2.1843474242017504,8.200000000000001,4000.0,1639.9999999999998,0.0,0.6161407139161924,0.1893429901707191,1.833,4.708,0.0,2.153760503276203e-11,2.1537563399398607e-11,Current CSV,0.8038318190723517,0.5436408231374553,0.08113544893634059,0.036000070557954435,0.30246626969781043,80.0
baseline,no_velocity_limit,p,P,core,p,none,True,0,0,target[k] -> output[k+1],3,1275,none,nan,4.1,8.2,4000.0,10.0,0.09598805411784195,0.04433101644537178,0.5128313358781429,120.0,0.04705217559512571,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.25951862835426,215.9263130236446,363.0837335868242,0.08176100628930817,2.4703575315692716,8.2,4000.0,1639.9999999999998,0.0,0.6965408805031447,0.22169811320754718,1.833,2.791,0.0,4.5602410736478305e-14,4.5602410736478305e-14,Simplified · no velocity limit,1.020332324765507,0.7031673755067537,0.13650811664671722,0.06304475717950313,0.5026120641586083,120.0
baseline,no_velocity_limit,pv_backward,PV · historical backward FD,core,pv,backward_fd,True,0,0,target[k] -> output[k+1],3,1275,none,nan,4.1,8.2,4000.0,10.0,0.23540691288854182,0.10162444097557267,1.056834773336372,240.0,0.18271994111356418,1.0,0.0,0.0,0.0,3.2921786609470245,0.0,0.0,3.2921786609470245,0.0,35.63699721697358,375.43358735568376,892.8328339588229,0.24764150943396226,2.9528988171354715,8.200000000000001,4000.0,1639.9999999999998,0.0,0.5982704402515723,0.1540880503144654,1.75,8.292,0.0,5.156985949383852e-14,5.156985949383852e-14,Simplified · no velocity limit,1.020332324765507,0.7031673755067537,0.33478076641267723,0.14452382820282966,1.0357750584636767,240.0
baseline,no_velocity_limit,pva_backward,PVA · historical backward FD,core,pva,backward_fd,True,0,0,target[k] -> output[k+1],3,1275,none,nan,4.1,8.2,4000.0,10.0,0.1037261884624942,0.046465564278341163,0.5632195744094677,130.0,0.05846749467628504,0.7507861635220126,0.24921383647798742,0.4271543742391607,12.274798358234975,3.2921786609470245,161.7430447745277,30785.52490869748,3.1593266369581428,8.199999918,16.433725790565266,239.27792087822422,444.4982272363894,0.279874213836478,2.4930745909182965,8.2,4000.0,1639.9999999999998,0.0,0.5212264150943396,0.1988993710691824,2.024359999999997,6.666,0.0,2.7755575615628914e-17,0.0,Simplified · no velocity limit,1.020332324765507,0.7031673755067537,0.14751280004670517,0.06608037559315759,0.551996208234319,130.0
