scope,window_samples,window_duration_s,window_count,demand_metric,tracking_metric,spearman_rho_descriptive,naive_p_value_not_for_inference,inference_status
combined,100,1.0,31,position_range_rad,tracking_rmse_rad,0.8580645161290325,6.843664854267079e-10,descriptive_only_autocorrelated_windows_two_traces
combined,100,1.0,31,max_abs_velocity,tracking_rmse_rad,0.8104838709677421,3.2741220657067564e-08,descriptive_only_autocorrelated_windows_two_traces
combined,100,1.0,31,max_abs_acceleration,tracking_rmse_rad,0.6108870967741936,0.0002621034569744805,descriptive_only_autocorrelated_windows_two_traces
combined,100,1.0,31,max_abs_jerk,tracking_rmse_rad,0.6056451612903225,0.00030579436476928614,descriptive_only_autocorrelated_windows_two_traces
combined,100,1.0,31,rms_velocity,tracking_rmse_rad,0.8733870967741937,1.4473102459389593e-10,descriptive_only_autocorrelated_windows_two_traces
combined,100,1.0,31,rms_acceleration,tracking_rmse_rad,0.6201612903225807,0.00019818904138671728,descriptive_only_autocorrelated_windows_two_traces
combined,100,1.0,31,rms_jerk,tracking_rmse_rad,0.6088709677419356,0.0002782046148701678,descriptive_only_autocorrelated_windows_two_traces
current_csv,100,1.0,19,position_range_rad,tracking_rmse_rad,0.9368421052631579,3.5437779291315266e-09,descriptive_only_autocorrelated_windows_two_traces
current_csv,100,1.0,19,max_abs_velocity,tracking_rmse_rad,0.975438596491228,1.3190643557743196e-12,descriptive_only_autocorrelated_windows_two_traces
current_csv,100,1.0,19,max_abs_acceleration,tracking_rmse_rad,0.9421052631578948,1.7223836464188943e-09,descriptive_only_autocorrelated_windows_two_traces
current_csv,100,1.0,19,max_abs_jerk,tracking_rmse_rad,0.9052631578947368,9.969532246511429e-08,descriptive_only_autocorrelated_windows_two_traces
current_csv,100,1.0,19,rms_velocity,tracking_rmse_rad,0.9894736842105263,1.0305395814380536e-15,descriptive_only_autocorrelated_windows_two_traces
current_csv,100,1.0,19,rms_acceleration,tracking_rmse_rad,0.8947368421052632,2.352961899411037e-07,descriptive_only_autocorrelated_windows_two_traces
current_csv,100,1.0,19,rms_jerk,tracking_rmse_rad,0.8596491228070176,2.3973995383996983e-06,descriptive_only_autocorrelated_windows_two_traces
new_csv,100,1.0,12,position_range_rad,tracking_rmse_rad,0.7482517482517484,0.005124081698753058,descriptive_only_autocorrelated_windows_two_traces
new_csv,100,1.0,12,max_abs_velocity,tracking_rmse_rad,0.7482517482517484,0.005124081698753058,descriptive_only_autocorrelated_windows_two_traces
new_csv,100,1.0,12,max_abs_acceleration,tracking_rmse_rad,0.7132867132867133,0.009201779777634755,descriptive_only_autocorrelated_windows_two_traces
new_csv,100,1.0,12,max_abs_jerk,tracking_rmse_rad,0.7342657342657343,0.006543490146837885,descriptive_only_autocorrelated_windows_two_traces
new_csv,100,1.0,12,rms_velocity,tracking_rmse_rad,0.7622377622377624,0.003950448972542649,descriptive_only_autocorrelated_windows_two_traces
new_csv,100,1.0,12,rms_acceleration,tracking_rmse_rad,0.7762237762237763,0.0029928636801859797,descriptive_only_autocorrelated_windows_two_traces
new_csv,100,1.0,12,rms_jerk,tracking_rmse_rad,0.7412587412587414,0.00580115047447824,descriptive_only_autocorrelated_windows_two_traces
