dataset,method,explicit_delay_ms,prediction_lookahead_ms,minimum_duration_ms,target_state_mode,rmse,mae,max_error,best_lag_ms,lag_aligned_rmse,target_projection_rate,target_max_velocity,target_max_acceleration,target_p99_jerk,trajectory_duration_p50_ms,trajectory_duration_p90_ms,trajectory_duration_p99_ms,trajectory_duration_max_ms,reachable_within_lookahead_rate,output_max_velocity,output_max_acceleration,output_max_jerk,estimator_compute_p50_us,estimator_compute_p99_us,ruckig_compute_p99_us
quadratic_with_extremum,Position only,0.0,10.0,10.0,full,0.045775487177144414,0.03422945322538793,0.08303382656582536,50.0,0.007817483012753652,0.0,0.0,0.0,0.0,62.19196401779835,102.96859886043687,104.82079716339597,104.9249909476112,0.07333333333333333,1.4687944844165242,16.0,2477.718075603022,0.166,0.2508299999999992,2.083
quadratic_with_extremum,Raw backward difference (original),0.0,0.0,10.0,full,0.023162725804405104,0.014741744617040758,0.08544048392391944,20.0,0.01649864037509173,0.0,1.5060871019032418,4.784730923571942,13.461905833733745,11.066562514436189,62.16069154782729,288.3566708836834,335.5892533803805,0.30333333333333334,1.5266579984526667,16.0,3200.0,0.417,1.5058299999999947,1.4186699999999985
quadratic_with_extremum,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.0014972919092830419,0.0013014517941244777,0.0025869735359325477,0.0,0.0014972919092830419,0.0,1.5297327007500776,4.784730923571942,13.461905833733745,50.0,50.0,50.0,50.0,1.0,1.4977068530585673,0.0,0.0,1.083,1.5004199999999996,1.7949099999999973
quadratic_with_extremum,SG-10 cubic + prediction (50 ms lookahead),10.0,50.0,50.0,full,0.0015142525441383088,0.0013139453882132872,0.002608287006379181,0.0,0.0015142525441383088,0.0,1.5081228361020833,4.940525039606301,14.01206199702838,50.0,50.0,50.0,50.0,1.0,1.49631474788661,0.0,0.0,3.208,9.529579999999973,1.459
quadratic_with_extremum,SG-20 cubic + prediction (50 ms lookahead),20.0,50.0,50.0,full,0.0015064360464272103,0.0013085809646821412,0.0025961930152166254,0.0,0.0015064360464272103,0.0,1.5074615817112258,4.906065291252879,13.885987227939411,50.0,50.0,50.0,50.0,1.0,1.4963400820013315,0.0,0.0,3.042,4.00083,1.3334199999999996
quadratic_with_extremum,Alpha-beta-gamma (60 ms lookahead),0.0,60.0,60.0,full,0.0026661486125388193,0.0022527933615260807,0.00490401960182682,0.0,0.0026661486125388193,0.0,1.5996574966760915,4.799016024885657,13.511532245649045,60.0,60.0,60.0,60.0,1.0,1.5000171682277654,0.0,0.0,3.125,5.293659999999998,2.4174099999999994
quadratic_with_extremum,Robust CA-KF (50 ms lookahead),0.0,50.0,50.0,full,0.0017840026781634503,0.0015021746350365548,0.003319442649170362,0.0,0.0017840026781634503,0.0,1.585428721604184,4.7853333669012805,13.46388575130916,50.0,50.0,50.0,50.0,1.0,1.5025774684928073,0.0,0.0,12.209,21.297829999999998,2.4174099999999994
quadratic_with_extremum,Jerk-limited tracker (50 ms lookahead),0.0,50.0,50.0,full,0.19990300086715418,0.1646458194435125,0.32327732129783665,230.0,0.02388742627997329,0.0,1.4034902819575383,4.416126805041731,12.188840560427671,50.0,50.0,50.0,50.0,1.0,1.3941467127675453,0.0,0.0,6.75,9.750839999999998,1.5428299999999993
cubic,Position only,0.0,10.0,10.0,full,0.008980259266397127,0.006554438016293252,0.01706977944964791,30.0,0.0018404061027443457,0.0,0.0,0.0,0.0,28.693639561476733,48.787554450316364,49.86140631508109,49.88400268841117,0.12,0.5881527914173821,14.956045625410189,2179.7401893633387,0.125,0.20800999999999997,2.2094099999999997
cubic,Raw backward difference (original),0.0,0.0,10.0,full,0.0034360271038880582,0.0026910299358435977,0.005917486975847153,10.0,1.8973813992356028e-09,0.0,0.5917486976376174,1.4708991238395612,7.511520522335217,10.0,10.0,10.0,10.0,1.0,0.5917486976376174,1.4708991238395615,7.53159818002955,0.417,0.542,1.1664199999999996
