analysis_kind,analysis_id,metric,method,role,expected_trajectory_count,observed_unique_trajectory_count,row_count,missing_trajectory_count,unexpected_trajectory_count,duplicate_trajectory_count,status,missing_trajectory_ids_json,unexpected_trajectory_ids_json,duplicate_trajectory_ids_json
method_confidence_interval,position_mae:deployed_p_only,position_mae,deployed_p_only,method,120,120,120,0,0,0,complete,[],[],[]
method_confidence_interval,position_mae:estimator_rank_2::local_poly_w7_d3_lag1::deployed_p_only,position_mae,estimator_rank_2::local_poly_w7_d3_lag1::deployed_p_only,method,120,120,120,0,0,0,complete,[],[],[]
method_confidence_interval,position_mae:estimator_rank_2::local_poly_w7_d3_lag1::jerk_qp_pva_direct,position_mae,estimator_rank_2::local_poly_w7_d3_lag1::jerk_qp_pva_direct,method,120,120,120,0,0,0,complete,[],[],[]
method_confidence_interval,position_mae:estimator_rank_2::local_poly_w7_d3_lag1::jerk_qp_pva_ruckig,position_mae,estimator_rank_2::local_poly_w7_d3_lag1::jerk_qp_pva_ruckig,method,120,120,120,0,0,0,complete,[],[],[]
method_confidence_interval,position_mae:estimator_rank_2::local_poly_w7_d3_lag1::one_step_governed_pva_direct,position_mae,estimator_rank_2::local_poly_w7_d3_lag1::one_step_governed_pva_direct,method,120,120,120,0,0,0,complete,[],[],[]
method_confidence_interval,position_mae:estimator_rank_2::local_poly_w7_d3_lag1::one_step_governed_pva_ruckig,position_mae,estimator_rank_2::local_poly_w7_d3_lag1::one_step_governed_pva_ruckig,method,120,120,120,0,0,0,complete,[],[],[]
method_confidence_interval,position_mae:estimator_rank_2::local_poly_w7_d3_lag1::predicted_p,position_mae,estimator_rank_2::local_poly_w7_d3_lag1::predicted_p,method,120,120,120,0,0,0,complete,[],[],[]
method_confidence_interval,position_mae:estimator_rank_2::local_poly_w7_d3_lag1::raw_predicted_pv,position_mae,estimator_rank_2::local_poly_w7_d3_lag1::raw_predicted_pv,method,120,120,120,0,0,0,complete,[],[],[]
method_confidence_interval,position_mae:estimator_rank_2::local_poly_w7_d3_lag1::scalar_projected_pva,position_mae,estimator_rank_2::local_poly_w7_d3_lag1::scalar_projected_pva,method,120,120,120,0,0,0,complete,[],[],[]
method_confidence_interval,position_mae:estimator_rank_3::ca_kf_s1e-06_q1000::deployed_p_only,position_mae,estimator_rank_3::ca_kf_s1e-06_q1000::deployed_p_only,method,120,120,120,0,0,0,complete,[],[],[]
method_confidence_interval,position_mae:estimator_rank_3::ca_kf_s1e-06_q1000::jerk_qp_pva_direct,position_mae,estimator_rank_3::ca_kf_s1e-06_q1000::jerk_qp_pva_direct,method,120,120,120,0,0,0,complete,[],[],[]
