dof,method,total_p99_us
1,locked_one_step_direct,416.375
1,locked_one_step_direct,420.084
1,locked_one_step_direct,455.75
1,locked_one_step_direct,465.75
1,locked_one_step_direct,467.542
1,locked_one_step_direct,507.791
12,locked_one_step_direct,1764.25
12,locked_one_step_direct,1768.917
12,locked_one_step_direct,1771.291
12,locked_one_step_direct,1792.125
12,locked_one_step_direct,1824.458
12,locked_one_step_direct,1836.0
3,locked_one_step_direct,688.417
3,locked_one_step_direct,704.75
3,locked_one_step_direct,713.125
3,locked_one_step_direct,717.625
3,locked_one_step_direct,724.625
3,locked_one_step_direct,827.25
6,locked_one_step_direct,1041.416
6,locked_one_step_direct,1045.708
6,locked_one_step_direct,1060.209
6,locked_one_step_direct,1063.334
6,locked_one_step_direct,1064.541
6,locked_one_step_direct,1073.875
7,locked_one_step_direct,1125.667
7,locked_one_step_direct,1134.375
7,locked_one_step_direct,1163.459
7,locked_one_step_direct,1166.083
7,locked_one_step_direct,1223.584
7,locked_one_step_direct,1335.25
