run_id,dataset_id,session_id,trajectory_id,split,seed,scenario_id,method_id,n_samples,n_joints,output_field,response_sample_count,response_start_time_s,response_end_time_s,joint_index,joint_id,frequency_hz,gain,phase_rad,phase_delay_s,group_delay_s
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,oscillatory__test__002,test,120802,clean,deployed_p_only,262,1,command_p,261,0.01,2.61,0,joint_0,0.5974972976862298,0.9900059180454526,-0.10738352178118407,0.028603674634636818,0.05807257880916866
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,oscillatory__test__002,test,120802,clean,deployed_p_only,262,1,command_p,261,0.01,2.61,0,joint_0,1.019866033571889,0.9866015550130292,-0.20310185784437682,0.03169501048472901,0.014063661564041263
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,oscillatory__test__002,test,120802,clean,deployed_p_only,262,1,command_p,261,0.01,2.61,0,joint_0,1.0974277279134148,0.9822252727283546,-0.20798634924147355,0.0301633125676131,0.0059820828446539576
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,oscillatory__test__005,test,120805,clean,deployed_p_only,278,1,command_p,277,0.01,2.77,0,joint_0,0.6590389381141996,0.9954368299398999,-0.11871445970059381,0.02866900874157321,-0.04968534757524392
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,oscillatory__test__005,test,120805,clean,deployed_p_only,278,1,command_p,277,0.01,2.77,0,joint_0,0.929375814905544,1.090317094413344,-0.09216814851237053,0.01578372946240543,0.018428223526108664
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,oscillatory__test__005,test,120805,clean,deployed_p_only,278,1,command_p,277,0.01,2.77,0,joint_0,1.3777899378173297,0.8251928670047569,-0.3032501475863482,0.0350298392062383,0.1314098026814261
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,oscillatory__test__008,test,120808,clean,deployed_p_only,323,1,command_p,322,0.01,3.2199999999999998,0,joint_0,0.4599831735375878,0.9822433804447465,-0.22627257852040553,0.07829068850651943,-0.039384707714321024
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,oscillatory__test__008,test,120808,clean,deployed_p_only,323,1,command_p,322,0.01,3.2199999999999998,0,joint_0,0.6323604173767177,0.9629891476771545,-0.20652492691595722,0.05197900135293511,0.0029189156259213506
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,oscillatory__test__008,test,120808,clean,deployed_p_only,323,1,command_p,322,0.01,3.2199999999999998,0,joint_0,1.1210317393139106,0.887479911871435,-0.3995988274655036,0.05673178235237426,0.12284523002796563
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,oscillatory__test__011,test,120811,clean,deployed_p_only,324,1,command_p,323,0.01,3.23,0,joint_0,0.5552966753942606,1.0007408774289765,-0.303047126043779,0.08685708061445847,-0.14778619880885235
