run_id,dataset_id,session_id,trajectory_id,split,seed,scenario_id,method_id,n_samples,n_joints,output_field,event_id,event_type,event_time_s,joint_index,joint_id,lag_samples,lag_s,lag_aligned_rmse,window_before_s,window_after_s,max_lag_s
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__001,test,150801,clean,deployed_p_only,334,1,command_p,reversal-j0-k16,reversal,0.155,0,joint_0,1,0.010000000000000009,0.00025369936101752254,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__001,test,150801,clean,deployed_p_only,334,1,command_p,stop-j0-k38,stop,0.38,0,joint_0,2,0.020000000000000018,0.00027429809753185544,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__001,test,150801,clean,deployed_p_only,334,1,command_p,stop-j0-k61,stop,0.61,0,joint_0,1,0.010000000000000009,0.00026773777135645136,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__001,test,150801,clean,deployed_p_only,334,1,command_p,stop-j0-k84,stop,0.84,0,joint_0,1,0.010000000000000009,0.00025897209941448847,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__001,test,150801,clean,deployed_p_only,334,1,command_p,stop-j0-k106,stop,1.06,0,joint_0,1,0.010000000000000009,0.00028728024957837506,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__001,test,150801,clean,deployed_p_only,334,1,command_p,stop-j0-k129,stop,1.29,0,joint_0,1,0.010000000000000009,0.00028206451680839285,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__001,test,150801,clean,deployed_p_only,334,1,command_p,stop-j0-k152,stop,1.52,0,joint_0,1,0.010000000000000009,0.00027563805749526954,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__001,test,150801,clean,deployed_p_only,334,1,command_p,stop-j0-k175,stop,1.75,0,joint_0,1,0.010000000000000009,0.0002700319905510387,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__001,test,150801,clean,deployed_p_only,334,1,command_p,stop-j0-k197,stop,1.97,0,joint_0,1,0.010000000000000009,0.00028610674825113656,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__001,test,150801,clean,deployed_p_only,334,1,command_p,stop-j0-k220,stop,2.2,0,joint_0,1,0.009999999999999787,0.0002412996415651002,0.1,0.1,0.05
