method,metric,n_trajectories,resamples,seed,confidence_level,mean,mean_ci_low,mean_ci_high,median,median_ci_low,median_ci_high,q25,q75,iqr
deployed_p_only,position_rmse,120,10000,20270721,0.95,0.17750530159411693,0.13329194866039729,0.23126098594841213,0.08001417243847474,0.055282971696206135,0.13980881689760163,0.02591109045417162,0.23269721587440262,0.206786125420231
estimator_rank_2::local_poly_w7_d3_lag1::deployed_p_only,position_rmse,120,10000,20270722,0.95,0.17750530159411693,0.13328536299965696,0.22790206576915933,0.08001417243847474,0.055282971696206135,0.13980881689760163,0.02591109045417162,0.23269721587440262,0.206786125420231
estimator_rank_2::local_poly_w7_d3_lag1::jerk_qp_pva_direct,position_rmse,120,10000,20270723,0.95,0.0331863062142148,0.021847695751402257,0.04667174860544709,0.012614785717720046,0.010089001066040798,0.014573904109228583,0.0053804199476012535,0.022490907124997433,0.01711048717739618
estimator_rank_2::local_poly_w7_d3_lag1::jerk_qp_pva_ruckig,position_rmse,120,10000,20270724,0.95,0.03318630635277639,0.021663492935408694,0.047390728051133355,0.012614785731999825,0.010218695591764249,0.014678957033312165,0.005380419947649795,0.022490907117016484,0.017110487169366688
estimator_rank_2::local_poly_w7_d3_lag1::one_step_governed_pva_direct,position_rmse,120,10000,20270725,0.95,0.04038917718153792,0.023270216696614384,0.06323776251901403,0.012681570415832035,0.011153558279273352,0.01499729629426834,0.005480205020083923,0.02138937964703742,0.015909174626953498
estimator_rank_2::local_poly_w7_d3_lag1::one_step_governed_pva_ruckig,position_rmse,120,10000,20270726,0.95,0.040389177122421155,0.023357933336133306,0.06343929233013101,0.012681570318887224,0.011116886416527319,0.015295365123403024,0.005480205020252389,0.021389379655982498,0.01590917463573011
estimator_rank_2::local_poly_w7_d3_lag1::predicted_p,position_rmse,120,10000,20270727,0.95,0.17765856979356293,0.13383448820613872,0.22937571245836103,0.08001418279881539,0.055282959967243764,0.13980884247366385,0.025911117930338297,0.23269493330634386,0.20678381537600557
estimator_rank_2::local_poly_w7_d3_lag1::raw_predicted_pv,position_rmse,120,10000,20270728,0.95,0.1759132706662017,0.13101920927174857,0.22814333150801797,0.07765818188190574,0.054497436503387536,0.1382669462997586,0.025322986130014213,0.23094290739826415,0.20561992126824993
estimator_rank_2::local_poly_w7_d3_lag1::scalar_projected_pva,position_rmse,120,10000,20270729,0.95,0.04056083916628735,0.02329093756640494,0.06410982711429479,0.012681570415832035,0.011153558279273352,0.015237094793832815,0.005480205020083923,0.02138937964703742,0.015909174626953498
estimator_rank_3::ca_kf_s1e-06_q100::deployed_p_only,position_rmse,120,10000,20270730,0.95,0.17750530159411693,0.13317678394510296,0.22819884896561382,0.08001417243847474,0.05516999993485328,0.13980881689760163,0.02591109045417162,0.23269721587440262,0.206786125420231
estimator_rank_3::ca_kf_s1e-06_q100::jerk_qp_pva_direct,position_rmse,120,10000,20270731,0.95,0.03276372846002264,0.02111195868920759,0.04671198499610592,0.012339802015415038,0.00938018224326019,0.014251764756500005,0.005269442776775733,0.02204139565842412,0.016771952881648386
estimator_rank_3::ca_kf_s1e-06_q100::jerk_qp_pva_ruckig,position_rmse,120,10000,20270732,0.95,0.032763728458193336,0.021266311959377764,0.0463438294280867,0.01233980260410572,0.009306975243999992,0.013585064544851443,0.00526944277736692,0.022041395750632093,0.016771952973265173
estimator_rank_3::ca_kf_s1e-06_q100::one_step_governed_pva_direct,position_rmse,120,10000,20270733,0.95,0.039521449321570284,0.022656400189427165,0.06225801757700217,0.012162198490735717,0.01101971903508488,0.014659587668993751,0.0052321659579455315,0.02142023760305729,0.016188071645111757
estimator_rank_3::ca_kf_s1e-06_q100::one_step_governed_pva_ruckig,position_rmse,120,10000,20270734,0.95,0.039521446068352575,0.022554325417567987,0.061257104781732616,0.012162198503159347,0.01101971903517214,0.014659587669164264,0.005232165957954379,0.021420237388717952,0.016188071430763572
