comparison_id,stratum_dimension,worst_stratum,worst_stratum_improvement,best_stratum_improvement,improvement_range,improvement_std,harmful_strata_count
primary_position:one_step_pva-vs-predicted_p,reference_family,rapid_reversal,-0.0012894287438535283,0.35329768381750176,0.3545871125613553,0.11910591524636485,1
primary_position:one_step_pva-vs-predicted_p,demand_stratum,low,0.03717703060170441,0.2032315280680996,0.1660544974663952,0.06858341071547537,0
primary_position:one_step_pva-vs-predicted_p,sample_rate_hz,100,0.1374702199242128,0.1374702199242128,0.0,0.0,0
max_error:one_step_pva-vs-predicted_p,reference_family,rapid_reversal,0.0015876148746643433,0.703945448891145,0.7023578340164807,0.23504396932781954,0
max_error:one_step_pva-vs-predicted_p,demand_stratum,low,0.07683323909356068,0.40631380902812714,0.3294805699345664,0.13125468607431487,0
max_error:one_step_pva-vs-predicted_p,sample_rate_hz,100,0.27142484114452253,0.27142484114452253,0.0,0.0,0
lag:one_step_pva-vs-predicted_p,reference_family,rapid_reversal,-0.4,0.11200000000000002,0.512,0.16800655162489614,2
lag:one_step_pva-vs-predicted_p,demand_stratum,low,-0.08300000000000003,0.05766666666666666,0.1406666666666667,0.05685575071080223,3
lag:one_step_pva-vs-predicted_p,sample_rate_hz,100,-0.03308333333333332,-0.03308333333333332,0.0,0.0,1
position:one_step_pva-vs-deployed_p_only,reference_family,rapid_reversal,-0.0012895767397153417,0.3524155054323497,0.35370508217206503,0.11883706405126712,1
position:one_step_pva-vs-deployed_p_only,demand_stratum,low,0.03717702095984065,0.20313943510119653,0.16596241414135587,0.06845864153126602,0
position:one_step_pva-vs-deployed_p_only,sample_rate_hz,100,0.13731384180201775,0.13731384180201775,0.0,0.0,0
position:one_step_pva-vs-raw_predicted_pv,reference_family,rapid_reversal,-0.0012886994907705973,0.352693358007545,0.35398205749831557,0.11884912962664712,1
position:one_step_pva-vs-raw_predicted_pv,demand_stratum,low,0.03665371016451089,0.19981885070733935,0.16316514054282846,0.06776048878793141,0
position:one_step_pva-vs-raw_predicted_pv,sample_rate_hz,100,0.13572127120036823,0.13572127120036823,0.0,0.0,0
position:one_step_direct-vs-one_step_ruckig,reference_family,piecewise_constant_jerk,-8.214087261933234e-11,6.928388533462143e-11,1.5142475795395378e-10,4.8628338522753036e-11,2
position:one_step_direct-vs-one_step_ruckig,demand_stratum,high,-6.834616553264006e-11,8.954138170219154e-11,1.5788754723483158e-10,5.833793282320735e-11,3
position:one_step_direct-vs-one_step_ruckig,sample_rate_hz,100,-3.886384360307869e-12,-3.886384360307869e-12,0.0,0.0,1
position:jerk_qp_direct-vs-one_step_direct,reference_family,stationary_endpoint,-0.0012439117158269356,0.039324277337808314,0.04056818905363525,0.014511128159566025,2
position:jerk_qp_direct-vs-one_step_direct,demand_stratum,low,0.0003799014668369792,0.016232266430475185,0.015852364963638205,0.0063404638729228895,0
position:jerk_qp_direct-vs-one_step_direct,sample_rate_hz,100,0.006971821477576555,0.006971821477576555,0.0,0.0,0
position:jerk_qp_direct-vs-jerk_qp_ruckig,reference_family,oscillatory,-4.135875539398523e-10,6.785752103451171e-12,4.2037330604330347e-10,1.595149520253112e-10,5
position:jerk_qp_direct-vs-jerk_qp_ruckig,demand_stratum,near_limit,-3.133007130349622e-10,1.3596199250366185e-10,4.4926270553862404e-10,1.6661387689521213e-10,3
position:jerk_qp_direct-vs-jerk_qp_ruckig,sample_rate_hz,100,-1.3897381979657956e-10,-1.3897381979657956e-10,0.0,0.0,1
