comparison_id,stratum_dimension,n_trajectories,n_strata,resamples,seed,confidence_level,improvement,improvement_ci_low,improvement_ci_high,relative_point_defined,relative_interval_defined,relative_status,relative_improvement,relative_improvement_ci_low,relative_improvement_ci_high
primary_position:one_step_pva-vs-predicted_p,reference_family,120,6,10000,20360728,0.95,0.13747021992421282,0.11165804595482143,0.1663713941958815,True,True,defined,0.7737753022695925,0.7076262981767824,0.8376339403294163
primary_position:one_step_pva-vs-predicted_p,demand_stratum,120,4,10000,20360727,0.95,0.1374702199242128,0.10714641179038065,0.17254956973900906,True,True,defined,0.7737753022695922,0.7022558270122783,0.8434920211008609
primary_position:one_step_pva-vs-predicted_p,sample_rate_hz,120,1,10000,20360725,0.95,0.1374702199242128,0.10540709581462203,0.17393447281319588,True,True,defined,0.7737753022695921,0.6987274416608739,0.8443523364010908
max_error:one_step_pva-vs-predicted_p,reference_family,120,6,10000,20360828,0.95,0.27142484114452253,0.2228038335460995,0.3246480607798406,True,True,defined,0.795936098289093,0.7158311369835848,0.862812442289734
max_error:one_step_pva-vs-predicted_p,demand_stratum,120,4,10000,20360827,0.95,0.2714248411445226,0.212336258230894,0.33831860200326414,True,True,defined,0.7959360982890932,0.7137127589138289,0.8658483356850069
max_error:one_step_pva-vs-predicted_p,sample_rate_hz,120,1,10000,20360825,0.95,0.27142484114452253,0.21017867417802566,0.34023192547700293,True,True,defined,0.795936098289093,0.7124583501105443,0.8677725238683741
lag:one_step_pva-vs-predicted_p,reference_family,120,6,10000,20360928,0.95,-0.033083333333333326,-0.0912520833333333,0.026166666666666664,True,True,defined,-0.40060544904137224,-3.452903991785392,0.20306019958849783
lag:one_step_pva-vs-predicted_p,demand_stratum,120,4,10000,20360927,0.95,-0.03308333333333333,-0.09966874999999996,0.03141874999999997,True,True,defined,-0.40060544904137224,-3.338888279650745,0.2626302263137706
lag:one_step_pva-vs-predicted_p,sample_rate_hz,120,1,10000,20360925,0.95,-0.03308333333333332,-0.10058333333333333,0.032168749999999975,True,True,defined,-0.4006054490413722,-3.3695990839891605,0.2735539064602668
position:one_step_pva-vs-deployed_p_only,reference_family,120,6,10000,20361028,0.95,0.13731384180201772,0.11212535336142429,0.16574282426711623,True,True,defined,0.7735760034705844,0.7064035710391838,0.8384453859693431
position:one_step_pva-vs-deployed_p_only,demand_stratum,120,4,10000,20361027,0.95,0.13731384180201775,0.1069881774941251,0.17099058442649792,True,True,defined,0.7735760034705845,0.7010020685366236,0.844348697475083
position:one_step_pva-vs-deployed_p_only,sample_rate_hz,120,1,10000,20361025,0.95,0.13731384180201775,0.1046350103860069,0.17358066715613443,True,True,defined,0.7735760034705845,0.7001013364845156,0.843660919266813
position:one_step_pva-vs-raw_predicted_pv,reference_family,120,6,10000,20361128,0.95,0.1357212712003682,0.11029125991340195,0.16436781023094016,True,True,defined,0.7715261450075479,0.703756423468595,0.8370320285779201
position:one_step_pva-vs-raw_predicted_pv,demand_stratum,120,4,10000,20361127,0.95,0.13572127120036823,0.10577777593241099,0.16931522652782258,True,True,defined,0.771526145007548,0.6993009292613929,0.8421811157011614
position:one_step_pva-vs-raw_predicted_pv,sample_rate_hz,120,1,10000,20361125,0.95,0.13572127120036823,0.10373972778946088,0.1718744926306978,True,True,defined,0.7715261450075482,0.6987736759750495,0.8442549939383704
position:one_step_direct-vs-one_step_ruckig,reference_family,120,6,10000,20361228,0.95,-3.886384360307868e-12,-1.1285350839376416e-10,9.049423138999729e-11,True,True,defined,-9.669677042802142e-11,-3.0676775445006576e-09,2.49545911312392e-09
position:one_step_direct-vs-one_step_ruckig,demand_stratum,120,4,10000,20361227,0.95,-3.88638436030787e-12,-1.1515373316335587e-10,9.230283297699579e-11,True,True,defined,-9.669677042802145e-11,-3.2294516693041827e-09,2.5311113617541314e-09
position:one_step_direct-vs-one_step_ruckig,sample_rate_hz,120,1,10000,20361225,0.95,-3.886384360307869e-12,-1.1727006020725073e-10,9.19861505547036e-11,True,True,defined,-9.669677042802142e-11,-3.3321047846753984e-09,2.5671839186899034e-09
position:jerk_qp_direct-vs-one_step_direct,reference_family,120,6,10000,20361328,0.95,0.006971821477576558,0.0008271025852286954,0.016304747088629057,True,True,defined,0.17346524643892314,0.02995646701712417,0.2822022777651506
position:jerk_qp_direct-vs-one_step_direct,demand_stratum,120,4,10000,20361327,0.95,0.006971821477576557,0.000748048776718951,0.016568286558304217,True,True,defined,0.17346524643892308,0.028490913434196633,0.28253540735348903
position:jerk_qp_direct-vs-one_step_direct,sample_rate_hz,120,1,10000,20361325,0.95,0.006971821477576555,0.0007185325514766765,0.016728006328034607,True,True,defined,0.173465246438923,0.02813510337897763,0.2844168767012595
position:jerk_qp_direct-vs-jerk_qp_ruckig,reference_family,120,6,10000,20361428,0.95,-1.3897381979657958e-10,-3.251205348154581e-10,3.904513834403511e-11,True,True,defined,-4.183483849588425e-09,-1.0386532136567574e-08,1.281220722560527e-09
position:jerk_qp_direct-vs-jerk_qp_ruckig,demand_stratum,120,4,10000,20361427,0.95,-1.3897381979657958e-10,-3.2893895954135443e-10,3.37069744808157e-11,True,True,defined,-4.183483849588425e-09,-1.0534723325644977e-08,1.017969234230909e-09
position:jerk_qp_direct-vs-jerk_qp_ruckig,sample_rate_hz,120,1,10000,20361425,0.95,-1.3897381979657956e-10,-3.290480605492952e-10,4.390939273701222e-11,True,True,defined,-4.183483849588424e-09,-1.0488340888921362e-08,1.4045419311207664e-09
