comparison_id,rank,trajectory_id,baseline,candidate,improvement
primary_position:one_step_pva-vs-predicted_p,1,rapid_reversal__v3__test__003,0.03407502417233716,0.1100323680853738,-0.07595734391303663
primary_position:one_step_pva-vs-predicted_p,2,rapid_reversal__v3__test__019,0.021695716003441237,0.0879606263427159,-0.06626491033927466
primary_position:one_step_pva-vs-predicted_p,3,rapid_reversal__v3__test__009,0.010867464503298993,0.04591640518075735,-0.035048940677458354
primary_position:one_step_pva-vs-predicted_p,4,rapid_reversal__v3__test__014,0.01926903778345745,0.05363764280421188,-0.03436860502075442
primary_position:one_step_pva-vs-predicted_p,5,rapid_reversal__v3__test__001,0.01628153036551015,0.048119427048789826,-0.03183789668327967
max_error:one_step_pva-vs-predicted_p,1,rapid_reversal__v3__test__003,0.05573972433475073,0.16410085637226937,-0.10836113203751864
max_error:one_step_pva-vs-predicted_p,2,rapid_reversal__v3__test__019,0.03587200183661243,0.14190177969076767,-0.10602977785415524
max_error:one_step_pva-vs-predicted_p,3,rapid_reversal__v3__test__009,0.017957966377002005,0.07334556500205476,-0.055387598625052756
max_error:one_step_pva-vs-predicted_p,4,rapid_reversal__v3__test__014,0.03545594465056523,0.0875295902971022,-0.052073645646536965
max_error:one_step_pva-vs-predicted_p,5,rapid_reversal__v3__test__001,0.028731291233037935,0.07704316648284408,-0.048311875249806145
lag:one_step_pva-vs-predicted_p,1,rapid_reversal__v3__test__007,-0.74,0.5,-1.24
lag:one_step_pva-vs-predicted_p,2,oscillatory__v3__test__007,-1.0,0.13,-1.13
lag:one_step_pva-vs-predicted_p,3,rapid_reversal__v3__test__004,-0.38,0.72,-1.1
lag:one_step_pva-vs-predicted_p,4,rapid_reversal__v3__test__009,-0.19999999999999996,0.8599999999999999,-1.0599999999999998
lag:one_step_pva-vs-predicted_p,5,oscillatory__v3__test__008,-1.0,0.0,-1.0
position:one_step_pva-vs-deployed_p_only,1,rapid_reversal__v3__test__003,0.03407458956964762,0.1100323680853738,-0.07595777851572617
position:one_step_pva-vs-deployed_p_only,2,rapid_reversal__v3__test__019,0.021695701893331452,0.0879606263427159,-0.06626492444938445
position:one_step_pva-vs-deployed_p_only,3,rapid_reversal__v3__test__009,0.010867295521384358,0.04591640518075735,-0.03504910965937299
position:one_step_pva-vs-deployed_p_only,4,rapid_reversal__v3__test__014,0.019268710082102413,0.05363764280421188,-0.03436893272210946
position:one_step_pva-vs-deployed_p_only,5,rapid_reversal__v3__test__001,0.01628159096809469,0.048119427048789826,-0.03183783608069514
position:one_step_pva-vs-raw_predicted_pv,1,rapid_reversal__v3__test__003,0.034081653991937834,0.1100323680853738,-0.07595071409343596
position:one_step_pva-vs-raw_predicted_pv,2,rapid_reversal__v3__test__019,0.02170453646444652,0.0879606263427159,-0.06625608987826938
position:one_step_pva-vs-raw_predicted_pv,3,rapid_reversal__v3__test__009,0.010871177694524762,0.04591640518075735,-0.03504522748623259
position:one_step_pva-vs-raw_predicted_pv,4,rapid_reversal__v3__test__014,0.019264645071323243,0.05363764280421188,-0.034372997732888634
position:one_step_pva-vs-raw_predicted_pv,5,rapid_reversal__v3__test__001,0.016285907408544024,0.048119427048789826,-0.031833519640245805
position:one_step_direct-vs-one_step_ruckig,1,boundary_grazing__v3__test__011,0.021315738839976964,0.021315743095733176,-4.255756212712125e-09
position:one_step_direct-vs-one_step_ruckig,2,rapid_reversal__v3__test__014,0.05363764073973033,0.05363764280421188,-2.0644815440507003e-09
position:one_step_direct-vs-one_step_ruckig,3,rapid_reversal__v3__test__001,0.04811942530877375,0.048119427048789826,-1.740016075668649e-09
position:one_step_direct-vs-one_step_ruckig,4,piecewise_constant_jerk__v3__test__002,0.0203779897554591,0.02037799116149176,-1.4060326583575922e-09
position:one_step_direct-vs-one_step_ruckig,5,stop_and_go__v3__test__013,0.005371494949308998,0.0053714956434211805,-6.94112182661466e-10
position:jerk_qp_direct-vs-one_step_direct,1,oscillatory__v3__test__011,0.273711665678307,0.2856866198011947,-0.011974954122887682
position:jerk_qp_direct-vs-one_step_direct,2,oscillatory__v3__test__013,0.10872237326095838,0.11817728649701521,-0.009454913236056836
position:jerk_qp_direct-vs-one_step_direct,3,piecewise_constant_jerk__v3__test__007,0.014300159976503336,0.01956701884040804,-0.005266858863904704
position:jerk_qp_direct-vs-one_step_direct,4,stationary_endpoint__v3__test__015,0.02212225138570017,0.02589553758558494,-0.0037732861998847726
position:jerk_qp_direct-vs-one_step_direct,5,oscillatory__v3__test__006,0.16512459715563255,0.1679474243401505,-0.0028228271845179564
position:jerk_qp_direct-vs-jerk_qp_ruckig,1,oscillatory__v3__test__001,0.09819597595131332,0.09819598122209858,-5.270785252697863e-09
position:jerk_qp_direct-vs-jerk_qp_ruckig,2,boundary_grazing__v3__test__006,0.013407321984353193,0.013407325860290536,-3.875937343647551e-09
position:jerk_qp_direct-vs-jerk_qp_ruckig,3,rapid_reversal__v3__test__000,0.0022324754757464134,0.0022324788468952184,-3.371148804987706e-09
position:jerk_qp_direct-vs-jerk_qp_ruckig,4,boundary_grazing__v3__test__011,0.018761759922627613,0.018761763069917503,-3.147289890509386e-09
position:jerk_qp_direct-vs-jerk_qp_ruckig,5,oscillatory__v3__test__011,0.2856866169647546,0.2856866198011947,-2.836440082809588e-09
