method,estimator_p_rmse,posterior_lag_s,estimator_p99_us
alpha_beta_gamma_default,0.00010077880692931197,0.0,23.584
alpha_beta_gamma_default,0.00010143501247019909,0.0,23.491399999999995
alpha_beta_gamma_default,0.0001145631366606864,0.0,21.006760000000003
alpha_beta_gamma_default,0.00011844573800578467,0.0,21.072500000000005
alpha_beta_gamma_default,0.0001316754745671998,0.0,23.135119999999997
alpha_beta_gamma_default,0.00013197529591933723,0.0,20.6421
alpha_beta_gamma_default,0.0001424478646518701,0.0,20.78818
alpha_beta_gamma_default,0.00014515192004777318,0.0,23.458
alpha_beta_gamma_default,0.0001516029602514434,0.0,20.802049999999998
alpha_beta_gamma_default,0.00015426157832604202,0.0,22.053439999999988
alpha_beta_gamma_default,0.0001614885329850402,0.0,22.596559999999993
alpha_beta_gamma_default,0.00017081859897360847,0.0,22.173000000000002
alpha_beta_gamma_default,0.00018373467704638563,0.0,20.88328000000002
alpha_beta_gamma_default,0.00018650802956252023,0.0,23.816070000000003
alpha_beta_gamma_default,0.00018692094611345096,0.0,20.5775
alpha_beta_gamma_default,0.00019720168624400895,0.0,20.709
alpha_beta_gamma_default,0.00019792844518475266,0.0,22.480729999999998
alpha_beta_gamma_default,0.0002581451488868702,0.0,19.809840000000012
alpha_beta_gamma_default,0.0002691301659536582,0.0,22.455659999999995
alpha_beta_gamma_default,0.00027729573747641093,0.0,21.202680000000004
alpha_beta_gamma_default,0.00036329718842728875,0.0,20.66649
alpha_beta_gamma_default,0.000390264281623623,0.0,20.541029999999978
alpha_beta_gamma_default,0.00039435196899753215,0.0,19.73834000000001
alpha_beta_gamma_default,0.00039968619840654646,0.0,22.24048
alpha_beta_gamma_default,0.0004129318126988506,0.0,19.47932000000001
alpha_beta_gamma_default,0.00043311845457474,0.0,23.62626
alpha_beta_gamma_default,0.0004610990525062457,0.0,23.015159999999998
alpha_beta_gamma_default,0.0006000500712139531,0.0,23.80717
alpha_beta_gamma_default,0.0006255424456401081,0.0,23.55596
alpha_beta_gamma_default,0.0006278839749469102,0.0,19.671999999999983
alpha_beta_gamma_default,0.0006397694466255274,0.0,22.549080000000004
alpha_beta_gamma_default,0.000681466218360043,0.0,22.166199999999993
alpha_beta_gamma_default,0.0006852826952563161,0.0,20.955
alpha_beta_gamma_default,0.0007200377685913693,0.0,24.059630000000002
alpha_beta_gamma_default,0.0008642261831993701,0.0,23.26156
alpha_beta_gamma_default,0.0009175973135982908,0.0,20.208
alpha_beta_gamma_default,0.0009227067993675686,0.0,23.31939
alpha_beta_gamma_default,0.0009257003927234884,0.0,20.345479999999988
alpha_beta_gamma_default,0.001188586681828149,0.0,23.776889999999995
alpha_beta_gamma_default,0.0014155659069017767,0.0,20.956999999999994
alpha_beta_gamma_default,0.0015224288838214895,0.0,22.31717000000001
alpha_beta_gamma_default,0.0017112150010674297,0.0,22.966680000000004
alpha_beta_gamma_default,0.0017478817509218169,0.0,20.083600000000008
alpha_beta_gamma_default,0.0020444347378548804,0.0,22.360630000000004
alpha_beta_gamma_default,0.0024432650977315507,0.0,20.458109999999984
alpha_beta_gamma_default,0.00263020216797642,0.0,19.716499999999993
alpha_beta_gamma_default,0.002952277873175733,0.0,20.76643999999999
alpha_beta_gamma_default,0.0046875271599241645,0.0,22.43988
alpha_beta_gamma_default,1.913231890260561e-05,0.0,22.02956
alpha_beta_gamma_default,1.9550772809744818e-05,0.0,21.50396
alpha_beta_gamma_default,2.190465008027021e-05,0.0,23.143640000000005
alpha_beta_gamma_default,3.808088932367997e-05,0.0,22.260699999999993
alpha_beta_gamma_default,4.215426786592194e-05,0.0,30.929209999999998
alpha_beta_gamma_default,4.537637866585696e-05,0.0,20.893259999999998
alpha_beta_gamma_default,5.344128783168942e-05,0.0,21.398519999999998
alpha_beta_gamma_default,5.8712936758864966e-05,0.0,21.127280000000006
alpha_beta_gamma_default,8.035482741896956e-05,0.0,30.75
alpha_beta_gamma_default,8.454820452222688e-05,0.0,20.253320000000002
alpha_beta_gamma_default,8.778527305628357e-05,0.0,20.816899999999997
alpha_beta_gamma_default,8.953533260272714e-05,0.0,23.717630000000003
ca_kf_s0.0001_q10,0.0001427045491515219,0.0,31.260139999999964
ca_kf_s0.0001_q10,0.00016242740723963067,0.0,31.51643999999999
ca_kf_s0.0001_q10,0.00016679060748947763,0.0,31.69143
ca_kf_s0.0001_q10,0.00019955057745683403,0.0,32.56601999999997
ca_kf_s0.0001_q10,1.012896287293666e-05,0.0,34.667
ca_kf_s0.0001_q10,1.2175672320574607e-05,0.0,32.42249999999998
ca_kf_s0.0001_q10,1.3521053775407351e-05,0.0,31.523690000000002
ca_kf_s0.0001_q10,1.4045274916283488e-05,0.0,30.973380000000017
ca_kf_s0.0001_q10,1.4203442059484519e-05,0.0,31.92908
ca_kf_s0.0001_q10,1.4392539862454295e-05,0.0,32.37367
ca_kf_s0.0001_q10,1.8172381266435978e-06,0.0,35.963029999999954
ca_kf_s0.0001_q10,1.867427025087996e-05,0.0,32.183080000000004
ca_kf_s0.0001_q10,1.9051134026980658e-06,0.0,36.51092
ca_kf_s0.0001_q10,1.965670114712529e-05,0.0,32.544029999999964
ca_kf_s0.0001_q10,2.016286122015124e-06,0.0,32.291399999999996
ca_kf_s0.0001_q10,2.1000806015377755e-05,0.0,40.0
ca_kf_s0.0001_q10,2.1804186373202007e-05,0.0,32.182259999999985
ca_kf_s0.0001_q10,2.245947715039563e-05,0.0,33.97818000000001
ca_kf_s0.0001_q10,2.3198187105098885e-05,0.0,31.975179999999984
ca_kf_s0.0001_q10,2.338047956821497e-06,0.0,32.24025999999999
ca_kf_s0.0001_q10,2.973961137110013e-06,0.0,40.435500000000005
ca_kf_s0.0001_q10,2.9987175934339484e-05,0.0,32.51599999999999
ca_kf_s0.0001_q10,3.147854169009086e-05,0.0,31.645750000000007
ca_kf_s0.0001_q10,3.1573632687213313e-05,0.0,32.498090000000005
ca_kf_s0.0001_q10,3.158982483406931e-05,0.0,32.38512
