trajectory_id,follower,position_rmse
boundary_grazing__v3__test__000,direct,0.003950226249177078
boundary_grazing__v3__test__000,ruckig,0.003950226244368623
boundary_grazing__v3__test__001,direct,0.009871697837108982
boundary_grazing__v3__test__001,ruckig,0.00987169783661926
boundary_grazing__v3__test__002,direct,0.014584784592550628
boundary_grazing__v3__test__002,ruckig,0.014584784582667251
boundary_grazing__v3__test__003,direct,0.017279248759450676
boundary_grazing__v3__test__003,ruckig,0.017279248759456477
boundary_grazing__v3__test__004,direct,0.003304162646517822
boundary_grazing__v3__test__004,ruckig,0.0033041626467608396
boundary_grazing__v3__test__005,direct,0.015728593845911236
boundary_grazing__v3__test__005,ruckig,0.015728593978615087
boundary_grazing__v3__test__006,direct,0.01414688218968416
boundary_grazing__v3__test__006,ruckig,0.014146883565491252
boundary_grazing__v3__test__007,direct,0.01429370633728306
boundary_grazing__v3__test__007,ruckig,0.014293705899818624
boundary_grazing__v3__test__008,direct,0.004549930164628419
boundary_grazing__v3__test__008,ruckig,0.0045499301644630384
boundary_grazing__v3__test__009,direct,0.011186533615303598
boundary_grazing__v3__test__009,ruckig,0.011186533455824155
boundary_grazing__v3__test__010,direct,0.019716048124814842
boundary_grazing__v3__test__010,ruckig,0.01971604808017948
boundary_grazing__v3__test__011,direct,0.021315743095733176
boundary_grazing__v3__test__011,ruckig,0.021315738839976964
boundary_grazing__v3__test__012,direct,0.004109292038641287
boundary_grazing__v3__test__012,ruckig,0.004109292949148095
boundary_grazing__v3__test__013,direct,0.017684398761107313
boundary_grazing__v3__test__013,ruckig,0.017684399073586408
boundary_grazing__v3__test__014,direct,0.011499914370394748
boundary_grazing__v3__test__014,ruckig,0.011499914370156024
boundary_grazing__v3__test__015,direct,0.008737685250909113
boundary_grazing__v3__test__015,ruckig,0.008737685250976816
boundary_grazing__v3__test__016,direct,0.004060959182182575
boundary_grazing__v3__test__016,ruckig,0.004060959177030253
boundary_grazing__v3__test__017,direct,0.007180270873534912
boundary_grazing__v3__test__017,ruckig,0.00718027088410581
boundary_grazing__v3__test__018,direct,0.009133214368041709
boundary_grazing__v3__test__018,ruckig,0.00913321436788256
boundary_grazing__v3__test__019,direct,0.014195466041155624
boundary_grazing__v3__test__019,ruckig,0.01419546728753724
oscillatory__v3__test__000,direct,0.005563556576418409
oscillatory__v3__test__000,ruckig,0.005563556519272639
oscillatory__v3__test__001,direct,0.10359640466314321
oscillatory__v3__test__001,ruckig,0.10359640466314339
oscillatory__v3__test__002,direct,0.041505242847987144
oscillatory__v3__test__002,ruckig,0.0415052428475975
oscillatory__v3__test__003,direct,0.012804497726102954
oscillatory__v3__test__003,ruckig,0.012804497217612284
oscillatory__v3__test__004,direct,0.0038968165497895394
oscillatory__v3__test__004,ruckig,0.003896816550122234
oscillatory__v3__test__005,direct,0.07632136413406995
oscillatory__v3__test__005,ruckig,0.07632136513905713
oscillatory__v3__test__006,direct,0.16512459715563255
oscillatory__v3__test__006,ruckig,0.16512459715563219
oscillatory__v3__test__007,direct,0.13110631151465835
oscillatory__v3__test__007,ruckig,0.13110631151447147
oscillatory__v3__test__008,direct,0.011477471127773179
oscillatory__v3__test__008,ruckig,0.011477471127168648
oscillatory__v3__test__009,direct,0.011058748957957915
oscillatory__v3__test__009,ruckig,0.011058748784677858
oscillatory__v3__test__010,direct,0.14837542728706837
oscillatory__v3__test__010,ruckig,0.14837542728706815
oscillatory__v3__test__011,direct,0.273711665678307
oscillatory__v3__test__011,ruckig,0.27371166580120593
oscillatory__v3__test__012,direct,0.025560317861046893
oscillatory__v3__test__012,ruckig,0.02556031793922461
oscillatory__v3__test__013,direct,0.10872237326095838
oscillatory__v3__test__013,ruckig,0.10872237326095845
oscillatory__v3__test__014,direct,0.026825617506507596
oscillatory__v3__test__014,ruckig,0.026825617506463468
oscillatory__v3__test__015,direct,0.18541111352676132
oscillatory__v3__test__015,ruckig,0.18541111446499758
oscillatory__v3__test__016,direct,0.10623649504877818
oscillatory__v3__test__016,ruckig,0.10623649504877536
oscillatory__v3__test__017,direct,0.2750114157663104
oscillatory__v3__test__017,ruckig,0.27501141575754323
oscillatory__v3__test__018,direct,0.6616335365861405
oscillatory__v3__test__018,ruckig,0.6616335365862448
oscillatory__v3__test__019,direct,0.9600990293268815
oscillatory__v3__test__019,ruckig,0.9600990293167342
piecewise_constant_jerk__v3__test__000,direct,0.0044519240941501
piecewise_constant_jerk__v3__test__000,ruckig,0.00445192409426042
piecewise_constant_jerk__v3__test__001,direct,0.011151918366265123
piecewise_constant_jerk__v3__test__001,ruckig,0.011151918366256
