plant,method,position_rmse
ideal,hybrid,0.002473015929332436
ideal,hybrid,0.002564246596545035
ideal,hybrid,0.003950226249177078
ideal,hybrid,0.0044519240941501
ideal,hybrid,0.004916239747602473
ideal,hybrid,0.005247031430342242
ideal,hybrid,0.005512789595549594
ideal,hybrid,0.005563556576418409
ideal,hybrid,0.00881402089644802
ideal,hybrid,0.009871697837108982
ideal,hybrid,0.011151918366265123
ideal,hybrid,0.011592688131811812
ideal,hybrid,0.012804497726102954
ideal,hybrid,0.014584784592550628
ideal,hybrid,0.014804713647274322
ideal,hybrid,0.015584951439640341
ideal,hybrid,0.017279248759450676
ideal,hybrid,0.018501782125923835
ideal,hybrid,0.02037799116149176
ideal,hybrid,0.023095582445857146
ideal,hybrid,0.041505242847987144
ideal,hybrid,0.048119427048789826
ideal,hybrid,0.10359640466314321
ideal,hybrid,0.1100323680853738
ideal,measured,0.002473015929332436
ideal,measured,0.002564246596545035
ideal,measured,0.003950226249177078
ideal,measured,0.0044519240941501
ideal,measured,0.004916239747602473
ideal,measured,0.005247031430342242
ideal,measured,0.005512789595549594
ideal,measured,0.005563556576418409
ideal,measured,0.00881402089644802
ideal,measured,0.009871697837108982
ideal,measured,0.011151918366265123
ideal,measured,0.011592688131811812
ideal,measured,0.012804497726102954
ideal,measured,0.014584784592550628
ideal,measured,0.014804713647274322
ideal,measured,0.015584951439640341
ideal,measured,0.017279248759450676
ideal,measured,0.018501782125923835
ideal,measured,0.02037799116149176
ideal,measured,0.023095582445857146
ideal,measured,0.041505242847987144
ideal,measured,0.048119427048789826
ideal,measured,0.10359640466314321
ideal,measured,0.1100323680853738
ideal,previous_command,0.002473015929332436
ideal,previous_command,0.002564246596545035
ideal,previous_command,0.003950226249177078
ideal,previous_command,0.0044519240941501
ideal,previous_command,0.004916239747602473
ideal,previous_command,0.005247031430342242
ideal,previous_command,0.005512789595549594
ideal,previous_command,0.005563556576418409
ideal,previous_command,0.00881402089644802
ideal,previous_command,0.009871697837108982
ideal,previous_command,0.011151918366265123
ideal,previous_command,0.011592688131811812
ideal,previous_command,0.012804497726102954
ideal,previous_command,0.014584784592550628
ideal,previous_command,0.014804713647274322
ideal,previous_command,0.015584951439640341
ideal,previous_command,0.017279248759450676
ideal,previous_command,0.018501782125923835
ideal,previous_command,0.02037799116149176
ideal,previous_command,0.023095582445857146
ideal,previous_command,0.041505242847987144
ideal,previous_command,0.048119427048789826
ideal,previous_command,0.10359640466314321
ideal,previous_command,0.1100323680853738
servo_b16_z0.7_d0,hybrid,0.003982752062649156
servo_b16_z0.7_d0,hybrid,0.0063920133039870606
servo_b16_z0.7_d0,hybrid,0.014199394633786878
servo_b16_z0.7_d0,hybrid,0.014522825414175164
servo_b16_z0.7_d0,hybrid,0.02093650268964185
servo_b16_z0.7_d0,hybrid,0.027764111669949333
servo_b16_z0.7_d0,hybrid,1.5920403396430383
servo_b16_z0.7_d0,hybrid,1.8523092852619938
servo_b16_z0.7_d0,hybrid,2.290390208707094
servo_b16_z0.7_d0,hybrid,2.4854030655905817
servo_b16_z0.7_d0,hybrid,2.4910055499690467
servo_b16_z0.7_d0,hybrid,2.8116885771804223
servo_b16_z0.7_d0,hybrid,4.1922612986236025
servo_b16_z0.7_d0,hybrid,4.524159478230281
servo_b16_z0.7_d0,hybrid,4.569832939055439
servo_b16_z0.7_d0,hybrid,4.781004818786064
servo_b16_z0.7_d0,hybrid,4.876498248914754
servo_b16_z0.7_d0,hybrid,5.186222969367115
servo_b16_z0.7_d0,hybrid,5.1875428752571535
servo_b16_z0.7_d0,hybrid,5.391058927972691
servo_b16_z0.7_d0,hybrid,5.49552573374789
servo_b16_z0.7_d0,hybrid,5.632886979674456
servo_b16_z0.7_d0,hybrid,7.700354948722517
servo_b16_z0.7_d0,hybrid,8.130397532900538
servo_b16_z0.7_d0,measured,0.003167781669464142
servo_b16_z0.7_d0,measured,0.0064024620979190915
servo_b16_z0.7_d0,measured,0.01430796339208203
servo_b16_z0.7_d0,measured,0.014695227018716643
servo_b16_z0.7_d0,measured,0.020997396518263114
servo_b16_z0.7_d0,measured,0.02871865664796533
servo_b16_z0.7_d0,measured,1.5964692749721072
servo_b16_z0.7_d0,measured,1.849535270384716
servo_b16_z0.7_d0,measured,2.2903661392466916
servo_b16_z0.7_d0,measured,2.4766657702033856
servo_b16_z0.7_d0,measured,2.485212809834845
servo_b16_z0.7_d0,measured,2.811666147597284
servo_b16_z0.7_d0,measured,4.191800923905643
servo_b16_z0.7_d0,measured,4.523967378721426
servo_b16_z0.7_d0,measured,4.570260012561497
servo_b16_z0.7_d0,measured,4.781687098919768
servo_b16_z0.7_d0,measured,4.8764799297059085
servo_b16_z0.7_d0,measured,5.186517926986916
servo_b16_z0.7_d0,measured,5.191592278504137
servo_b16_z0.7_d0,measured,5.390822554888417
servo_b16_z0.7_d0,measured,5.500485284811274
servo_b16_z0.7_d0,measured,5.632593835892696
servo_b16_z0.7_d0,measured,7.700036721758027
servo_b16_z0.7_d0,measured,8.133378463583938
servo_b16_z0.7_d0,previous_command,0.0021024241070419815
servo_b16_z0.7_d0,previous_command,0.0023749634986081143
servo_b16_z0.7_d0,previous_command,0.002405141548315275
servo_b16_z0.7_d0,previous_command,0.002638445273473568
servo_b16_z0.7_d0,previous_command,0.003949043452073518
servo_b16_z0.7_d0,previous_command,0.004507406974813467
servo_b16_z0.7_d0,previous_command,0.005272557503600535
servo_b16_z0.7_d0,previous_command,0.005403724520885034
servo_b16_z0.7_d0,previous_command,0.006018429100275319
servo_b16_z0.7_d0,previous_command,0.008395030704882171
servo_b16_z0.7_d0,previous_command,0.008672326213314225
servo_b16_z0.7_d0,previous_command,0.009030041342120803
servo_b16_z0.7_d0,previous_command,0.009825805881130785
servo_b16_z0.7_d0,previous_command,0.010343773759811109
servo_b16_z0.7_d0,previous_command,0.011229477264519788
servo_b16_z0.7_d0,previous_command,0.012413310224803588
servo_b16_z0.7_d0,previous_command,0.012515656330942322
servo_b16_z0.7_d0,previous_command,0.01457164920131364
servo_b16_z0.7_d0,previous_command,0.015364193335593003
servo_b16_z0.7_d0,previous_command,0.017283478997969937
servo_b16_z0.7_d0,previous_command,0.037476113202684354
servo_b16_z0.7_d0,previous_command,0.04825356303178923
servo_b16_z0.7_d0,previous_command,0.10384105107906186
servo_b16_z0.7_d0,previous_command,0.11229005417362094
servo_b16_z0.7_d10,hybrid,0.0077584820995207525
servo_b16_z0.7_d10,hybrid,0.01232610422790583
servo_b16_z0.7_d10,hybrid,0.016010576412311694
servo_b16_z0.7_d10,hybrid,0.019636586487189293
servo_b16_z0.7_d10,hybrid,0.02529072238997249
servo_b16_z0.7_d10,hybrid,0.029111449495562484
servo_b16_z0.7_d10,hybrid,0.03410227308772755
servo_b16_z0.7_d10,hybrid,0.041224151861711064
servo_b16_z0.7_d10,hybrid,0.04170678137455791
servo_b16_z0.7_d10,hybrid,0.042605772191768705
servo_b16_z0.7_d10,hybrid,0.07505671356288784
servo_b16_z0.7_d10,hybrid,0.08138064858060072
servo_b16_z0.7_d10,hybrid,0.13816545613072823
servo_b16_z0.7_d10,hybrid,0.14668109847452473
servo_b16_z0.7_d10,hybrid,0.44641192813462144
servo_b16_z0.7_d10,hybrid,0.46456594799385226
servo_b16_z0.7_d10,hybrid,0.9437429589139422
servo_b16_z0.7_d10,hybrid,0.973243597739038
servo_b16_z0.7_d10,hybrid,1.1621336628009191
servo_b16_z0.7_d10,hybrid,1.6575290402746254
servo_b16_z0.7_d10,hybrid,2.121763788627125
servo_b16_z0.7_d10,hybrid,2.5803495312990603
servo_b16_z0.7_d10,hybrid,3.7683352117068574
servo_b16_z0.7_d10,hybrid,5.062416979186612
servo_b16_z0.7_d10,measured,0.007778143570514035
servo_b16_z0.7_d10,measured,0.007916809339533898
servo_b16_z0.7_d10,measured,0.015147790213203317
servo_b16_z0.7_d10,measured,0.019454447351110883
servo_b16_z0.7_d10,measured,0.021818737486959398
servo_b16_z0.7_d10,measured,0.0279567371586361
servo_b16_z0.7_d10,measured,0.03430961245944876
servo_b16_z0.7_d10,measured,0.039623342037758115
servo_b16_z0.7_d10,measured,0.04257731623639248
servo_b16_z0.7_d10,measured,0.045185785000797014
servo_b16_z0.7_d10,measured,0.07512073545988682
servo_b16_z0.7_d10,measured,0.08121627172708457
servo_b16_z0.7_d10,measured,0.13850668006954325
servo_b16_z0.7_d10,measured,0.14637502078401646
servo_b16_z0.7_d10,measured,0.447194347196231
servo_b16_z0.7_d10,measured,0.4621818033818474
servo_b16_z0.7_d10,measured,0.9424052879413194
servo_b16_z0.7_d10,measured,0.9599970469096861
servo_b16_z0.7_d10,measured,1.1612140025162934
servo_b16_z0.7_d10,measured,1.657789618693466
servo_b16_z0.7_d10,measured,2.1234130005119853
servo_b16_z0.7_d10,measured,2.585465652731063
servo_b16_z0.7_d10,measured,3.7688870665458594
servo_b16_z0.7_d10,measured,5.062650695655179
servo_b16_z0.7_d10,previous_command,0.002861783956990313
servo_b16_z0.7_d10,previous_command,0.0032834120698876776
servo_b16_z0.7_d10,previous_command,0.0039612987122901785
servo_b16_z0.7_d10,previous_command,0.005783809772801487
servo_b16_z0.7_d10,previous_command,0.006662035320757622
servo_b16_z0.7_d10,previous_command,0.006952947975433104
servo_b16_z0.7_d10,previous_command,0.007087594958721188
servo_b16_z0.7_d10,previous_command,0.007717420487341625
servo_b16_z0.7_d10,previous_command,0.009940264054878998
servo_b16_z0.7_d10,previous_command,0.010541564883511238
servo_b16_z0.7_d10,previous_command,0.01357801605123519
servo_b16_z0.7_d10,previous_command,0.014634252793393891
servo_b16_z0.7_d10,previous_command,0.017093369899099053
servo_b16_z0.7_d10,previous_command,0.01721061318916272
servo_b16_z0.7_d10,previous_command,0.01732802840472856
servo_b16_z0.7_d10,previous_command,0.018500528826378596
servo_b16_z0.7_d10,previous_command,0.022922820210569322
servo_b16_z0.7_d10,previous_command,0.027939313553467567
servo_b16_z0.7_d10,previous_command,0.028062451753803425
servo_b16_z0.7_d10,previous_command,0.03489706880873056
servo_b16_z0.7_d10,previous_command,0.04684879668325677
servo_b16_z0.7_d10,previous_command,0.048188736338927
servo_b16_z0.7_d10,previous_command,0.10413095648800849
servo_b16_z0.7_d10,previous_command,0.11221731008387635
servo_b16_z0.7_d20,hybrid,0.007544976900466412
servo_b16_z0.7_d20,hybrid,0.009027078355025211
servo_b16_z0.7_d20,hybrid,0.014238870405590954
servo_b16_z0.7_d20,hybrid,0.01711452415881895
servo_b16_z0.7_d20,hybrid,0.024253650969755916
servo_b16_z0.7_d20,hybrid,0.027409423623496177
servo_b16_z0.7_d20,hybrid,0.03143800634719166
servo_b16_z0.7_d20,hybrid,0.03627140583050952
servo_b16_z0.7_d20,hybrid,0.03926295811839191
servo_b16_z0.7_d20,hybrid,0.04184289234280919
servo_b16_z0.7_d20,hybrid,0.07982047065693257
servo_b16_z0.7_d20,hybrid,0.08324484337939642
servo_b16_z0.7_d20,hybrid,0.13714051557058793
servo_b16_z0.7_d20,hybrid,0.1466013940752254
servo_b16_z0.7_d20,hybrid,0.4421466640265298
servo_b16_z0.7_d20,hybrid,0.45977653393789775
servo_b16_z0.7_d20,hybrid,0.9402040980851598
servo_b16_z0.7_d20,hybrid,0.9889110630226863
servo_b16_z0.7_d20,hybrid,1.1589189596691127
servo_b16_z0.7_d20,hybrid,1.6574696486101927
servo_b16_z0.7_d20,hybrid,2.115428492214744
servo_b16_z0.7_d20,hybrid,2.5921404511097084
servo_b16_z0.7_d20,hybrid,3.7737188294284305
servo_b16_z0.7_d20,hybrid,5.068795229331685
servo_b16_z0.7_d20,measured,0.007891617798314128
servo_b16_z0.7_d20,measured,0.008605903260396248
servo_b16_z0.7_d20,measured,0.01432112926335374
servo_b16_z0.7_d20,measured,0.01776652449716592
servo_b16_z0.7_d20,measured,0.023320705239758117
servo_b16_z0.7_d20,measured,0.02737317466225788
servo_b16_z0.7_d20,measured,0.032120709205760135
servo_b16_z0.7_d20,measured,0.036513571557793105
servo_b16_z0.7_d20,measured,0.03891528426598246
servo_b16_z0.7_d20,measured,0.04230750195939769
servo_b16_z0.7_d20,measured,0.07992796713249117
servo_b16_z0.7_d20,measured,0.08314365216329726
