trajectory_id,joint_id,method_id,control_time,command_time,p_ref,command_p
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.0,0.01,-0.029325305948014375,-0.029325305948014375
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.01,0.02,-0.030094695573645285,-0.029325604931619533
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.02,0.03,-0.030865989915803752,-0.02932788711090639
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.03,0.04,-0.03163848236502083,-0.029334456404617397
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.04,0.05,-0.03241143977931913,-0.029346055484745396
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.05,0.060000000000000005,-0.033184102244309545,-0.02936296484525613
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.06,0.06999999999999999,-0.0339556828760065,-0.029385426862610406
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.07,0.08,-0.03472536766929376,-0.029413646144205684
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.08,0.09,-0.03549231539503894,-0.029447788960026353
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.09,0.09999999999999999,-0.03625565754891638,-0.02948798180837653
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.1,0.11,-0.03701449835505455,-0.029534310051326833
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.11,0.12,-0.037767914827675365,-0.029586816624837885
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.12,0.13,-0.03851495689393905,-0.02964550082849659
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.13,0.14,-0.0392546475812468,-0.02971031719983651
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.14,0.15000000000000002,-0.03998598327228551,-0.0297811744782243
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.15,0.16,-0.04070793403112456,-0.02985793466329534
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.16,0.17,-0.04141944400368898,-0.029940412172913673
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.17,0.18000000000000002,-0.04211943189594286,-0.03002837310561216
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.18,0.19,-0.0428067915331126,-0.030121534612439146
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.19,0.2,-0.04348039250326797,-0.030219564383095983
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.2,0.21000000000000002,-0.04413908088855557,-0.030322080251195635
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.21,0.22,-0.04478168008734259,-0.030428649923405996
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.22,0.23,-0.0454069917304823,-0.03053879083716008
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.23,0.24000000000000002,-0.04601379669485053,-0.030651970151520352
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.24,0.25,-0.046600856217227704,-0.030767604875674155
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.25,0.26,-0.04716691311151129,-0.030885062139410755
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.26,0.27,-0.047710693092137525,-0.031003659609788098
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.27,0.28,-0.048230906206470775,-0.031122666058037356
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.28,0.29000000000000004,-0.04872624837877924,-0.031241302080575604
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.29,0.3,-0.04919540306826043,-0.0313587409778005
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.3,0.31,-0.04963704304340464,-0.031474109794125384
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.31,0.32,-0.050049832274791116,-0.03158649052247725
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.32,0.33,-0.050432427948198195,-0.0316949214762245
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.33,0.34,-0.050783482599674405,-0.031798398831223255
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.34,0.35000000000000003,-0.05110164637396285,-0.031895878340372615
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.35000000000000003,0.36000000000000004,-0.05138556940739416,-0.03198627722274724
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.36,0.37,-0.051633904336064844,-0.03206847622903143
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.37,0.38,-0.05184530892979589,-0.03214132188461136
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.38,0.39,-0.052018448852022205,-0.032203628911290284
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.39,0.4,-0.05215200054539499,-0.03225418282817623
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.4,0.41000000000000003,-0.05224465424248776,-0.032291742731851356
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.41000000000000003,0.42000000000000004,-0.05229511710057991,-0.03231504425546749
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.42,0.43,-0.05230211645905236,-0.032322802705922575
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.43,0.44,-0.052264403217465005,-0.03231371637775808
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.44,0.45,-0.0521807553318968,-0.03228647004187784
oscillatory__v3__test__003,joint_0,one_step_governed_pva_direct,0.45,0.46,-0.05204998142661716,-0.03223973860662414
