comparison_id,analysis_kind,estimand,point_estimate,ci_low,ci_high,confidence_level,bootstrap_resamples,bootstrap_seed,status
PVA_vs_P_position_RMSE,primary,absolute_improvement,0.11088274139512694,0.0885905136096922,0.13513864379560364,0.95,10000,2026072301,available
PVA_vs_P_position_RMSE,primary,relative_improvement,0.8241228581049881,0.7827192996982065,0.8614461930812837,0.95,10000,2026072301,available
S1,secondary,absolute_improvement,0.0017162300696766664,0.0012065415166669757,0.0022717838559262447,0.95,10000,2026072302,available
S1,secondary,relative_improvement,0.012755676964619277,0.009061801786987497,0.017105794723427537,0.95,10000,2026072302,available
S2,secondary,absolute_improvement,0.10916651132545027,0.08692843255157721,0.13351909752464156,0.95,10000,2026072303,available
S2,secondary,relative_improvement,0.8218504398645108,0.7784933642607229,0.859222703151343,0.95,10000,2026072303,available
S3,secondary,absolute_improvement,0.22068608664861727,0.17816790220301457,0.2661459873199661,0.95,10000,2026072304,available
S3,secondary,relative_improvement,0.8483532644381727,0.8142153644122212,0.8780037025472179,0.95,10000,2026072304,available
S4,secondary,absolute_improvement,0.004750000000000018,-0.05941875000000001,0.06758541666666663,0.95,10000,2026072305,available
S4,secondary,relative_improvement,0.04846938775510222,-1.212411980736933,0.5302589649336221,0.95,10000,2026072305,available
S5,secondary,absolute_improvement,,,,0.95,10000,2026072306,unavailable_incomplete_denominator
S5,secondary,relative_improvement,,,,0.95,10000,2026072306,unavailable_incomplete_denominator
max_error_relative_worsening,guardrail,worsening,-0.8483532644381727,-0.8783087341579657,-0.8134041018093098,0.95,10000,2026072303,available
lag_absolute_worsening,guardrail,worsening,-0.004750000000000006,-0.06783333333333333,0.05991874999999998,0.95,10000,2026072303,available
subgroup:reference_family:stationary_endpoint,subgroup,absolute_improvement,0.1824192526243092,0.13346252197958539,0.23543805181687585,0.95,10000,2026072313,available
subgroup:reference_family:stationary_endpoint,subgroup,relative_improvement,0.9296242708543058,0.9152840773013023,0.9401575127959939,0.95,10000,2026072313,available
subgroup:reference_family:oscillatory,subgroup,absolute_improvement,0.18166005969892693,0.10463102886575266,0.276442024711185,0.95,10000,2026072310,available
subgroup:reference_family:oscillatory,subgroup,relative_improvement,0.7279511232191243,0.6437159867031718,0.7845970851398057,0.95,10000,2026072310,available
subgroup:reference_family:piecewise_constant_jerk,subgroup,absolute_improvement,0.12874112887051387,0.09192290512512596,0.17111460654282734,0.95,10000,2026072311,available
subgroup:reference_family:piecewise_constant_jerk,subgroup,relative_improvement,0.8992038465296268,0.8757437760556668,0.9187155392376354,0.95,10000,2026072311,available
subgroup:reference_family:stop_and_go,subgroup,absolute_improvement,0.15276401002741608,0.1221560256545535,0.18276242158063255,0.95,10000,2026072314,available
subgroup:reference_family:stop_and_go,subgroup,relative_improvement,0.9536624204573112,0.9496171388550058,0.9574140738376854,0.95,10000,2026072314,available
subgroup:reference_family:rapid_reversal,subgroup,absolute_improvement,0.012553036648549138,-0.004882989427662294,0.03003427002886641,0.95,10000,2026072312,available
subgroup:reference_family:rapid_reversal,subgroup,relative_improvement,0.325215368369773,-0.15732055517259266,0.6591642438626073,0.95,10000,2026072312,available
subgroup:reference_family:boundary_grazing,subgroup,absolute_improvement,0.007158960501046504,0.005024138784340757,0.009423749020315552,0.95,10000,2026072309,available
subgroup:reference_family:boundary_grazing,subgroup,relative_improvement,0.3663512400187826,0.3246403589142358,0.40326392855759524,0.95,10000,2026072309,available
subgroup:demand_stratum:low,subgroup,absolute_improvement,0.043831252037583465,0.0275591372651133,0.06356802016792716,0.95,10000,2026072306,available
subgroup:demand_stratum:low,subgroup,relative_improvement,0.818096612968805,0.756673556206015,0.8729261207770234,0.95,10000,2026072306,available
subgroup:demand_stratum:medium,subgroup,absolute_improvement,0.08739942182987022,0.06444239798694038,0.11025295822060757,0.95,10000,2026072307,available
subgroup:demand_stratum:medium,subgroup,relative_improvement,0.8255704099347552,0.7445702387800663,0.8917835830798081,0.95,10000,2026072307,available
subgroup:demand_stratum:high,subgroup,absolute_improvement,0.13850025193123966,0.09170614612121607,0.19228426536437174,0.95,10000,2026072305,available
subgroup:demand_stratum:high,subgroup,relative_improvement,0.8573097713213357,0.7936830070003842,0.9078667694262185,0.95,10000,2026072305,available
subgroup:demand_stratum:near_limit,subgroup,absolute_improvement,0.1738000397818145,0.11530643003314693,0.2426373470083896,0.95,10000,2026072308,available
subgroup:demand_stratum:near_limit,subgroup,relative_improvement,0.8002185456444051,0.7112847618428051,0.8719687381364232,0.95,10000,2026072308,available
subgroup:acceleration_active:true,subgroup,absolute_improvement,0.1081626298640034,0.0750779445676562,0.14238822069167056,0.95,10000,2026072304,available
subgroup:acceleration_active:true,subgroup,relative_improvement,0.8271789440104088,0.7318955938793248,0.8870090468078096,0.95,10000,2026072304,available
