run_id,trajectory_id,failure_type,reason,method_id,dataset_id,session_id,scenario_id,case_id,joint_id,k
paper-evidence-v4-locked-test::raw_predicted_pv_ordinary_ruckig,stop_and_go__v4__test__009,InvariantViolationError,ordinary Ruckig unshielded method failure: ruckig_prefix_constraint_audit_failed (Result.Working),raw_predicted_pv_ordinary_ruckig,synthetic-feasible-v4,synthetic,clean,stop_and_go__v4__test__009,__trajectory__,
paper-evidence-v4-locked-test::raw_predicted_pv_ordinary_ruckig,stop_and_go__v4__test__013,InvariantViolationError,ordinary Ruckig unshielded method failure: ruckig_prefix_constraint_audit_failed (Result.Working),raw_predicted_pv_ordinary_ruckig,synthetic-feasible-v4,synthetic,clean,stop_and_go__v4__test__013,__trajectory__,
paper-evidence-v4-locked-test::raw_predicted_pv_ordinary_ruckig,stop_and_go__v4__test__017,InvariantViolationError,ordinary Ruckig unshielded method failure: ruckig_prefix_constraint_audit_failed (Result.Working),raw_predicted_pv_ordinary_ruckig,synthetic-feasible-v4,synthetic,clean,stop_and_go__v4__test__017,__trajectory__,
paper-evidence-v4-locked-test::raw_predicted_pv_ordinary_ruckig,stop_and_go__v4__test__018,InvariantViolationError,ordinary Ruckig unshielded method failure: ruckig_prefix_constraint_audit_failed (Result.Working),raw_predicted_pv_ordinary_ruckig,synthetic-feasible-v4,synthetic,clean,stop_and_go__v4__test__018,__trajectory__,
paper-evidence-v4-locked-test::raw_predicted_pva_ordinary_ruckig,stop_and_go__v4__test__002,InvariantViolationError,ordinary Ruckig unshielded method failure: ruckig_prefix_constraint_audit_failed (Result.Working),raw_predicted_pva_ordinary_ruckig,synthetic-feasible-v4,synthetic,clean,stop_and_go__v4__test__002,__trajectory__,
paper-evidence-v4-locked-test::raw_predicted_pva_ordinary_ruckig,stop_and_go__v4__test__003,InvariantViolationError,ordinary Ruckig unshielded method failure: ruckig_prefix_constraint_audit_failed (Result.Working),raw_predicted_pva_ordinary_ruckig,synthetic-feasible-v4,synthetic,clean,stop_and_go__v4__test__003,__trajectory__,
paper-evidence-v4-locked-test::raw_predicted_pva_ordinary_ruckig,stop_and_go__v4__test__006,InvariantViolationError,ordinary Ruckig unshielded method failure: ruckig_prefix_constraint_audit_failed (Result.Working),raw_predicted_pva_ordinary_ruckig,synthetic-feasible-v4,synthetic,clean,stop_and_go__v4__test__006,__trajectory__,
paper-evidence-v4-locked-test::raw_predicted_pva_ordinary_ruckig,stop_and_go__v4__test__007,InvariantViolationError,ordinary Ruckig unshielded method failure: ruckig_prefix_constraint_audit_failed (Result.Working),raw_predicted_pva_ordinary_ruckig,synthetic-feasible-v4,synthetic,clean,stop_and_go__v4__test__007,__trajectory__,
paper-evidence-v4-locked-test::raw_predicted_pva_ordinary_ruckig,stop_and_go__v4__test__009,InvariantViolationError,ordinary Ruckig unshielded method failure: ruckig_prefix_constraint_audit_failed (Result.Working),raw_predicted_pva_ordinary_ruckig,synthetic-feasible-v4,synthetic,clean,stop_and_go__v4__test__009,__trajectory__,
paper-evidence-v4-locked-test::raw_predicted_pva_ordinary_ruckig,stop_and_go__v4__test__011,InvariantViolationError,ordinary Ruckig unshielded method failure: ruckig_prefix_constraint_audit_failed (Result.Working),raw_predicted_pva_ordinary_ruckig,synthetic-feasible-v4,synthetic,clean,stop_and_go__v4__test__011,__trajectory__,
paper-evidence-v4-locked-test::raw_predicted_pva_ordinary_ruckig,stop_and_go__v4__test__012,InvariantViolationError,ordinary Ruckig unshielded method failure: ruckig_prefix_constraint_audit_failed (Result.Working),raw_predicted_pva_ordinary_ruckig,synthetic-feasible-v4,synthetic,clean,stop_and_go__v4__test__012,__trajectory__,
paper-evidence-v4-locked-test::raw_predicted_pva_ordinary_ruckig,stop_and_go__v4__test__013,InvariantViolationError,ordinary Ruckig unshielded method failure: ruckig_prefix_constraint_audit_failed (Result.Working),raw_predicted_pva_ordinary_ruckig,synthetic-feasible-v4,synthetic,clean,stop_and_go__v4__test__013,__trajectory__,
paper-evidence-v4-locked-test::raw_predicted_pva_ordinary_ruckig,stop_and_go__v4__test__015,InvariantViolationError,ordinary Ruckig unshielded method failure: ruckig_prefix_constraint_audit_failed (Result.Working),raw_predicted_pva_ordinary_ruckig,synthetic-feasible-v4,synthetic,clean,stop_and_go__v4__test__015,__trajectory__,
paper-evidence-v4-locked-test::raw_predicted_pva_ordinary_ruckig,stop_and_go__v4__test__017,InvariantViolationError,ordinary Ruckig unshielded method failure: ruckig_prefix_constraint_audit_failed (Result.Working),raw_predicted_pva_ordinary_ruckig,synthetic-feasible-v4,synthetic,clean,stop_and_go__v4__test__017,__trajectory__,
paper-evidence-v4-locked-test::raw_predicted_pva_ordinary_ruckig,stop_and_go__v4__test__018,InvariantViolationError,ordinary Ruckig unshielded method failure: ruckig_prefix_constraint_audit_failed (Result.Working),raw_predicted_pva_ordinary_ruckig,synthetic-feasible-v4,synthetic,clean,stop_and_go__v4__test__018,__trajectory__,
paper-evidence-v4-locked-test::raw_predicted_pva_ordinary_ruckig,stop_and_go__v4__test__019,InvariantViolationError,ordinary Ruckig unshielded method failure: ruckig_prefix_constraint_audit_failed (Result.Working),raw_predicted_pva_ordinary_ruckig,synthetic-feasible-v4,synthetic,clean,stop_and_go__v4__test__019,__trajectory__,
