comparison_id,analysis_kind,status,harmful_count,denominator,evaluated_count,harmful_rate,wilson_ci_low,wilson_ci_high
PVA_vs_P_position_RMSE,primary,available,5,120,120,0.041666666666666664,0.017926716880109515,0.09384085233703535
S1,secondary,available,13,120,120,0.10833333333333334,0.06441141154173441,0.17655360215291668
S2,secondary,available,5,120,120,0.041666666666666664,0.017926716880109515,0.09384085233703535
S3,secondary,available,5,120,120,0.041666666666666664,0.017926716880109515,0.09384085233703535
S4,secondary,available,5,120,120,0.041666666666666664,0.017926716880109515,0.09384085233703535
S5,secondary,unavailable_incomplete_denominator,,120,108,,,
subgroup:reference_family:stationary_endpoint,subgroup,available,0,20,20,0.0,0.0,0.16112515805281938
subgroup:reference_family:oscillatory,subgroup,available,1,20,20,0.05,0.008881448800795402,0.23613119344674205
subgroup:reference_family:piecewise_constant_jerk,subgroup,available,0,20,20,0.0,0.0,0.16112515805281938
subgroup:reference_family:stop_and_go,subgroup,available,0,20,20,0.0,0.0,0.16112515805281938
subgroup:reference_family:rapid_reversal,subgroup,available,4,20,20,0.2,0.08065766257979806,0.41601743225189364
subgroup:reference_family:boundary_grazing,subgroup,available,0,20,20,0.0,0.0,0.16112515805281938
subgroup:demand_stratum:low,subgroup,available,0,30,30,0.0,0.0,0.11351339317396876
subgroup:demand_stratum:medium,subgroup,available,1,30,30,0.03333333333333333,0.005908590381612455,0.16670390991409173
subgroup:demand_stratum:high,subgroup,available,1,30,30,0.03333333333333333,0.005908590381612455,0.16670390991409173
subgroup:demand_stratum:near_limit,subgroup,available,3,30,30,0.1,0.03459988874733419,0.25621082579184085
subgroup:acceleration_active:true,subgroup,available,3,40,40,0.075,0.025836025774588198,0.19864233524310543
