dataset_id,session_id,trajectory_id,scenario_id,method_id,sample_row_count,pure_sample_row_count,method_purity_rate,passed
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__000,clean,one_step_governed_p_direct,318,318,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__000,clean,one_step_governed_pv_direct,318,318,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__000,clean,one_step_governed_pva_direct,318,318,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__001,clean,one_step_governed_p_direct,290,290,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__001,clean,one_step_governed_pv_direct,290,290,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__001,clean,one_step_governed_pva_direct,290,290,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__002,clean,one_step_governed_p_direct,295,295,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__002,clean,one_step_governed_pv_direct,295,295,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__002,clean,one_step_governed_pva_direct,295,295,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__003,clean,one_step_governed_p_direct,280,280,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__003,clean,one_step_governed_pv_direct,280,280,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__003,clean,one_step_governed_pva_direct,280,280,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__004,clean,one_step_governed_p_direct,383,383,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__004,clean,one_step_governed_pv_direct,383,383,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__004,clean,one_step_governed_pva_direct,383,383,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__005,clean,one_step_governed_p_direct,383,383,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__005,clean,one_step_governed_pv_direct,383,383,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__005,clean,one_step_governed_pva_direct,383,383,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__006,clean,one_step_governed_p_direct,322,322,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__006,clean,one_step_governed_pv_direct,322,322,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__006,clean,one_step_governed_pva_direct,322,322,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__007,clean,one_step_governed_p_direct,315,315,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__007,clean,one_step_governed_pv_direct,315,315,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__007,clean,one_step_governed_pva_direct,315,315,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__008,clean,one_step_governed_p_direct,256,256,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__008,clean,one_step_governed_pv_direct,256,256,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__008,clean,one_step_governed_pva_direct,256,256,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__009,clean,one_step_governed_p_direct,372,372,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__009,clean,one_step_governed_pv_direct,372,372,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__009,clean,one_step_governed_pva_direct,372,372,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__010,clean,one_step_governed_p_direct,267,267,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__010,clean,one_step_governed_pv_direct,267,267,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__010,clean,one_step_governed_pva_direct,267,267,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__011,clean,one_step_governed_p_direct,327,327,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__011,clean,one_step_governed_pv_direct,327,327,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__011,clean,one_step_governed_pva_direct,327,327,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__012,clean,one_step_governed_p_direct,284,284,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__012,clean,one_step_governed_pv_direct,284,284,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__012,clean,one_step_governed_pva_direct,284,284,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__013,clean,one_step_governed_p_direct,265,265,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__013,clean,one_step_governed_pv_direct,265,265,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__013,clean,one_step_governed_pva_direct,265,265,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__014,clean,one_step_governed_p_direct,272,272,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__014,clean,one_step_governed_pv_direct,272,272,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__014,clean,one_step_governed_pva_direct,272,272,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__015,clean,one_step_governed_p_direct,332,332,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__015,clean,one_step_governed_pv_direct,332,332,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__015,clean,one_step_governed_pva_direct,332,332,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__016,clean,one_step_governed_p_direct,441,441,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__016,clean,one_step_governed_pv_direct,441,441,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__016,clean,one_step_governed_pva_direct,441,441,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__017,clean,one_step_governed_p_direct,297,297,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__017,clean,one_step_governed_pv_direct,297,297,1,True
synthetic-feasible-v4,synthetic,boundary_grazing__v4__test__017,clean,one_step_governed_pva_direct,297,297,1,True
