trajectory_id,family,demand_stratum,baseline_method,candidate_method,baseline_position_rmse,candidate_position_rmse,candidate_minus_baseline_position_rmse,absolute_improvement,harmful,paired_value_available,formal_inference_status,required_trajectory_count,paired_trajectory_count,bootstrap_resamples,bootstrap_seed,confidence_level,overall_absolute_improvement,overall_absolute_improvement_ci_low,overall_absolute_improvement_ci_high,overall_relative_improvement,overall_relative_improvement_ci_low,overall_relative_improvement_ci_high,cohen_dz,unadjusted_p,primary_result_classification,confirmed_positive,practically_material,strongly_material,inconclusive,confirmed_harmful,max_error_guardrail_pass,lag_guardrail_pass,negative_or_harmful_row_retained
boundary_grazing__v4__test__000,boundary_grazing,low,one_step_governed_p_direct,one_step_governed_pva_direct,0.005059972437549459,0.0038410295512806567,-0.001218942886268802,0.001218942886268802,False,True,available,120,120,10000,2026072301,0.95,0.11088274139512694,0.0885905136096922,0.13513864379560364,0.8241228581049881,0.7827192996982065,0.8614461930812837,0.8459072390677459,1.0225490382996847e-15,strongly_material,True,True,True,False,False,True,False,False
boundary_grazing__v4__test__001,boundary_grazing,medium,one_step_governed_p_direct,one_step_governed_pva_direct,0.016150706576282352,0.008182670907709622,-0.00796803566857273,0.00796803566857273,False,True,available,120,120,10000,2026072301,0.95,0.11088274139512694,0.0885905136096922,0.13513864379560364,0.8241228581049881,0.7827192996982065,0.8614461930812837,0.8459072390677459,1.0225490382996847e-15,strongly_material,True,True,True,False,False,True,False,False
boundary_grazing__v4__test__002,boundary_grazing,high,one_step_governed_p_direct,one_step_governed_pva_direct,0.01927807254604267,0.013273148788245611,-0.006004923757797058,0.006004923757797058,False,True,available,120,120,10000,2026072301,0.95,0.11088274139512694,0.0885905136096922,0.13513864379560364,0.8241228581049881,0.7827192996982065,0.8614461930812837,0.8459072390677459,1.0225490382996847e-15,strongly_material,True,True,True,False,False,True,False,False
boundary_grazing__v4__test__003,boundary_grazing,near_limit,one_step_governed_p_direct,one_step_governed_pva_direct,0.04530119098458919,0.029975306275182318,-0.015325884709406875,0.015325884709406875,False,True,available,120,120,10000,2026072301,0.95,0.11088274139512694,0.0885905136096922,0.13513864379560364,0.8241228581049881,0.7827192996982065,0.8614461930812837,0.8459072390677459,1.0225490382996847e-15,strongly_material,True,True,True,False,False,True,False,False
boundary_grazing__v4__test__004,boundary_grazing,low,one_step_governed_p_direct,one_step_governed_pva_direct,0.005585291402736874,0.003499678903262218,-0.0020856124994746562,0.0020856124994746562,False,True,available,120,120,10000,2026072301,0.95,0.11088274139512694,0.0885905136096922,0.13513864379560364,0.8241228581049881,0.7827192996982065,0.8614461930812837,0.8459072390677459,1.0225490382996847e-15,strongly_material,True,True,True,False,False,True,False,False
boundary_grazing__v4__test__005,boundary_grazing,medium,one_step_governed_p_direct,one_step_governed_pva_direct,0.009809661661451134,0.007121965157913484,-0.0026876965035376506,0.0026876965035376506,False,True,available,120,120,10000,2026072301,0.95,0.11088274139512694,0.0885905136096922,0.13513864379560364,0.8241228581049881,0.7827192996982065,0.8614461930812837,0.8459072390677459,1.0225490382996847e-15,strongly_material,True,True,True,False,False,True,False,False
boundary_grazing__v4__test__006,boundary_grazing,high,one_step_governed_p_direct,one_step_governed_pva_direct,0.02773166429384193,0.021282507712820295,-0.006449156581021635,0.006449156581021635,False,True,available,120,120,10000,2026072301,0.95,0.11088274139512694,0.0885905136096922,0.13513864379560364,0.8241228581049881,0.7827192996982065,0.8614461930812837,0.8459072390677459,1.0225490382996847e-15,strongly_material,True,True,True,False,False,True,False,False
boundary_grazing__v4__test__007,boundary_grazing,near_limit,one_step_governed_p_direct,one_step_governed_pva_direct,0.03549249135631455,0.021126087989440805,-0.014366403366873743,0.014366403366873743,False,True,available,120,120,10000,2026072301,0.95,0.11088274139512694,0.0885905136096922,0.13513864379560364,0.8241228581049881,0.7827192996982065,0.8614461930812837,0.8459072390677459,1.0225490382996847e-15,strongly_material,True,True,True,False,False,True,False,False
boundary_grazing__v4__test__008,boundary_grazing,low,one_step_governed_p_direct,one_step_governed_pva_direct,0.00507815235086473,0.0034002246937671534,-0.001677927657097577,0.001677927657097577,False,True,available,120,120,10000,2026072301,0.95,0.11088274139512694,0.0885905136096922,0.13513864379560364,0.8241228581049881,0.7827192996982065,0.8614461930812837,0.8459072390677459,1.0225490382996847e-15,strongly_material,True,True,True,False,False,True,False,False
boundary_grazing__v4__test__009,boundary_grazing,medium,one_step_governed_p_direct,one_step_governed_pva_direct,0.010005871695641887,0.006856331019456588,-0.0031495406761852997,0.0031495406761852997,False,True,available,120,120,10000,2026072301,0.95,0.11088274139512694,0.0885905136096922,0.13513864379560364,0.8241228581049881,0.7827192996982065,0.8614461930812837,0.8459072390677459,1.0225490382996847e-15,strongly_material,True,True,True,False,False,True,False,False
