comparison_id,analysis_kind,stratum_dimension,stratum_value,status,trajectory_count,absolute_improvement,absolute_improvement_ci_low,absolute_improvement_ci_high,relative_improvement,relative_improvement_ci_low,relative_improvement_ci_high,harmful_count,harmful_denominator,harmful_rate,harmful_rate_ci_low,harmful_rate_ci_high,bootstrap_resamples,bootstrap_seed,confidence_level,family_effect_range,worst_family,worst_family_relative_improvement,heterogeneity_status,demand_effect_range
subgroup:reference_family:stationary_endpoint,subgroup,reference_family,stationary_endpoint,available,20,0.1824192526243092,0.13346252197958539,0.23543805181687585,0.9296242708543058,0.9152840773013023,0.9401575127959939,0,20,0.0,0.0,0.16112515805281938,10000,2026072313,0.95,0.6284470520875383,rapid_reversal,0.325215368369773,descriptive_secondary,
subgroup:reference_family:oscillatory,subgroup,reference_family,oscillatory,available,20,0.18166005969892693,0.10463102886575266,0.276442024711185,0.7279511232191243,0.6437159867031718,0.7845970851398057,1,20,0.05,0.008881448800795402,0.23613119344674205,10000,2026072310,0.95,0.6284470520875383,rapid_reversal,0.325215368369773,descriptive_secondary,
subgroup:reference_family:piecewise_constant_jerk,subgroup,reference_family,piecewise_constant_jerk,available,20,0.12874112887051387,0.09192290512512596,0.17111460654282734,0.8992038465296268,0.8757437760556668,0.9187155392376354,0,20,0.0,0.0,0.16112515805281938,10000,2026072311,0.95,0.6284470520875383,rapid_reversal,0.325215368369773,descriptive_secondary,
subgroup:reference_family:stop_and_go,subgroup,reference_family,stop_and_go,available,20,0.15276401002741608,0.1221560256545535,0.18276242158063255,0.9536624204573112,0.9496171388550058,0.9574140738376854,0,20,0.0,0.0,0.16112515805281938,10000,2026072314,0.95,0.6284470520875383,rapid_reversal,0.325215368369773,descriptive_secondary,
subgroup:reference_family:rapid_reversal,subgroup,reference_family,rapid_reversal,available,20,0.012553036648549138,-0.004882989427662294,0.03003427002886641,0.325215368369773,-0.15732055517259266,0.6591642438626073,4,20,0.2,0.08065766257979806,0.41601743225189364,10000,2026072312,0.95,0.6284470520875383,rapid_reversal,0.325215368369773,descriptive_secondary,
subgroup:reference_family:boundary_grazing,subgroup,reference_family,boundary_grazing,available,20,0.007158960501046504,0.005024138784340757,0.009423749020315552,0.3663512400187826,0.3246403589142358,0.40326392855759524,0,20,0.0,0.0,0.16112515805281938,10000,2026072309,0.95,0.6284470520875383,rapid_reversal,0.325215368369773,descriptive_secondary,
subgroup:demand_stratum:low,subgroup,demand_stratum,low,available,30,0.043831252037583465,0.0275591372651133,0.06356802016792716,0.818096612968805,0.756673556206015,0.8729261207770234,0,30,0.0,0.0,0.11351339317396876,10000,2026072306,0.95,,,,descriptive_secondary,0.05709122567693059
subgroup:demand_stratum:medium,subgroup,demand_stratum,medium,available,30,0.08739942182987022,0.06444239798694038,0.11025295822060757,0.8255704099347552,0.7445702387800663,0.8917835830798081,1,30,0.03333333333333333,0.005908590381612455,0.16670390991409173,10000,2026072307,0.95,,,,descriptive_secondary,0.05709122567693059
subgroup:demand_stratum:high,subgroup,demand_stratum,high,available,30,0.13850025193123966,0.09170614612121607,0.19228426536437174,0.8573097713213357,0.7936830070003842,0.9078667694262185,1,30,0.03333333333333333,0.005908590381612455,0.16670390991409173,10000,2026072305,0.95,,,,descriptive_secondary,0.05709122567693059
subgroup:demand_stratum:near_limit,subgroup,demand_stratum,near_limit,available,30,0.1738000397818145,0.11530643003314693,0.2426373470083896,0.8002185456444051,0.7112847618428051,0.8719687381364232,3,30,0.1,0.03459988874733419,0.25621082579184085,10000,2026072308,0.95,,,,descriptive_secondary,0.05709122567693059
subgroup:acceleration_active:true,subgroup,acceleration_active,true,available,40,0.1081626298640034,0.0750779445676562,0.14238822069167056,0.8271789440104088,0.7318955938793248,0.8870090468078096,3,40,0.075,0.025836025774588198,0.19864233524310543,10000,2026072304,0.95,,,,,
