method,metric,required_trajectory_count,attempted_trajectory_count,available_trajectory_count,failed_or_unavailable_trajectory_count,summary_status,mean,median,q25,q75,minimum,maximum
deployed_p_only_ordinary_ruckig,position_rmse,120,120,120,0,complete,0.08508112025228053,0.020843864862158522,0.0041195575532071,0.10752518948855402,0.0001445971176937083,0.5146024334997007
deployed_p_only_ordinary_ruckig,position_max_abs_error,120,120,120,0,complete,0.16113463821019874,0.044217822561761384,0.008482281010113106,0.22572085409964093,0.0002191744858074985,0.8644778566849114
deployed_p_only_ordinary_ruckig,lag_s,120,120,120,0,complete,0.06541666666666668,0.05000000000000002,0.020000000000000018,0.10999999999999999,-0.98,0.87
one_step_governed_p_direct,position_rmse,120,120,120,0,complete,0.13454637291591925,0.0939726086020598,0.030953058997044217,0.19174414673652984,0.005059972437549459,1.043532975389867
one_step_governed_p_direct,position_max_abs_error,120,120,120,0,complete,0.26013465840173083,0.19160652587658233,0.056412186374342324,0.39582496429286007,0.008571296034858737,1.8358326519249037
one_step_governed_p_direct,lag_s,120,120,120,0,complete,0.09800000000000002,0.05000000000000002,0.020000000000000018,0.20249999999999996,-1.0,0.9199999999999999
one_step_governed_pv_direct,position_rmse,120,120,120,0,complete,0.1328301428462426,0.09308295915015637,0.03095492890205834,0.19080716978010423,0.005054112161338857,1.0436008068517684
one_step_governed_pv_direct,position_max_abs_error,120,120,120,0,complete,0.2576623359939177,0.1915163619823866,0.05452981005407284,0.3821809090208644,0.008507724147045852,1.8287230300636073
one_step_governed_pv_direct,lag_s,120,120,120,0,complete,0.09008333333333333,0.040000000000000036,0.010000000000000009,0.19499999999999995,-1.0,0.9199999999999999
one_step_governed_pva_direct,position_rmse,120,120,120,0,complete,0.02366363152079231,0.011456646194910795,0.006186216471385951,0.02083230976088245,0.001333144359778138,0.24067525519708519
one_step_governed_pva_direct,position_max_abs_error,120,120,120,0,complete,0.039448571753113566,0.02195475900548628,0.01147743161355208,0.033776985312444274,0.002574519573446072,0.40488688681399554
one_step_governed_pva_direct,lag_s,120,120,120,0,complete,0.09325,0.010000000000000009,0.010000000000000009,0.040000000000000036,-0.7999999999999999,0.8799999999999999
predicted_p_ordinary_ruckig,position_rmse,120,120,120,0,complete,0.08507987846434342,0.020841097640440065,0.0041186427588318945,0.10752285845995956,0.00014459583547230854,0.5146022432329058
predicted_p_ordinary_ruckig,position_max_abs_error,120,120,120,0,complete,0.16113176512671595,0.04420860938274304,0.008480325585074746,0.22571752133619505,0.00021951620196240871,0.8644777631897345
predicted_p_ordinary_ruckig,lag_s,120,120,120,0,complete,0.06541666666666668,0.05000000000000002,0.020000000000000018,0.10999999999999999,-0.98,0.87
raw_predicted_pv_ordinary_ruckig,position_rmse,120,116,116,4,descriptive_available_subset_incomplete_denominator,0.01311843205551009,0.0048061979464152325,0.001594857759720387,0.019114995733363768,0.00013514368305872281,0.1509818452894224
raw_predicted_pv_ordinary_ruckig,position_max_abs_error,120,116,116,4,descriptive_available_subset_incomplete_denominator,0.033393793231006344,0.008943072044256435,0.003483247117449126,0.030748968467238513,0.00018665312570992175,0.3987182342928084
raw_predicted_pv_ordinary_ruckig,lag_s,120,116,116,4,descriptive_available_subset_incomplete_denominator,0.001810344827586218,0.010000000000000009,0.010000000000000009,0.010000000000000009,-0.75,0.8599999999999999
raw_predicted_pva_ordinary_ruckig,position_rmse,120,108,108,12,descriptive_available_subset_incomplete_denominator,0.010243105520964736,0.004476139269260161,0.0014246873104235781,0.011971836325585933,0.00013514368296360497,0.15060222624815978
raw_predicted_pva_ordinary_ruckig,position_max_abs_error,120,108,108,12,descriptive_available_subset_incomplete_denominator,0.022583447902290898,0.008199752229917479,0.003149537207974505,0.02306107789919226,0.0001866531257099217,0.3987182342928084
raw_predicted_pva_ordinary_ruckig,lag_s,120,108,108,12,descriptive_available_subset_incomplete_denominator,0.040648148148148155,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.8599999999999999
