dataset,method,explicit_delay_ms,prediction_lookahead_ms,minimum_duration_ms,target_state_mode,rmse,mae,max_error,best_lag_ms,lag_aligned_rmse,target_projection_rate,target_max_velocity,target_max_acceleration,target_p99_jerk,trajectory_duration_p50_ms,trajectory_duration_p90_ms,trajectory_duration_p99_ms,trajectory_duration_max_ms,reachable_within_lookahead_rate,output_max_velocity,output_max_acceleration,output_max_jerk,estimator_compute_p50_us,estimator_compute_p99_us,ruckig_compute_p99_us
quadratic_with_extremum,Position only,0.0,10.0,10.0,full,0.17378567748502144,0.1364311944857979,0.2994848516850973,190.0,0.02065426163033186,0.0,0.0,0.0,0.0,311.48405590714856,393.9886922747192,402.16481757715246,402.3893144617175,0.016666666666666666,1.4383673949207145,7.142251057724154,41.000000000000014,0.166,0.20940999999999962,1.7512499999999989
quadratic_with_extremum,Raw backward difference (original),0.0,0.0,10.0,full,0.21552559450119974,0.12408164262740994,0.5558873281899236,180.0,0.14763091043786478,0.0,1.5060871019032418,4.784730923571942,13.461905833733745,31.234912277142687,403.96786100668226,533.7019506039926,599.9529437703723,0.023333333333333334,1.9858166317404833,8.2,41.000000000000014,0.417,0.542,1.0848299999999993
quadratic_with_extremum,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,7.381823589610907e-05,5.380899966979039e-05,0.00017195013660886715,0.0,7.381823589610907e-05,0.0,1.5297327007500776,4.784730923571942,13.461905833733745,50.0,50.0,50.0,1111.7662627732395,0.9933333333333333,1.5103593626149048,4.6824169945177605,41.000000000000014,1.083,1.4178299999999993,2.4594099999999997
quadratic_with_extremum,SG-10 cubic + prediction (50 ms lookahead),10.0,50.0,50.0,full,6.724684015888886e-05,5.972956163933168e-05,0.00010987909483901762,0.0,6.724684015888886e-05,0.0,1.5081228361020833,4.940525039606301,14.01206199702838,50.0,50.0,50.0,50.0,1.0,1.504107058519407,4.682367490230715,41.000000000000014,3.208,4.044339999999997,2.125
quadratic_with_extremum,SG-20 cubic + prediction (50 ms lookahead),20.0,50.0,50.0,full,6.500554097131597e-05,5.8153713356544236e-05,0.00010290193140931564,0.0,6.500554097131597e-05,0.0,1.5074615817112258,4.906065291252879,13.885987227939411,50.0,50.0,50.0,50.0,1.0,1.5039971919571096,4.6824594771981145,41.000000000000014,3.125,3.7508399999999993,2.0004099999999996
quadratic_with_extremum,Alpha-beta-gamma (60 ms lookahead),0.0,60.0,60.0,full,0.2944754882501755,0.19616898568876018,0.6393672173354646,300.0,0.2019540750024759,0.0,1.5996574966760915,4.799016024885657,13.511532245649045,362.7246098678246,659.7621493254577,1039.5579774487376,1076.0343489979748,0.2866666666666667,2.1404378926128564,8.2,41.000000000000014,3.083,3.960499999999998,1.7110799999999982
quadratic_with_extremum,Robust CA-KF (50 ms lookahead),0.0,50.0,50.0,full,0.3180517172285336,0.2182539425458994,0.6260916339673888,340.0,0.1914040342375594,0.0,1.585428721604184,4.7853333669012805,13.46388575130916,365.68836955587784,647.9160740243777,983.8004360523969,1016.2712148799378,0.08,2.1038364446153968,8.2,41.000000000000014,12.083,61.5089299999998,4.93907999999998
quadratic_with_extremum,Jerk-limited tracker (50 ms lookahead),0.0,50.0,50.0,full,0.20022626890711104,0.1648255097499925,0.3240099635454619,230.0,0.022508301585648677,0.0,1.4034902819575383,4.416126805041731,12.188840560427671,50.0,50.0,50.0,50.0,1.0,1.4008358884033145,4.246796939603979,41.000000000000014,6.625,30.058419999999792,3.4639899999999955
cubic,Position only,0.0,10.0,10.0,full,0.040577430014424036,0.030060954121574657,0.07448204135656483,120.0,0.0052624988532827864,0.0,0.0,0.0,0.0,169.31727438026152,246.95601479214903,250.64283813309473,250.83316891028068,0.016666666666666666,0.5717480166200741,2.207063793358868,41.0,0.125,0.167,1.0472599999999943
cubic,Raw backward difference (original),0.0,0.0,10.0,full,0.009299532816294719,0.007085512106577968,0.017922542717074802,30.0,0.0015087937602745324,0.0,0.5917486976376174,1.4708991238395612,7.511520522335217,25.35305931583937,32.639630175452695,122.47271465147564,176.90016263700042,0.02666666666666667,0.5965507710297319,1.6277006597501253,41.0,0.416,0.5830099999999999,0.8754099999999996
cubic,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,7.066272598429034e-05,5.666141517258794e-05,0.00013642036650279854,0.0,7.066272598429034e-05,0.0,0.6035293897853774,1.4708991238395612,7.511520522335217,50.0,50.0,50.0,50.0,1.0,0.590903602867612,1.6532439863734378,41.0,1.083,1.2504099999999996,1.8348199999999992
cubic,SG-10 cubic + prediction (50 ms lookahead),10.0,50.0,50.0,full,7.234722977961651e-05,6.426321647548031e-05,0.00010620806487254136,0.0,7.234722977961651e-05,0.0,0.5928402158538787,1.584107844501714,8.092666897867339,50.0,50.0,50.0,50.0,1.0,0.5896851577070716,1.7175336234991527,41.0,3.125,4.0,1.875
cubic,SG-20 cubic + prediction (50 ms lookahead),20.0,50.0,50.0,full,7.083743468391785e-05,6.292094056336878e-05,0.00010109582622494853,0.0,7.083743468391785e-05,0.0,0.5924430387734703,1.559256580054964,7.9686881490228485,50.0,50.0,50.0,50.0,1.0,0.5896617949064675,1.717064894096911,41.0,3.042,4.0,1.833
cubic,Alpha-beta-gamma (60 ms lookahead),0.0,60.0,60.0,full,0.0005468111413433076,0.0004619112753005739,0.0010381827405501459,0.0,0.0005468111413433076,0.0,0.6368347297944741,1.4815924054349088,7.557028198574229,60.0,60.0,69.82248756248337,645.1070422979286,0.9133333333333333,0.5930341329222075,1.7619888226163272,41.0,3.167,4.792679999999999,2.1674199999999995
cubic,Robust CA-KF (50 ms lookahead),0.0,50.0,50.0,full,0.04623610348964498,0.025753976832074196,0.14652915666193955,50.0,0.043113516806632314,0.0,0.6299530054829325,1.4714838298709267,7.511185821181446,130.95502126361205,424.66331450933944,628.9602450963991,656.7983150627938,0.27,0.6642152631287638,5.7630824990728104,41.000000000000014,12.042,15.81491999999998,2.0029099999999973
cubic,Jerk-limited tracker (50 ms lookahead),0.0,50.0,50.0,full,0.07482808497088993,0.061224885887759525,0.1250476795640615,230.0,0.008020138759884589,0.0,0.5406894845281103,1.229941994504062,6.189179510971553,50.0,50.0,50.0,50.0,1.0,0.538611511691656,1.4599635076817876,41.0,6.375,7.625,1.833
sine,Position only,0.0,10.0,10.0,full,0.12296895791542498,0.08347126518078062,0.3217373913478696,190.0,0.02480976121495814,0.0,0.0,0.0,0.0,253.32606048337936,387.3242712875582,422.3509892966724,422.814060907584,0.016666666666666666,1.4345815122453331,8.000762772371935,41.000000000000014,0.125,0.209,0.9642499999999943
