dataset,method,explicit_delay_ms,prediction_lookahead_ms,minimum_duration_ms,target_state_mode,rmse,mae,max_error,best_lag_ms,lag_aligned_rmse,target_projection_rate,target_max_velocity,target_max_acceleration,target_p99_jerk,trajectory_duration_p50_ms,trajectory_duration_p90_ms,trajectory_duration_p99_ms,trajectory_duration_max_ms,reachable_within_lookahead_rate,output_max_velocity,output_max_acceleration,output_max_jerk,estimator_compute_p50_us,estimator_compute_p99_us,ruckig_compute_p99_us
quadratic_with_extremum,Position only,0.0,10.0,10.0,full,0.07528855237428092,0.05689336279189165,0.13463920767108212,80.0,0.014978509124383333,0.0,0.0,0.0,0.0,109.54205794599598,178.8726721622775,182.33153748373235,182.49342024275273,0.07333333333333333,1.4060410459905723,8.2,1185.239603940145,0.167,0.209,1.8754199999999996
quadratic_with_extremum,Raw backward difference (original),0.0,0.0,10.0,full,0.010134128921886733,0.008130834298103583,0.01842654068366778,10.0,0.0013294371097604622,0.0,1.5060871019032418,4.784730923571942,13.461905833733745,10.087602698404078,13.560693992319267,539.7691661320197,626.9549649039009,0.44,1.5137441281680781,8.2,736.9076642976959,0.458,2.251249999999999,2.292249999999999
quadratic_with_extremum,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.0012365292086612247,0.0011133490076244935,0.0017587803985139594,0.0,0.0012365292086612247,0.0,1.5297327007500776,4.784730923571942,13.461905833733745,50.0,50.0,50.0,50.0,1.0,1.4979111125783875,0.0,0.0,1.167,8.093419999999991,9.810589999999982
quadratic_with_extremum,SG-10 cubic + prediction (50 ms lookahead),10.0,50.0,50.0,full,0.0012407204310587807,0.0011156887065883788,0.0017536864483910786,0.0,0.0012407204310587807,0.0,1.5081228361020833,4.940525039606301,14.01206199702838,50.0,50.0,50.0,50.0,1.0,1.4962663539227274,0.0,0.0,3.125,5.0482399999999945,1.4584199999999996
quadratic_with_extremum,SG-20 cubic + prediction (50 ms lookahead),20.0,50.0,50.0,full,0.001237136426750344,0.0011136375726692673,0.0017504359735821678,0.0,0.001237136426750344,0.0,1.5074615817112258,4.906065291252879,13.885987227939411,50.0,50.0,50.0,50.0,1.0,1.4962863855674993,0.0,0.0,3.083,3.8787499999999966,1.3758299999999992
quadratic_with_extremum,Alpha-beta-gamma (60 ms lookahead),0.0,60.0,60.0,full,0.0022384013165689413,0.0019280432927824393,0.003949186546729766,0.0,0.0022384013165689413,0.0,1.5996574966760915,4.799016024885657,13.511532245649045,60.0,60.0,60.0,60.0,1.0,1.501626234476424,0.0,0.0,3.167,8.382499999999993,2.25
quadratic_with_extremum,Robust CA-KF (50 ms lookahead),0.0,50.0,50.0,full,0.001531857353241325,0.0013086074835260099,0.002768457270373892,0.0,0.001531857353241325,0.0,1.585428721604184,4.7853333669012805,13.46388575130916,50.0,50.0,50.0,50.0,1.0,1.5035730780193677,0.0,0.0,12.167,18.62708,2.461069999999998
quadratic_with_extremum,Jerk-limited tracker (50 ms lookahead),0.0,50.0,50.0,full,0.1999531434810312,0.16468675064736427,0.32327577431517623,230.0,0.023651128364639673,0.0,1.4034902819575383,4.416126805041731,12.188840560427671,50.0,50.0,50.0,50.0,1.0,1.3940694633040769,0.0,0.0,6.75,9.711489999999998,1.7928299999999993
cubic,Position only,0.0,10.0,10.0,full,0.013556152814713436,0.009711586875067412,0.026054616613002485,40.0,0.0023156762120060625,0.0,0.0,0.0,0.0,41.625919704645895,79.25086653119219,81.25467406819915,81.31366494291393,0.12666666666666668,0.5763670525318941,8.2,606.0396293221311,0.125,0.208,1.7102399999999989
cubic,Raw backward difference (original),0.0,0.0,10.0,full,0.0034360270661119292,0.0026910299001958516,0.0059174869760516,10.0,2.2534219830866364e-09,0.0,0.5917486976376174,1.4708991238395612,7.511520522335217,10.0,10.0,10.0,10.0,1.0,0.5917486976376173,1.4708991238395615,7.531598180029553,0.417,0.542,1.292
