dataset,derivative_source,causal,future_samples,native_delay_samples,evaluation_start_index,evaluation_stop_index_exclusive,velocity_rmse,velocity_bias,velocity_max_error,acceleration_rmse,acceleration_bias,acceleration_max_error
quadratic_with_extremum,analytic_truth,True,0,0,3,299,0.0,0.0,0.0,0.0,0.0,0.0
quadratic_with_extremum,backward_fd,True,0,0,3,299,0.012135582499371533,-2.0603393375217203e-07,0.023923654617859225,0.07912466789730524,5.035511642026124e-06,0.13465780079899914
quadratic_with_extremum,centered_fd_offline,False,1,0,3,299,0.00013187960388830278,5.0422852421464914e-08,0.00022444699262047507,0.0002500130061725437,5.035506285950005e-06,0.00042532642805781506
quadratic_with_extremum,centered_fd_causal_delay1,True,0,1,3,299,0.00026375292215677213,5.0422879223856864e-08,0.00044888530640507796,0.07912466789730524,5.035511642026124e-06,0.13465780079899914
cubic,analytic_truth,True,0,0,3,299,0.0,0.0,0.0,0.0,0.0,0.0
cubic,backward_fd,True,0,0,3,299,0.004575761188186652,2.7410023130354472e-08,0.007355222699557906,0.04193993419016643,3.380712656847192e-05,0.07533271984543437
cubic,centered_fd_offline,False,1,0,3,299,6.99049077159529e-05,-5.87419292539269e-08,0.00012559360470654318,0.00017603615265506978,-6.536543533122203e-07,0.00030900420758994684
cubic,centered_fd_causal_delay1,True,0,1,3,299,0.00013980361952961766,1.13561975342829e-07,0.00025115371808289116,0.04193993419016643,3.380712656847192e-05,0.07533271984543437
sine,analytic_truth,True,0,0,3,299,0.0,0.0,0.0,0.0,0.0,0.0
sine,backward_fd,True,0,0,3,299,0.01459297419385029,2.622315670764475e-08,0.03181945220345317,0.15033154855282088,3.234327106847021e-05,0.40073043946387654
sine,centered_fd_offline,False,1,0,3,299,0.00025057910951386435,-5.6198414166201004e-08,0.0006682183351258697,0.000747078494466515,-6.253572600094106e-07,0.001811289114538539
sine,centered_fd_causal_delay1,True,0,1,3,299,0.0005011249292594196,1.0864472746681854e-07,0.0013361501278807975,0.15033154855282088,3.234327106847021e-05,0.40073043946387654
