experiment,dataset,method_id,method,result_group,target_components,derivative_source,causal,future_samples,native_delay_samples,target_timing,evaluation_start_index,evaluation_stop_index_exclusive,sweep_type,sweep_value,max_velocity_limit,max_acceleration_limit,max_jerk_limit,minimum_duration_ms,rmse,mae,max_error,best_lag_ms,lag_aligned_rmse,raw_target_feasible_rate,target_projection_rate,projection_velocity_rmse,projection_acceleration_rmse,raw_target_max_velocity,raw_target_max_acceleration,raw_target_max_sampled_jerk,projected_target_max_velocity,projected_target_max_acceleration,trajectory_duration_p50_ms,trajectory_duration_p90_ms,trajectory_duration_p99_ms,reachable_within_10ms_rate,output_max_velocity,output_max_acceleration,output_max_new_jerk,output_max_sampled_jerk,output_velocity_saturation_rate,output_acceleration_saturation_rate,output_new_jerk_saturation_rate,ruckig_compute_p99_us,ruckig_compute_max_us,settle_time_to_1e3_ms,settle_max_error,settle_final_error
limit_sensitivity,quadratic_with_extremum,p,P,core,p,none,True,0,0,target[k] -> output[k+1],3,301,acceleration,4.1,4.1,4.1,4000.0,10.0,0.1554430623053587,0.12072362439550414,0.29193363305876746,170.0,0.036010446927461796,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.7061210194439,365.9778818303876,377.9601083309083,0.06375838926174497,1.5065453869710403,4.1,4000.0,600.9926228211802,0.0,0.9295302013422819,0.006711409395973154,1.8355199999999976,2.5,0.0,0.0,0.0
limit_sensitivity,quadratic_with_extremum,p,P,core,p,none,True,0,0,target[k] -> output[k+1],3,301,acceleration,6.0,4.1,6.0,4000.0,10.0,0.09757492885590513,0.07584101449669543,0.16800643350668099,110.0,0.018885916386888177,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.6401002473612,233.58233804733626,237.4755933101123,0.06375838926174497,1.3609131994648775,6.0,4000.0,683.7219684417219,0.0,0.9194630872483222,0.016778523489932886,1.583,1.625,0.0,4.440892098500626e-16,4.440892098500626e-16
limit_sensitivity,quadratic_with_extremum,p,P,core,p,none,True,0,0,target[k] -> output[k+1],3,301,acceleration,8.2,4.1,8.2,4000.0,10.0,0.07566657258695543,0.05746611373892105,0.13463920767108212,80.0,0.015055782371034486,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.47324052422361,178.8967171054966,182.3329418796324,0.06711409395973154,1.4060410459905723,8.2,4000.0,1185.239603940145,0.0,0.6174496644295302,0.31543624161073824,1.459,1.584,0.0,4.440892098500626e-16,4.440892098500626e-16
limit_sensitivity,quadratic_with_extremum,p,P,core,p,none,True,0,0,target[k] -> output[k+1],3,301,acceleration,12.0,4.1,12.0,4000.0,10.0,0.05659165821660751,0.04254916837866599,0.10179884718444032,60.0,0.010426265021662433,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.09899713864431,129.69212143859642,132.02307145793066,0.07718120805369127,1.4471810957403768,12.0,4000.0,2218.2993840902045,0.0,0.2483221476510067,0.674496644295302,1.5,1.583,0.0,4.440892098500626e-16,4.440892098500626e-16
limit_sensitivity,quadratic_with_extremum,p,P,core,p,none,True,0,0,target[k] -> output[k+1],3,301,acceleration,16.4,4.1,16.4,4000.0,10.0,0.044856632088802625,0.03369303837574225,0.08102501778256499,50.0,0.007887993832134925,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.51023694115581,100.06753346086377,101.89336521982693,0.0738255033557047,1.4697859139225116,16.4,4000.0,2374.092172784762,0.0,0.026845637583892617,0.8993288590604027,1.5,1.584,0.0,4.440892098500626e-16,4.440892098500626e-16
limit_sensitivity,quadratic_with_extremum,p,P,core,p,none,True,0,0,target[k] -> output[k+1],3,301,jerk,41.0,4.1,8.2,41.0,10.0,0.17465824704163005,0.13780466185927603,0.2994848516850973,190.0,0.02076452658201003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.19268106882146,393.9937778066246,402.16796936052623,0.010067114093959731,1.4383673949207145,7.142251057724154,41.0,41.000000000000014,0.0,0.0,0.9899328859060402,0.8110099999999818,1.5,0.0,2.220446049250313e-16,2.220446049250313e-16
limit_sensitivity,quadratic_with_extremum,p,P,core,p,none,True,0,0,target[k] -> output[k+1],3,301,jerk,200.0,4.1,8.2,200.0,10.0,0.09462099839671965,0.07302599929696155,0.16479742077845183,100.0,0.014484313250534134,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.07094392207262,219.66733202467077,223.0182493196006,0.016778523489932886,1.4245130960147658,8.2,200.0,148.95901958708203,0.0,0.016778523489932886,0.9664429530201343,1.0062699999999942,1.292,0.0,0.0,0.0
limit_sensitivity,quadratic_with_extremum,p,P,core,p,none,True,0,0,target[k] -> output[k+1],3,301,jerk,800.0,4.1,8.2,800.0,10.0,0.0790249155600852,0.06027351658100821,0.1398955215126505,90.0,0.015529822936776174,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.13658499578536,186.69800187874404,190.10422178656378,0.03691275167785235,1.4121219109435525,8.2,800.0,536.7371265696628,0.0,0.03355704697986577,0.9295302013422819,1.418259999999999,1.541,0.0,0.0,0.0
limit_sensitivity,quadratic_with_extremum,p,P,core,p,none,True,0,0,target[k] -> output[k+1],3,301,jerk,1600.0,4.1,8.2,1600.0,10.0,0.0767012897353319,0.05836293730210193,0.13617419548732929,80.0,0.015140896129665926,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.26667503281018,181.54514153737856,184.96182155937706,0.050335570469798654,1.409384659746621,8.2,1600.0,1087.3492832850343,0.0,0.06040268456375839,0.889261744966443,1.292,2.208,0.0,2.220446049250313e-16,2.220446049250313e-16
limit_sensitivity,quadratic_with_extremum,p,P,core,p,none,True,0,0,target[k] -> output[k+1],3,301,jerk,3200.0,4.1,8.2,3200.0,10.0,0.07585483215836576,0.05763188895932201,0.1348986208206029,80.0,0.01513305184145253,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.05179296680029,179.4070263507562,182.81335148217275,0.06040268456375839,1.4076481637253202,8.2,3200.0,1232.1811828715024,0.0,0.43288590604026844,0.5067114093959731,1.418229999999999,1.5,0.0,2.220446049250313e-16,2.220446049250313e-16
