experiment,dataset,method_id,method,result_group,target_components,derivative_source,causal,future_samples,native_delay_samples,target_timing,evaluation_start_index,evaluation_stop_index_exclusive,sweep_type,sweep_value,max_velocity_limit,max_acceleration_limit,max_jerk_limit,minimum_duration_ms,rmse,mae,max_error,best_lag_ms,lag_aligned_rmse,raw_target_feasible_rate,target_projection_rate,projection_velocity_rmse,projection_acceleration_rmse,raw_target_max_velocity,raw_target_max_acceleration,raw_target_max_sampled_jerk,projected_target_max_velocity,projected_target_max_acceleration,trajectory_duration_p50_ms,trajectory_duration_p90_ms,trajectory_duration_p99_ms,reachable_within_10ms_rate,output_max_velocity,output_max_acceleration,output_max_new_jerk,output_max_sampled_jerk,output_velocity_saturation_rate,output_acceleration_saturation_rate,output_new_jerk_saturation_rate,ruckig_compute_p99_us,ruckig_compute_max_us,settle_time_to_1e3_ms,settle_max_error,settle_final_error
baseline,quadratic_with_extremum,p,P,core,p,none,True,0,0,target[k] -> output[k+1],3,301,none,nan,4.1,8.2,4000.0,10.0,0.07566657258695543,0.05746611373892105,0.13463920767108212,80.0,0.015055782371034486,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.47324052422361,178.8967171054966,182.3329418796324,0.06711409395973154,1.4060410459905723,8.2,4000.0,1185.239603940145,0.0,0.6174496644295302,0.31543624161073824,1.8007299999999922,2.209,0.0,4.440892098500626e-16,4.440892098500626e-16
baseline,quadratic_with_extremum,pv_truth,PV · analytic truth,core,pv,analytic_truth,True,0,0,target[k] -> output[k+1],3,301,none,nan,4.1,8.2,4000.0,10.0,0.00927531757684144,0.00755033454308418,0.015060871019032473,10.0,1.0574775945046951e-16,1.0,0.0,0.0,0.0,1.5061680135799291,0.0,0.0,1.5061680135799291,0.0,10.0,10.0,10.0,1.0,1.5061680135799291,7.216449660063518e-16,0.0,1.0547118733938987e-13,0.0,0.0,0.0,1.709259999999999,2.125,0.0,7.105427357601002e-15,7.105427357601002e-15
baseline,quadratic_with_extremum,pva_truth,PVA · analytic truth,core,pva,analytic_truth,True,0,0,target[k] -> output[k+1],3,301,none,nan,4.1,8.2,4000.0,10.0,0.009275317576841432,0.007550334543084183,0.015060871019032418,10.0,9.668300809508334e-17,1.0,0.0,0.0,0.0,1.5061680135799291,4.78515625,13.465995800213614,1.5061680135799291,4.78515625,10.0,10.0,10.0,1.0,1.5061680135799291,4.785156250000001,0.0,13.465995800213681,0.0,0.0,0.0,1.125,1.541,0.0,7.549516567451064e-15,7.549516567451064e-15
baseline,quadratic_with_extremum,pv_backward,PV · historical backward FD,core,pv,backward_fd,True,0,0,target[k] -> output[k+1],3,301,none,nan,4.1,8.2,4000.0,10.0,0.010032706824758316,0.008110963003247786,0.017616238770525594,10.0,0.001046280990634701,1.0,0.0,0.0,0.0,1.5060871019032418,0.0,0.0,1.5060871019032418,0.0,10.22582910017279,12.640243381075486,552.0779404591149,0.41946308724832215,1.5103430833826252,8.2,4000.0,819.9999999999999,0.0,0.09060402684563758,0.4899328859060403,2.085489999999998,2.209,0.0,2.220446049250313e-16,2.220446049250313e-16
baseline,quadratic_with_extremum,pva_backward,PVA · historical backward FD,core,pva,backward_fd,True,0,0,target[k] -> output[k+1],3,301,none,nan,4.1,8.2,4000.0,10.0,0.010185011897432223,0.008212687307276055,0.01842654068366778,10.0,0.001336134568318176,1.0,0.0,0.0,0.0,1.5060871019032418,4.784730923571942,13.46448078803908,1.5060871019032418,4.784730923571942,10.099987934505588,13.562131458031612,540.5076105228667,0.436241610738255,1.5137441281680781,8.2,4000.0,736.9076642976959,0.0,0.1040268456375839,0.4597315436241611,1.333,2.0,0.0,7.127631818093505e-14,7.127631818093505e-14
baseline,quadratic_with_extremum,pv_central_offline,PV · centered FD (offline),core,pv,centered_fd_offline,False,1,0,target[k] -> output[k+1],3,301,none,nan,4.1,8.2,4000.0,10.0,0.00927531757609008,0.007550334542622325,0.015060871019032418,10.0,8.00277696682019e-12,1.0,0.0,0.0,0.0,1.5059558553088963,0.0,0.0,1.5059558553088963,0.0,10.0,10.0,10.0,1.0,1.5059558553088965,5.967448757360216e-16,0.0,8.743006318923108e-14,0.0,0.0,0.0,1.45803,1.459,0.0,2.220446049250313e-16,0.0
baseline,quadratic_with_extremum,pva_central_offline,PVA · centered FD (offline),core,pva,centered_fd_offline,False,1,0,target[k] -> output[k+1],3,301,none,nan,4.1,8.2,4000.0,10.0,0.009275317576112338,0.007550334542636043,0.015060871019032418,10.0,7.765654273180987e-12,1.0,0.0,0.0,0.0,1.5059558553088963,4.784730923571942,13.46448078803908,1.5059558553088963,4.784730923571942,10.0,10.0,10.0,1.0,1.5059558553088963,4.784730923571942,0.0,13.46448078803908,0.0,0.0,0.0,1.043229999999999,1.209,0.0,4.440892098500626e-16,2.220446049250313e-16
baseline,quadratic_with_extremum,pv_central_causal,PV · centered FD (causal delay-1),realtime_supplement,pv,centered_fd_causal_delay1,True,0,1,target[k] -> output[k+1],3,301,none,nan,4.1,8.2,4000.0,10.0,0.009275317577599324,0.007550334542414032,0.015060871019032418,10.0,2.1231823313008817e-11,1.0,0.0,0.0,0.0,1.506596122205564,0.0,0.0,1.506596122205564,0.0,10.0,10.0,10.0,1.0,1.506596122205564,7.355227538141662e-16,0.0,1.0486403412279799e-13,0.0,0.0,0.0,1.33303,1.375,0.0,7.291944825738028e-13,0.0
baseline,quadratic_with_extremum,pva_central_causal,PVA · centered FD (causal delay-1),realtime_supplement,pva,centered_fd_causal_delay1,True,0,1,target[k] -> output[k+1],3,301,none,nan,4.1,8.2,4000.0,10.0,0.009275317577627973,0.0075503345424378305,0.015060871019032418,10.0,2.1252247814522984e-11,1.0,0.0,0.0,0.0,1.506596122205564,4.784730923571942,13.46448078803908,1.506596122205564,4.784730923571942,10.0,10.0,10.0,1.0,1.506596122205564,4.784730923571942,0.0,13.464480788039056,0.0,0.0,0.0,1.0024899999999977,5.75,0.0,7.298606163885779e-13,0.0
baseline,cubic,p,P,core,p,none,True,0,0,target[k] -> output[k+1],3,301,none,nan,4.1,8.2,4000.0,10.0,0.013624217608208098,0.00980935397338392,0.026054616613002485,40.0,0.0023274608669338354,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.83193861229538,79.29065665586421,81.254939000671,0.12080536912751678,0.5763670525318941,8.2,4000.0,606.0396293221311,0.0,0.8523489932885906,0.026845637583892617,1.585229999999999,1.791,0.0,5.551115123125783e-17,5.551115123125783e-17
baseline,cubic,pv_truth,PV · analytic truth,core,pv,analytic_truth,True,0,0,target[k] -> output[k+1],3,301,none,nan,4.1,8.2,4000.0,10.0,0.0034532791621455887,0.002718120247048266,0.005917486976376174,10.0,6.108557144860893e-11,1.0,0.0,0.0,0.0,0.5917300704286925,0.0,0.0,0.5917300704286925,0.0,10.0,10.0,10.0,1.0,0.5917300704286925,4.440892098500626e-16,0.0,8.396061623727746e-14,0.0,0.0,0.0,1.335229999999999,1.417,0.0,2.220446049250313e-15,2.220446049250313e-15
baseline,cubic,pva_truth,PVA · analytic truth,core,pva,analytic_truth,True,0,0,target[k] -> output[k+1],3,301,none,nan,4.1,8.2,4000.0,10.0,0.0034532791621282722,0.0027181202470381535,0.005917486976376174,10.0,6.126059535441081e-11,1.0,0.0,0.0,0.0,0.5917300704286925,1.4712067651963803,7.5332719845435125,0.5917300704286925,1.4712067651963803,10.0,10.0,10.0,1.0,0.5917300704286925,1.4712067651963798,0.0,7.533271984543517,0.0,0.0,0.0,1.001229999999999,1.167,0.0,2.220446049250313e-15,2.220446049250313e-15
baseline,cubic,pv_backward,PV · historical backward FD,core,pv,backward_fd,True,0,0,target[k] -> output[k+1],3,301,none,nan,4.1,8.2,4000.0,10.0,0.0034532791978300562,0.0027181202505806978,0.005917486975983932,10.0,2.0784526691511895e-09,1.0,0.0,0.0,0.0,0.5917486976376174,0.0,0.0,0.5917486976376174,0.0,10.0,10.0,10.0,1.0,0.5917486976376173,5.57236802680534e-15,0.0,5.599256240682981e-13,0.0,0.0,0.0,1.4194899999999977,5.5,0.0,1.1102230246251565e-16,5.551115123125783e-17
baseline,cubic,pva_backward,PVA · historical backward FD,core,pva,backward_fd,True,0,0,target[k] -> output[k+1],3,301,none,nan,4.1,8.2,4000.0,10.0,0.0034532791933005935,0.0027181202504431845,0.0059174869760516,10.0,2.2647743067384738e-09,1.0,0.0,0.0,0.0,0.5917486976376174,1.4708991238395612,7.531598180029551,0.5917486976376174,1.4708991238395612,10.0,10.0,10.0,1.0,0.5917486976376173,1.4708991238395615,0.0,7.531598180029553,0.0,0.0,0.0,1.126259999999999,1.209,0.0,2.0761170560490427e-14,2.0761170560490427e-14
baseline,cubic,pv_central_offline,PV · centered FD (offline),core,pv,centered_fd_offline,False,1,0,target[k] -> output[k+1],3,301,none,nan,4.1,8.2,4000.0,10.0,0.0034532791576496013,0.002718120244421631,0.005917486976376202,10.0,9.245974921086473e-11,1.0,0.0,0.0,0.0,0.5916210058337007,0.0,0.0,0.5916210058337007,0.0,10.0,10.0,10.0,1.0,0.5916210058337008,4.3021142204224816e-16,0.0,7.771561172376096e-14,0.0,0.0,0.0,1.375,1.792,0.0,5.551115123125783e-17,0.0
baseline,cubic,pva_central_offline,PVA · centered FD (offline),core,pva,centered_fd_offline,False,1,0,target[k] -> output[k+1],3,301,none,nan,4.1,8.2,4000.0,10.0,0.0034532791576696695,0.002718120244433336,0.005917486976376174,10.0,9.233384161419397e-11,1.0,0.0,0.0,0.0,0.5916210058337007,1.4708991238395612,7.531598180029551,0.5916210058337007,1.4708991238395612,10.0,10.0,10.0,1.0,0.5916210058337007,1.4708991238395617,0.0,7.5315981800295475,0.0,0.0,0.0,1.001229999999999,1.666,0.0,1.1102230246251565e-16,0.0
baseline,cubic,pv_central_causal,PV · centered FD (causal delay-1),realtime_supplement,pv,centered_fd_causal_delay1,True,0,1,target[k] -> output[k+1],3,301,none,nan,4.1,8.2,4000.0,10.0,0.0034532791786302058,0.0027181202563438854,0.005917486976376202,10.0,9.130437591764993e-11,1.0,0.0,0.0,0.0,0.5919494045934323,0.0,0.0,0.5919494045934323,0.0,10.0,10.0,10.0,1.0,0.5919494045934321,4.440892098500626e-16,0.0,8.604228440844963e-14,0.0,0.0,0.0,1.334259999999999,1.542,0.0,2.1305179842556754e-13,0.0
baseline,cubic,pva_central_causal,PVA · centered FD (causal delay-1),realtime_supplement,pva,centered_fd_causal_delay1,True,0,1,target[k] -> output[k+1],3,301,none,nan,4.1,8.2,4000.0,10.0,0.003453279178591638,0.002718120256322292,0.005917486976376174,10.0,9.08510755438951e-11,1.0,0.0,0.0,0.0,0.5919494045934323,1.4708991238395612,7.531598180029551,0.5919494045934323,1.4708991238395612,10.0,10.0,10.0,1.0,0.5919494045934321,1.4708991238395612,0.0,7.5315981800295475,0.0,0.0,0.0,1.2105199999999976,1.542,0.0,2.131073095767988e-13,0.0
baseline,sine,p,P,core,p,none,True,0,0,target[k] -> output[k+1],3,301,none,nan,4.1,8.2,4000.0,10.0,0.049705339993767486,0.03073852475999683,0.14553489621891358,70.0,0.015612474543044203,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.54652069812306,159.26437021934407,189.21379753161062,0.087248322147651,1.4649199374161719,8.2,4000.0,1300.9162137043652,0.0,0.7785234899328859,0.1342281879194631,1.543229999999999,1.625,0.0,5.028172732924712e-17,5.028172732924712e-17
baseline,sine,pv_truth,PV · analytic truth,core,pv,analytic_truth,True,0,0,target[k] -> output[k+1],3,301,none,nan,4.1,8.2,4000.0,10.0,0.0067503059421152355,0.004966008196176311,0.01694482817664375,10.0,2.682149452118054e-14,1.0,0.0,0.0,0.0,1.6951510359994926,0.0,0.0,1.6951510359994926,0.0,10.0,10.0,10.0,1.0,1.6951510359994928,7.827072323607354e-15,0.0,1.0658141036401503e-12,0.0,0.0,0.0,2.20803,3.167,0.0,2.0282786689599154e-15,2.02119466521429e-15
baseline,sine,pva_truth,PVA · analytic truth,core,pva,analytic_truth,True,0,0,target[k] -> output[k+1],3,301,none,nan,4.1,8.2,4000.0,10.0,0.00675030594211524,0.0049660081961763166,0.016944828176643754,10.0,2.6829358432412824e-14,1.0,0.0,0.0,0.0,1.6951510359994926,6.364585446404775,40.073043946224686,1.6951510359994926,6.364585446404775,10.0,10.0,10.0,1.0,1.6951510359994924,6.364585446404775,0.0,40.073043946224665,0.0,0.0,0.0,1.04103,1.333,0.0,2.040296284831404e-15,2.040296284831404e-15
baseline,sine,pv_backward,PV · historical backward FD,core,pv,backward_fd,True,0,0,target[k] -> output[k+1],3,301,none,nan,4.1,8.2,4000.0,10.0,0.007833220908921908,0.005532727425295915,0.021110630891914638,10.0,0.0013165690164735004,1.0,0.0,0.0,0.0,1.694482817664375,0.0,0.0,1.694482817664375,0.0,10.0,13.205328907696154,498.5116504290968,0.6140939597315436,1.7053302759562758,8.2,4000.0,1064.1576681823656,0.0,0.10067114093959731,0.28523489932885904,1.3404999999999931,2.25,0.0,2.184880334388698e-19,1.4623097588577506e-19
baseline,sine,pva_backward,PVA · historical backward FD,core,pva,backward_fd,True,0,0,target[k] -> output[k+1],3,301,none,nan,4.1,8.2,4000.0,10.0,0.008252435105764747,0.005748160908987697,0.02261242632885021,10.0,0.001787301031559964,1.0,0.0,0.0,0.0,1.694482817664375,6.362914489752569,40.05873126954072,1.694482817664375,6.362914489752569,10.0,14.325959832844845,426.2752550900271,0.6174496644295302,1.7110717330953424,8.2,4000.0,1255.6557421777463,0.0,0.13087248322147652,0.2516778523489933,1.2242599999999852,2.375,0.0,1.9007759081285637e-14,1.9007749630441446e-14
baseline,sine,pv_central_offline,PV · centered FD (offline),core,pv,centered_fd_offline,False,1,0,target[k] -> output[k+1],3,301,none,nan,4.1,8.2,4000.0,10.0,0.006750305941736916,0.004966008195916092,0.016944828176643584,10.0,3.5984808715854266e-12,1.0,0.0,0.0,0.0,1.6944828176643667,0.0,0.0,1.6944828176643667,0.0,10.0,10.0,10.0,1.0,1.6944828176643665,8.43769498715119e-15,0.0,1.0436096431476471e-12,0.0,0.0,0.0,2.084,2.208,0.0,9.521521133904435e-17,1.0945557347837529e-19
baseline,sine,pva_central_offline,PVA · centered FD (offline),core,pva,centered_fd_offline,False,1,0,target[k] -> output[k+1],3,301,none,nan,4.1,8.2,4000.0,10.0,0.006750305941891873,0.004966008195983754,0.016944828176643584,10.0,3.231271913436588e-12,1.0,0.0,0.0,0.0,1.6944828176643667,6.362914489752569,40.05873126954072,1.6944828176643667,6.362914489752569,10.0,10.0,10.0,1.0,1.694482817664367,6.362914489752569,0.0,40.05873126954071,0.0,0.0,0.0,1.0864599999999978,1.958,0.0,9.535709022090597e-17,1.3368043538176761e-20
